SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,26.79,PE,Enabled,Default Pipe,1,35.8
2,PI000002,27.21,PE,Enabled,Default Pipe,1,14.6
3,PI000003,25.26,CI,Enabled,Default Pipe,1,18.7
4,PI000004,26.08,PE,Enabled,Default Pipe,1,74.4
5,PI000005,23.54,PE,Enabled,Default Pipe,2,35.2
6,PI000006,25.87,PE,Enabled,Default Pipe,1,32.5
7,PI000007,25.81,PE,Enabled,Default Pipe,1,9.2
8,PI000008,24.43,PE,Enabled,Replacement Pipe,2,6.8
9,PI000009,25.46,PE,Enabled,Default Pipe,1,25.1
10,PI000010,25.88,PE,Enabled,Default Pipe,1,24.0
11,PI000011,25.47,PE,Enabled,Default Pipe,1,26.6
12,PI000012,24.92,PE,Enabled,Default Pipe,2,0.9
13,PI000013,25.35,PE,Enabled,Default Pipe,1,37.0
14,PI000014,25.34,PE,Enabled,Default Pipe,1,58.0
15,PI000015,25.80,CI,Enabled,Default Pipe,1,20.7
16,PI000016,23.75,PE,Enabled,Default Pipe,2,6.9
17,PI000017,25.99,PE,Enabled,Default Pipe,1,71.7
18,PI000018,27.48,CI,Enabled,Default Pipe,1,2.9
19,PI000019,28.11,PE,Enabled,Default Pipe,1,30.5
20,PI000020,27.39,CI,Enabled,Default Pipe,1,78.0
21,PI000021,30.18,PE,Enabled,Default Pipe,1,18.7
22,PI000022,33.34,PE,Enabled,Default Pipe,1,1.4
23,PI000023,33.12,PE,Enabled,Default Pipe,1,1.3
24,PI000024,29.97,PE,Enabled,Default Pipe,1,7.5
25,PI000025,33.39,PE,Enabled,Default Pipe,1,27.1
26,PI000026,27.95,PE,Enabled,Default Pipe,1,39.4
27,PI000027,30.19,CI,Enabled,Default Pipe,1,12.4
28,PI000028,33.44,PE,Enabled,Default Pipe,1,21.7
29,PI000029,30.66,CI,Enabled,Default Pipe,1,2.4
30,PI000030,31.91,PE,Enabled,Default Pipe,1,65.4
31,PI000031,30.98,PE,Enabled,Default Pipe,1,6.0
32,PI000032,29.95,CI,Enabled,Default Pipe,1,0.9
33,PI000033,33.49,PE,Enabled,Default Pipe,1,1.5
34,PI000034,33.10,PE,Enabled,Replacement Pipe,1,4.4
35,PI000035,33.11,PE,Enabled,Default Pipe,1,0.5
36,PI000036,32.96,PE,Enabled,Default Pipe,1,2.1
37,PI000037,33.04,PE,Enabled,Replacement Pipe,1,10.2
38,PI000038,33.81,SI,Enabled,Default Pipe,1,1.1
39,PI000039,33.42,PE,Enabled,Default Pipe,1,11.5
40,PI000040,35.79,SI,Enabled,Default Pipe,1,2.0
41,PI000041,27.79,PE,Enabled,Default Pipe,1,1.2
42,PI000042,33.41,PE,Enabled,Replacement Pipe,1,23.1
43,PI000043,29.52,PE,Enabled,Default Pipe,1,1.3
44,PI000044,29.40,PE,Enabled,Default Pipe,1,46.7
45,PI000045,30.19,PE,Enabled,Default Pipe,1,1.6
46,PI000046,29.65,PE,Enabled,Default Pipe,1,0.8
47,PI000047,32.64,PE,Enabled,Default Pipe,1,4.0
48,PI000048,27.86,PE,Enabled,Default Pipe,1,1.2
49,PI000049,33.41,CI,Enabled,Default Pipe,1,1.8
50,PI000050,29.72,PE,Enabled,Default Pipe,1,106.3
51,PI000051,31.18,PE,Enabled,Default Pipe,1,1.5
52,PI000052,33.72,PE,Enabled,Default Pipe,1,20.7
53,PI000053,29.87,PE,Enabled,Default Pipe,1,9.1
54,PI000054,29.14,PE,Enabled,Default Pipe,1,23.3
55,PI000055,30.44,PE,Enabled,Replacement Pipe,1,19.7
56,PI000056,32.64,PE,Enabled,Default Pipe,1,8.4
57,PI000057,32.38,CI,Enabled,Default Pipe,1,0.4
58,PI000058,32.63,PE,Enabled,Default Pipe,1,31.5
59,PI000059,32.68,PE,Enabled,Default Pipe,1,1.4
60,PI000060,32.72,PE,Enabled,Default Pipe,1,3.7
61,PI000061,32.69,PE,Enabled,Default Pipe,1,4.3
62,PI000062,31.26,SI,Enabled,Default Pipe,1,2.6
63,PI000063,28.88,PE,Enabled,Default Pipe,1,53.8
64,PI000064,28.83,PE,Enabled,Default Pipe,1,45.8
65,PI000065,28.38,PE,Enabled,Default Pipe,1,32.4
66,PI000066,23.27,PE,Enabled,Default Pipe,1,80.5
67,PI000067,32.58,PE,Enabled,Default Pipe,1,1.1
68,PI000068,31.49,PE,Enabled,Default Pipe,1,3.9
69,PI000069,32.76,PE,Enabled,Default Pipe,1,4.1
70,PI000070,30.85,PE,Enabled,Default Pipe,1,2.8
71,PI000071,32.66,PE,Enabled,Default Pipe,1,7.2
72,PI000072,32.56,PE,Enabled,Default Pipe,1,18.7
73,PI000073,30.97,PE,Enabled,Default Pipe,1,1.4
74,PI000074,30.80,PE,Enabled,Default Pipe,1,2.8
75,PI000075,32.05,PE,Enabled,Default Pipe,1,3.8
76,PI000076,25.01,PE,Enabled,Default Pipe,1,22.6
77,PI000077,27.02,PE,Enabled,Default Pipe,1,7.4
78,PI000078,24.89,PE,Enabled,Default Pipe,1,5.8
79,PI000079,26.39,PE,Enabled,Default Pipe,1,23.3
80,PI000080,30.68,CI,Enabled,Default Pipe,1,59.7
81,PI000081,27.17,PE,Enabled,Default Pipe,1,33.9
82,PI000082,24.45,PE,Enabled,Default Pipe,1,25.0
83,PI000083,25.33,PE,Enabled,Default Pipe,1,9.9
84,PI000084,25.26,CI,Enabled,Default Pipe,1,20.2
85,PI000085,26.92,PE,Enabled,Default Pipe,1,18.7
86,PI000086,24.87,PE,Enabled,Default Pipe,1,37.5
87,PI000087,32.03,PE,Enabled,Default Pipe,1,8.2
88,PI000088,24.92,PE,Enabled,Default Pipe,2,1.6
89,PI000089,24.92,PE,Enabled,Default Pipe,2,0.8
90,PI000092,25.81,PE,Enabled,Default Pipe,1,13.1
91,PI000093,24.54,PE,Enabled,Default Pipe,2,1.2
92,PI000094,25.79,CI,Enabled,Default Pipe,1,5.9
93,PI000095,25.77,PE,Enabled,Default Pipe,1,4.8
94,PI000096,25.80,CI,Enabled,Default Pipe,1,1.7
95,PI000097,25.43,PE,Enabled,Default Pipe,1,76.1
96,PI000099,26.18,PE,Enabled,Default Pipe,1,3.9
97,PI000100,24.98,PE,Enabled,Replacement Pipe,2,1.1
98,PI000101,25.85,CI,Enabled,Default Pipe,1,35.3
99,PI000102,24.99,CI,Enabled,Default Pipe,2,2.4
100,PI000103,25.79,CI,Enabled,Default Pipe,1,1.1
101,PI000105,33.48,PE,Enabled,Default Pipe,1,3.3
102,PI000106,34.99,PE,Enabled,Default Pipe,1,1.9
103,PI000107,37.40,SI,Enabled,Default Pipe,1,1.2
104,PI000108,33.72,PE,Enabled,Default Pipe,1,51.5
105,PI000109,33.49,PE,Enabled,Replacement Pipe,1,2.1
106,PI000110,29.13,PE,Enabled,Default Pipe,1,35.9
107,PI000112,36.35,CI,Enabled,Default Pipe,1,1.2
108,PI000113,30.24,PE,Enabled,Default Pipe,1,2.6
109,PI000114,35.87,SI,Enabled,Default Pipe,1,7.7
110,PI000115,32.44,CI,Enabled,Default Pipe,1,11.7
111,PI000116,31.60,PE,Enabled,Default Pipe,1,52.8
112,PI000118,31.77,PE,Enabled,Default Pipe,1,31.1
113,PI000119,31.90,PE,Enabled,Default Pipe,1,52.2
114,PI000120,30.08,CI,Enabled,Default Pipe,1,2.9
115,PI000121,31.35,PE,Enabled,Default Pipe,1,23.9
116,PI000122,30.50,CI,Enabled,Default Pipe,1,2.4
117,PI000123,29.85,PE,Enabled,Default Pipe,1,1.4
118,PI000124,33.47,PE,Enabled,Default Pipe,1,1.2
119,PI000125,32.23,CI,Enabled,Default Pipe,1,77.4
120,PI000126,30.13,CI,Enabled,Default Pipe,1,8.7
121,PI000127,30.09,CI,Enabled,Default Pipe,1,1.5
122,PI000128,33.24,PE,Enabled,Default Pipe,1,15.6
123,PI000129,30.36,DI,Enabled,Default Pipe,1,13.5
124,PI000130,32.67,PE,Enabled,Default Pipe,1,26.5
125,PI000131,31.23,PE,Enabled,Default Pipe,1,3.4
126,PI000132,24.11,PE,Enabled,Default Pipe,1,51.5
127,PI000133,32.27,PE,Enabled,Replacement Pipe,1,35.1
128,PI000134,31.37,PE,Enabled,Default Pipe,1,2.8
129,PI000135,23.20,PE,Enabled,Default Pipe,1,9.7
130,PI000136,31.34,PE,Enabled,Default Pipe,1,44.3
131,PI000137,30.12,PE,Enabled,Default Pipe,1,73.8
132,PI000138,32.12,PE,Enabled,Replacement Pipe,1,8.6
133,PI000139,29.96,PE,Enabled,Default Pipe,1,28.6
134,PI000140,31.32,PE,Enabled,Default Pipe,1,50.7
135,PI000141,31.63,PE,Enabled,Replacement Pipe,1,1.8
136,PI000142,32.48,PE,Enabled,Default Pipe,1,3.6
137,PI000143,30.73,PE,Enabled,Default Pipe,1,3.2
138,PI000144,31.60,SI,Enabled,Default Pipe,1,2.9
139,PI000145,32.64,PE,Enabled,Default Pipe,1,3.7
140,PI000146,30.71,CI,Enabled,Default Pipe,1,0.9
141,PI000147,27.17,PE,Enabled,Default Pipe,1,1.3
142,PI000148,27.17,PE,Enabled,Default Pipe,1,1.5
143,PI000149,27.13,PE,Enabled,Default Pipe,1,10.0
144,PI000150,27.41,PE,Enabled,Default Pipe,1,12.4
145,PI000151,27.82,PE,Enabled,Default Pipe,1,17.0
146,PI000152,30.71,PE,Enabled,Default Pipe,1,1.4
147,PI000153,24.88,PE,Enabled,Default Pipe,1,16.4
148,PI000154,25.25,CI,Enabled,Default Pipe,1,0.8
149,PI000155,25.28,PE,Enabled,Default Pipe,1,28.9
150,PI000156,25.43,SI,Enabled,Default Pipe,1,2.3
151,PI000157,25.16,PE,Enabled,Default Pipe,1,1.7
152,PI000158,24.87,PE,Enabled,Default Pipe,1,1.7
153,PI000161,24.46,PE,Enabled,Default Pipe,1,58.8
154,PI000162,24.85,DI,Enabled,Default Pipe,1,0.5
155,PI000163,23.82,PE,Enabled,Default Pipe,1,21.6
156,PI000164,24.74,PE,Enabled,Default Pipe,1,1.8
157,PI000165,24.38,PE,Enabled,Default Pipe,1,1.5
158,PI000167,26.67,CI,Enabled,Default Pipe,1,1.1
159,PI000168,24.88,PE,Enabled,Default Pipe,1,2.0
160,PI000169,24.85,PE,Enabled,Default Pipe,1,1.4
161,PI000170,27.14,PE,Enabled,Default Pipe,1,1.9
162,PI000171,25.76,PE,Enabled,Default Pipe,1,20.0
163,PI000172,27.23,PE,Enabled,Default Pipe,1,0.9
164,PI000173,26.91,PE,Enabled,Default Pipe,1,1.2
165,PI000174,27.04,PE,Enabled,Default Pipe,1,3.6
166,PI000175,24.81,PE,Enabled,Default Pipe,1,2.8
167,PI000176,24.22,PE,Enabled,Default Pipe,2,2.9
168,PI000177,23.65,PE,Enabled,Replacement Pipe,2,50.5
169,PI000178,23.53,PE,Enabled,Replacement Pipe,2,2.9
170,PI000179,24.21,PE,Enabled,Default Pipe,2,16.0
171,PI000180,30.46,PE,Enabled,Default Pipe,1,80.3
172,PI000181,25.38,PE,Enabled,Default Pipe,1,2.7
173,PI000182,30.56,PE,Enabled,Default Pipe,1,29.5
174,PI000183,25.17,PE,Enabled,Default Pipe,1,8.3
175,PI000184,25.17,PE,Enabled,Default Pipe,1,1.5
176,PI000185,24.95,PE,Enabled,Default Pipe,2,10.0
177,PI000186,24.97,PE,Enabled,Default Pipe,2,3.3
178,PI000187,24.54,PE,Enabled,Default Pipe,2,44.2
179,PI000188,24.54,PE,Enabled,Default Pipe,2,1.8
180,PI000189,24.92,PE,Enabled,Default Pipe,2,11.2
181,PI000190,24.54,PE,Enabled,Default Pipe,2,2.0
182,PI000191,24.96,PE,Enabled,Replacement Pipe,2,13.1
183,PI000192,24.92,PE,Enabled,Replacement Pipe,2,1.1
184,PI000193,23.61,PE,Enabled,Default Pipe,2,35.9
185,PI000194,23.95,PE,Enabled,Default Pipe,2,10.3
186,PI000195,25.78,PE,Enabled,Default Pipe,1,11.7
187,PI000196,23.51,PE,Enabled,Default Pipe,2,119.9
188,PI000197,32.99,PE,Enabled,Default Pipe,1,3.4
189,PI000198,34.04,SI,Enabled,Default Pipe,1,41.6
190,PI000199,34.32,SI,Enabled,Default Pipe,1,8.5
191,PI000200,34.56,CI,Enabled,Default Pipe,1,4.9
192,PI000201,27.88,PE,Enabled,Default Pipe,1,1.3
193,PI000202,31.78,PE,Enabled,Default Pipe,1,53.5
194,PI000203,31.96,PE,Enabled,Default Pipe,1,1.3
195,PI000204,33.35,PE,Enabled,Default Pipe,1,1.3
196,PI000205,33.35,PE,Enabled,Default Pipe,1,1.2
197,PI000206,30.66,CI,Enabled,Default Pipe,1,1.3
198,PI000207,30.35,PE,Enabled,Default Pipe,1,1.2
199,PI000208,30.50,CI,Enabled,Default Pipe,1,1.3
200,PI000209,30.34,PE,Enabled,Default Pipe,1,1.3
201,PI000210,30.14,CI,Enabled,Default Pipe,1,1.1
202,PI000211,30.21,PE,Enabled,Default Pipe,1,46.5
203,PI000212,30.06,CI,Enabled,Default Pipe,1,1.1
204,PI000213,30.24,PE,Enabled,Default Pipe,1,1.4
205,PI000214,31.86,PE,Enabled,Default Pipe,1,0.9
206,PI000215,32.01,PE,Enabled,Default Pipe,1,16.2
207,PI000216,31.96,PE,Enabled,Default Pipe,1,1.0
208,PI000217,29.08,PE,Enabled,Default Pipe,1,19.5
209,PI000218,28.73,PE,Enabled,Default Pipe,1,11.9
210,PI000219,30.99,PE,Enabled,Default Pipe,1,1.1
211,PI000220,29.95,CI,Enabled,Default Pipe,1,1.2
212,PI000221,29.95,CI,Enabled,Default Pipe,1,1.2
213,PI000222,29.92,CI,Enabled,Default Pipe,1,10.6
214,PI000223,30.08,PE,Enabled,Default Pipe,1,1.0
215,PI000224,29.86,PE,Enabled,Default Pipe,1,1.2
216,PI000225,29.95,PE,Enabled,Default Pipe,1,0.9
217,PI000226,30.12,ST,Enabled,Default Pipe,1,1.2
218,PI000227,29.85,PE,Enabled,Default Pipe,1,1.2
219,PI000228,33.01,PE,Enabled,Default Pipe,1,38.9
220,PI000229,33.34,PE,Enabled,Default Pipe,1,22.9
221,PI000230,33.43,PE,Enabled,Default Pipe,1,13.8
222,PI000231,33.48,PE,Enabled,Default Pipe,1,0.9
223,PI000232,34.81,SI,Enabled,Default Pipe,1,26.4
224,PI000233,33.45,PE,Enabled,Replacement Pipe,1,35.9
225,PI000234,33.36,PE,Enabled,Default Pipe,1,5.9
226,PI000235,33.41,PE,Enabled,Default Pipe,1,15.8
227,PI000236,32.95,PE,Enabled,Default Pipe,1,2.6
228,PI000237,33.40,PE,Enabled,Default Pipe,1,1.3
229,PI000238,33.40,PE,Enabled,Default Pipe,1,1.3
230,PI000239,33.49,PE,Enabled,Replacement Pipe,1,38.2
231,PI000240,33.49,PE,Enabled,Default Pipe,1,15.7
232,PI000241,33.67,PE,Enabled,Default Pipe,1,17.2
233,PI000242,33.46,PE,Enabled,Default Pipe,1,0.7
234,PI000243,33.48,PE,Enabled,Default Pipe,1,1.4
235,PI000244,33.60,PE,Enabled,Default Pipe,1,14.0
236,PI000245,33.65,PE,Enabled,Default Pipe,1,19.4
237,PI000246,33.49,PE,Enabled,Default Pipe,1,1.2
238,PI000247,33.80,SI,Enabled,Default Pipe,1,1.9
239,PI000248,33.48,PE,Enabled,Default Pipe,1,0.6
240,PI000249,33.48,PE,Enabled,Default Pipe,1,54.4
241,PI000250,33.49,PE,Enabled,Default Pipe,1,23.4
242,PI000251,33.58,PE,Enabled,Default Pipe,1,17.5
243,PI000252,33.54,CI,Enabled,Default Pipe,1,1.1
244,PI000253,33.52,PE,Enabled,Default Pipe,1,9.0
245,PI000254,32.94,CI,Enabled,Default Pipe,1,27.1
246,PI000255,31.74,PE,Enabled,Default Pipe,1,1.0
247,PI000256,30.66,CI,Enabled,Default Pipe,1,1.2
248,PI000257,31.46,PE,Enabled,Default Pipe,1,1.3
249,PI000258,30.50,CI,Enabled,Default Pipe,1,1.3
250,PI000259,30.13,CI,Enabled,Default Pipe,1,0.9
251,PI000260,31.24,PE,Enabled,Default Pipe,1,0.7
252,PI000261,30.13,CI,Enabled,Default Pipe,1,1.5
253,PI000262,30.35,ST,Enabled,Default Pipe,1,6.5
254,PI000263,31.00,PE,Enabled,Default Pipe,1,12.8
255,PI000264,32.67,CI,Enabled,Default Pipe,1,153.7
256,PI000265,33.31,PE,Enabled,Default Pipe,1,1.7
257,PI000266,32.85,PE,Enabled,Default Pipe,1,55.1
258,PI000267,33.39,PE,Enabled,Default Pipe,1,1.8
259,PI000268,33.01,CI,Enabled,Default Pipe,1,2.0
260,PI000269,33.23,PE,Enabled,Default Pipe,1,13.1
261,PI000270,33.11,PE,Enabled,Default Pipe,1,1.0
262,PI000271,31.42,PE,Enabled,Default Pipe,1,58.4
263,PI000272,30.89,PE,Enabled,Default Pipe,1,61.7
264,PI000273,30.16,PE,Enabled,Default Pipe,1,44.1
265,PI000274,35.59,PE,Enabled,Default Pipe,1,37.7
266,PI000275,34.67,PE,Enabled,Default Pipe,1,96.6
267,PI000276,34.34,PE,Enabled,Default Pipe,1,28.8
268,PI000277,29.31,PE,Enabled,Default Pipe,1,10.6
269,PI000278,28.66,PE,Enabled,Default Pipe,1,20.8
270,PI000279,28.97,PE,Enabled,Default Pipe,1,33.2
271,PI000280,29.29,PE,Enabled,Default Pipe,1,2.3
272,PI000281,28.16,PE,Enabled,Default Pipe,1,2.0
273,PI000282,34.01,PE,Enabled,Default Pipe,1,12.3
274,PI000283,33.95,PE,Enabled,Default Pipe,1,1.6
275,PI000284,36.19,CI,Enabled,Default Pipe,1,3.5
276,PI000285,30.47,PE,Enabled,Default Pipe,1,34.2
277,PI000286,30.47,PE,Enabled,Default Pipe,1,22.2
278,PI000287,23.22,PE,Enabled,Default Pipe,1,9.1
279,PI000288,23.24,PE,Enabled,Default Pipe,1,3.2
280,PI000289,31.56,PE,Enabled,Default Pipe,1,7.5
281,PI000290,30.25,PE,Enabled,Default Pipe,1,28.8
282,PI000291,32.21,PE,Enabled,Default Pipe,1,45.4
283,PI000292,32.69,PE,Enabled,Default Pipe,1,55.6
284,PI000293,32.75,PE,Enabled,Default Pipe,1,4.1
285,PI000294,31.33,PE,Enabled,Default Pipe,1,23.3
286,PI000295,29.87,PE,Enabled,Default Pipe,1,1.1
287,PI000296,32.70,PE,Enabled,Default Pipe,1,52.5
288,PI000297,32.72,PE,Enabled,Default Pipe,1,13.5
289,PI000298,31.30,PE,Enabled,Default Pipe,1,16.0
290,PI000299,31.38,PE,Enabled,Default Pipe,1,3.5
291,PI000300,30.05,PE,Enabled,Default Pipe,1,5.6
292,PI000301,35.47,CI,Enabled,Default Pipe,1,11.9
293,PI000302,35.15,CI,Enabled,Default Pipe,1,4.0
294,PI000303,32.38,CI,Enabled,Default Pipe,1,1.3
295,PI000304,31.63,PE,Enabled,Replacement Pipe,1,1.6
296,PI000305,23.24,PE,Enabled,Default Pipe,1,2.2
297,PI000306,28.04,PE,Enabled,Default Pipe,1,2.6
298,PI000307,27.81,PE,Enabled,Default Pipe,1,23.3
299,PI000308,27.88,PE,Enabled,Default Pipe,1,15.2
300,PI000309,27.98,PE,Enabled,Default Pipe,1,0.8
301,PI000310,27.22,PE,Enabled,Default Pipe,1,1.1
302,PI000311,27.70,PE,Enabled,Default Pipe,1,1.2
303,PI000312,32.58,PE,Enabled,Default Pipe,1,8.5
304,PI000313,32.63,PE,Enabled,Default Pipe,1,42.2
305,PI000314,32.67,PE,Enabled,Default Pipe,1,11.2
306,PI000315,29.01,PE,Enabled,Default Pipe,1,1.4
307,PI000316,29.01,PE,Enabled,Default Pipe,1,1.2
308,PI000317,23.24,PE,Enabled,Default Pipe,1,15.5
309,PI000318,29.29,PE,Enabled,Default Pipe,1,11.4
310,PI000319,32.67,PE,Enabled,Default Pipe,1,7.7
311,PI000320,32.34,PE,Enabled,Default Pipe,1,133.3
312,PI000321,30.44,PE,Enabled,Default Pipe,1,2.0
313,PI000322,32.75,PE,Enabled,Default Pipe,1,0.3
314,PI000323,30.21,PE,Enabled,Default Pipe,1,2.7
315,PI000324,32.70,PE,Enabled,Default Pipe,1,1.4
316,PI000325,30.54,PE,Enabled,Default Pipe,1,2.8
317,PI000326,32.85,PE,Enabled,Default Pipe,1,10.0
318,PI000327,33.66,PE,Enabled,Default Pipe,1,63.3
319,PI000328,32.56,PE,Enabled,Default Pipe,1,22.5
320,PI000329,31.23,SI,Enabled,Default Pipe,1,67.0
321,PI000330,32.75,PE,Enabled,Default Pipe,1,57.9
322,PI000331,32.45,PE,Enabled,Default Pipe,1,17.6
323,PI000332,32.36,PE,Enabled,Default Pipe,1,29.4
324,PI000333,33.24,PE,Enabled,Default Pipe,1,8.5
325,PI000334,33.24,PE,Enabled,Default Pipe,1,3.3
326,PI000335,32.22,PE,Enabled,Default Pipe,1,47.9
327,PI000336,32.39,PE,Enabled,Default Pipe,1,3.2
328,PI000337,31.88,PE,Enabled,Default Pipe,1,14.7
329,PI000338,32.39,CI,Enabled,Default Pipe,1,13.9
330,PI000339,31.20,PE,Enabled,Default Pipe,1,70.5
331,PI000340,30.87,PE,Enabled,Default Pipe,1,51.2
332,PI000341,30.87,PE,Enabled,Default Pipe,1,18.6
333,PI000342,32.43,PE,Enabled,Default Pipe,1,31.6
334,PI000343,32.58,PE,Enabled,Default Pipe,1,8.1
335,PI000344,32.58,PE,Enabled,Default Pipe,1,9.2
336,PI000345,31.95,PE,Enabled,Default Pipe,1,50.1
337,PI000346,30.71,PE,Enabled,Default Pipe,1,33.8
338,PI000347,30.80,PE,Enabled,Default Pipe,1,7.8
339,PI000348,30.89,PE,Enabled,Default Pipe,1,7.0
340,PI000349,30.97,PE,Enabled,Default Pipe,1,1.2
341,PI000350,30.71,PE,Enabled,Default Pipe,1,2.1
342,PI000352,25.26,PE,Enabled,Default Pipe,1,45.3
343,PI000353,25.56,PE,Enabled,Default Pipe,1,4.6
344,PI000355,25.46,PE,Enabled,Default Pipe,1,42.8
345,PI000357,25.79,CI,Enabled,Default Pipe,1,2.9
346,PI000358,31.46,PE,Enabled,Default Pipe,1,24.3
347,PI000362,33.32,PE,Enabled,Default Pipe,1,7.2
348,PI000363,34.64,PE,Enabled,Default Pipe,1,0.8
349,PI000364,30.66,PE,Enabled,Default Pipe,1,11.4
350,PI000367,30.49,PE,Enabled,Default Pipe,1,3.2
351,PI000368,29.36,PE,Enabled,Default Pipe,1,1.0
352,PI000369,30.57,PE,Enabled,Default Pipe,1,2.6
353,PI000371,27.81,PE,Enabled,Default Pipe,1,1.2
354,PI000372,23.21,PE,Enabled,Default Pipe,1,7.5
355,PI000373,30.79,PE,Enabled,Default Pipe,1,76.2
356,PI000374,32.66,PE,Enabled,Default Pipe,1,4.9
357,PI000375,31.26,SI,Enabled,Default Pipe,1,80.3
358,PI000376,32.33,PE,Enabled,Default Pipe,1,23.8
359,PI000377,30.95,PE,Enabled,Default Pipe,1,41.3
360,PI000378,30.82,PE,Enabled,Default Pipe,1,16.8
361,PI000379,24.80,PE,Enabled,Replacement Pipe,2,29.2
362,PI000380,24.92,PE,Enabled,Default Pipe,2,0.2
363,PI000381,33.11,PE,Enabled,Replacement Pipe,1,1.3
364,PI000383,33.07,PE,Enabled,Replacement Pipe,1,8.9
365,PI000384,33.49,PE,Enabled,Default Pipe,1,4.1
366,PI000385,33.49,PE,Enabled,Default Pipe,1,0.6
367,PI000386,33.49,PE,Enabled,Default Pipe,1,1.2
368,PI000388,25.92,CI,Enabled,Default Pipe,1,26.4
369,PI000389,29.63,PE,Enabled,Default Pipe,1,12.7
370,PI000390,29.66,PE,Enabled,Default Pipe,1,10.3
371,PI000391,29.76,PE,Enabled,Default Pipe,1,5.3
372,PI000392,29.62,PE,Enabled,Default Pipe,1,0.7
373,PI000395,29.66,PE,Enabled,Default Pipe,1,0.7
374,PI000396,29.66,PE,Enabled,Default Pipe,1,7.0
375,PI000398,25.72,ST,Enabled,Default Pipe,1,6.0
376,PI000400,29.57,PE,Enabled,Default Pipe,1,1.3
377,PI000090,23.41,PE,Enabled,Replacement Pipe,2,82.6
378,PI000091,25.41,PE,Enabled,Default Pipe,1,18.5
379,0465811159,25.18,PE,Enabled,Default Pipe,1,64.8
380,0465812671,24.88,PE,Enabled,Default Pipe,1,1.3
381,0465812636,23.90,PE,Enabled,Default Pipe,1,1.6
382,0465812624,24.39,PE,Enabled,Default Pipe,1,18.3
383,0623952731,27.04,PE,Enabled,Default Pipe,1,4.0
384,0465810895,26.99,PE,Enabled,Default Pipe,1,39.5
385,0465811613,27.32,PE,Enabled,Default Pipe,1,12.8
386,0465811809,24.03,PE,Enabled,Default Pipe,1,19.1
387,0465812571,24.68,PE,Enabled,Default Pipe,1,1.0
388,0465812618,24.36,PE,Enabled,Default Pipe,1,8.4
389,0465811840,24.85,PE,Enabled,Default Pipe,1,20.4
390,0623952732,26.91,PE,Enabled,Default Pipe,1,8.7
391,0465812634,23.98,PE,Enabled,Default Pipe,1,24.6
392,0465811890,24.92,PE,Enabled,Default Pipe,1,73.5
393,0465811152,25.25,CI,Enabled,Default Pipe,1,0.9
394,0465812617,24.68,PE,Enabled,Default Pipe,1,1.7
395,0625379256,25.67,PE,Enabled,Default Pipe,1,0.6
396,0465812666,25.00,PE,Enabled,Default Pipe,1,114.4
397,0465812626,24.01,PE,Enabled,Default Pipe,1,19.4
398,0465811883,25.01,PE,Enabled,Default Pipe,1,41.4
399,0465811893,24.70,PE,Enabled,Default Pipe,1,63.6
400,0465811179,25.33,SI,Enabled,Default Pipe,1,61.0
401,0465811812,24.83,PE,Enabled,Default Pipe,1,25.2
402,0625379255,27.08,PE,Enabled,Default Pipe,1,11.3
403,0465811607,27.14,PE,Enabled,Default Pipe,1,1.2
404,0465812573,23.96,PE,Enabled,Default Pipe,1,51.0
405,0465812572,24.70,PE,Enabled,Default Pipe,1,1.6
406,0465811176,25.14,DI,Enabled,Default Pipe,1,154.3
407,0650582295,25.25,PE,Enabled,Default Pipe,1,31.0
408,0465811174,26.73,CI,Enabled,Default Pipe,1,18.4
409,0650596860,26.61,PE,Enabled,Default Pipe,1,22.4
410,0650596780,26.31,PE,Enabled,Default Pipe,1,44.7
411,0465811876,25.23,PE,Enabled,Default Pipe,1,1.5
412,0465811602,26.90,PE,Enabled,Default Pipe,1,7.2
413,0465810381,26.68,PE,Enabled,Default Pipe,1,50.7
414,0623952729,27.14,PE,Enabled,Default Pipe,1,0.8
415,0465810733,30.71,PE,Enabled,Default Pipe,1,45.0
416,0465811154,25.27,PE,Enabled,Default Pipe,1,9.1
417,0465812667,24.88,PE,Enabled,Default Pipe,1,35.3
418,0465811886,24.41,PE,Enabled,Default Pipe,1,90.4
419,0465811882,25.34,PE,Enabled,Default Pipe,1,0.7
420,0608001405,25.65,PE,Enabled,Default Pipe,1,1.4
421,0465811162,25.92,CI,Enabled,Default Pipe,1,196.5
422,0465810722,30.71,CI,Enabled,Default Pipe,1,2.6
423,0465812062,25.05,PE,Enabled,Default Pipe,1,93.8
424,0465811892,24.70,PE,Enabled,Default Pipe,1,10.0
425,0465811897,24.78,PE,Enabled,Default Pipe,1,97.4
