SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,34.03,PE,Enabled,Default Pipe,5,11.0
2,PI000002,34.68,PE,Enabled,Default Pipe,1,23.9
3,PI000003,29.67,PE,Enabled,Default Pipe,2,2.7
4,PI000004,29.97,PE,Enabled,Default Pipe,2,37.1
5,PI000005,29.36,PE,Enabled,Default Pipe,2,45.2
6,PI000006,29.24,PE,Enabled,Default Pipe,2,19.6
7,PI000007,30.15,PE,Enabled,Default Pipe,2,47.1
8,PI000008,29.89,SI,Enabled,Default Pipe,2,78.2
9,PI000009,29.12,PE,Enabled,Default Pipe,2,21.2
10,PI000010,30.12,SI,Enabled,Default Pipe,2,134.5
11,PI000011,35.57,PE,Enabled,Default Pipe,5,2.6
12,PI000013,40.00,PE,Enabled,Default Pipe,5,46.4
13,PI000014,34.33,PE,Enabled,Default Pipe,2,54.4
14,PI000015,35.98,PE,Enabled,Replacement Pipe,2,3.3
15,PI000017,34.41,PE,Enabled,Default Pipe,2,17.6
16,PI000018,34.84,PE,Enabled,Default Pipe,2,3.2
17,PI000021,44.66,PE,Enabled,Default Pipe,1,61.8
18,PI000022,33.72,PE,Enabled,Default Pipe,2,15.0
19,PI000023,33.65,PE,Enabled,Default Pipe,2,7.5
20,PI000024,35.05,PE,Enabled,Replacement Pipe,2,15.7
21,PI000025,34.42,PE,Enabled,Default Pipe,2,18.2
22,PI000026,73.80,PE,Enabled,Default Pipe,4,38.9
23,PI000027,34.58,PE,Enabled,Default Pipe,2,8.3
24,PI000028,33.95,PE,Enabled,Default Pipe,2,9.1
25,PI000029,30.93,SI,Enabled,Default Pipe,2,1.6
26,PI000030,30.99,PE,Enabled,Default Pipe,2,15.3
27,PI000031,30.57,PE,Enabled,Default Pipe,2,3.8
28,PI000032,30.15,CI,Enabled,Default Pipe,2,30.5
29,PI000033,29.74,PE,Enabled,Default Pipe,2,19.5
30,PI000034,33.30,PE,Enabled,Default Pipe,2,18.2
31,PI000035,32.69,PE,Enabled,Default Pipe,2,9.7
32,PI000036,29.05,PE,Enabled,Default Pipe,2,31.7
33,PI000037,31.52,CI,Enabled,Default Pipe,2,2.2
34,PI000038,31.63,PE,Enabled,Default Pipe,2,102.6
35,PI000039,32.39,SI,Enabled,Default Pipe,2,23.3
36,PI000040,32.61,PE,Enabled,Default Pipe,2,53.1
37,PI000041,32.69,SI,Enabled,Default Pipe,2,1.5
38,PI000042,32.75,SI,Enabled,Default Pipe,2,59.6
39,PI000043,33.29,PE,Enabled,Replacement Pipe,2,33.4
40,PI000044,28.05,SI,Enabled,Default Pipe,2,4.0
41,PI000045,27.95,CI,Enabled,Default Pipe,2,34.5
42,PI000046,39.11,SI,Enabled,Default Pipe,3,24.7
43,PI000047,28.02,SI,Enabled,Default Pipe,2,125.2
44,PI000048,23.54,PE,Enabled,Replacement Pipe,2,49.7
45,PI000049,23.68,SI,Enabled,Default Pipe,2,68.1
46,PI000050,39.87,PE,Enabled,Default Pipe,3,3.7
47,PI000051,39.76,PE,Enabled,Default Pipe,3,40.8
48,PI000052,29.86,SI,Enabled,Default Pipe,2,3.3
49,PI000053,30.05,PE,Enabled,Default Pipe,2,61.9
50,PI000054,29.39,PE,Enabled,Default Pipe,2,15.9
51,PI000055,39.73,PE,Enabled,Default Pipe,1,2.0
52,PI000056,33.74,PE,Enabled,Default Pipe,1,31.2
53,PI000057,39.30,PE,Enabled,Default Pipe,1,52.6
54,PI000058,29.35,PE,Enabled,Default Pipe,2,27.7
55,PI000059,29.82,PE,Enabled,Default Pipe,2,10.1
56,PI000061,30.31,SI,Enabled,Default Pipe,2,8.0
57,PI000062,29.34,PE,Enabled,Default Pipe,2,5.7
58,PI000063,30.65,PE,Enabled,Default Pipe,2,74.3
59,PI000065,33.21,PE,Enabled,Replacement Pipe,2,27.9
60,PI000066,32.65,PE,Enabled,Default Pipe,2,8.1
61,PI000067,30.65,PE,Enabled,Default Pipe,2,27.2
62,PI000069,33.44,PE,Enabled,Replacement Pipe,2,25.5
63,PI000070,34.85,PE,Enabled,Replacement Pipe,2,2.2
64,PI000071,34.89,SI,Enabled,Default Pipe,2,14.8
65,PI000072,32.13,PE,Enabled,Default Pipe,2,5.7
66,PI000073,33.44,PE,Enabled,Default Pipe,2,13.3
67,PI000074,33.25,PE,Enabled,Replacement Pipe,2,25.2
68,PI000075,33.41,PE,Enabled,Default Pipe,2,9.2
69,PI000076,29.83,PE,Enabled,Default Pipe,2,20.5
70,PI000077,34.42,PE,Enabled,Default Pipe,2,34.4
71,PI000079,34.40,PE,Enabled,Replacement Pipe,2,54.9
72,PI000080,33.20,PE,Enabled,Replacement Pipe,2,35.8
73,PI000082,34.25,PE,Enabled,Default Pipe,2,23.2
74,PI000083,34.06,PE,Enabled,Default Pipe,2,13.2
75,PI000084,33.75,PE,Enabled,Replacement Pipe,2,47.3
76,PI000085,34.75,PE,Enabled,Default Pipe,2,7.9
77,PI000086,34.97,PE,Enabled,Replacement Pipe,2,83.7
78,PI000087,33.02,PE,Enabled,Default Pipe,2,116.0
79,PI000088,33.78,PE,Enabled,Default Pipe,2,6.6
80,PI000089,31.46,PE,Enabled,Default Pipe,2,42.6
81,PI000090,29.28,PE,Enabled,Replacement Pipe,2,88.0
82,PI000091,30.92,PE,Enabled,Default Pipe,2,22.5
83,PI000092,33.18,PE,Enabled,Replacement Pipe,2,68.8
84,PI000093,33.50,PE,Enabled,Default Pipe,2,42.8
85,PI000094,30.72,PE,Enabled,Default Pipe,2,1.4
86,PI000095,29.05,PE,Enabled,Default Pipe,2,7.0
87,PI000096,33.85,PE,Enabled,Default Pipe,2,15.6
88,PI000097,32.71,PE,Enabled,Default Pipe,2,11.6
89,PI000099,30.59,PE,Enabled,Default Pipe,2,2.4
90,PI000101,32.71,PE,Enabled,Default Pipe,2,36.7
91,PI000102,33.39,PE,Enabled,Default Pipe,2,7.5
92,PI000103,32.75,PE,Enabled,Default Pipe,2,14.1
93,PI000104,32.69,PE,Enabled,Default Pipe,2,8.8
94,PI000105,32.89,SI,Enabled,Default Pipe,2,23.3
95,PI000106,32.39,SI,Enabled,Default Pipe,2,24.5
96,PI000107,32.27,PE,Enabled,Default Pipe,2,61.7
97,PI000108,32.71,PE,Enabled,Default Pipe,2,7.7
98,PI000109,23.90,SI,Enabled,Default Pipe,2,2.0
