SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,0467193062,45.76,PE,Enabled,Default Pipe,1,4.4
2,0467193555,45.68,PE,Enabled,Default Pipe,1,2.9
3,0467194151,45.59,PE,Enabled,Default Pipe,1,4.3
4,0467193332,45.04,PE,Enabled,Default Pipe,1,60.5
5,0622596799,45.63,PE,Enabled,Default Pipe,1,9.3
6,0467193698,45.40,PE,Enabled,Default Pipe,1,90.4
7,PI000370,45.76,PE,Enabled,Default Pipe,1,4.6
8,0467193065,45.76,PE,Enabled,Default Pipe,1,4.6
9,0467193251,45.64,PE,Enabled,Default Pipe,1,44.7
10,0467193691,44.94,PE,Enabled,Default Pipe,1,95.4
11,0467193066,45.76,PE,Enabled,Default Pipe,1,12.7
12,0467193939,45.73,PE,Enabled,Default Pipe,1,11.5
13,0467247571,45.75,PE,Enabled,Default Pipe,1,89.4
14,PI000371,45.69,PE,Enabled,Default Pipe,1,4.2
15,0622596800,45.69,PE,Enabled,Default Pipe,1,9.4
16,0467193252,45.70,PE,Enabled,Default Pipe,1,73.8
17,0629436531,44.93,PE,Enabled,Default Pipe,1,12.1
18,0467193250,46.03,PE,Enabled,Default Pipe,1,58.9
19,0467193055,42.53,PE,Enabled,Default Pipe,1,40.2
20,0467194488,45.70,PE,Enabled,Default Pipe,1,3.5
21,PI000372,45.52,PE,Enabled,Default Pipe,1,29.3
22,0627960634,45.36,PE,Enabled,Default Pipe,1,12.2
23,0607352052,45.08,PE,Enabled,Default Pipe,1,3.6
24,0467193559,45.67,PE,Enabled,Default Pipe,1,14.5
25,0630497068,44.26,PE,Enabled,Default Pipe,1,23.1
26,0467193636,45.07,PE,Enabled,Default Pipe,1,80.4
27,0650769938,44.67,PE,Enabled,Default Pipe,1,13.6
28,0651088490,44.37,PE,Enabled,Default Pipe,1,17.0
29,0650604089,42.70,PE,Enabled,Default Pipe,1,23.4
30,0467193538,45.38,PE,Enabled,Default Pipe,1,80.8
31,0467193467,44.42,PE,Enabled,Default Pipe,1,89.6
32,0467193133,44.81,PE,Enabled,Default Pipe,1,1.9
33,0467193343,44.72,PE,Enabled,Default Pipe,1,63.2
34,0467193248,46.02,PE,Enabled,Default Pipe,1,26.7
35,0467193634,45.34,PE,Enabled,Default Pipe,1,84.3
36,0467193651,45.24,PE,Enabled,Default Pipe,1,2.3
37,0629436532,44.93,PE,Enabled,Default Pipe,1,43.3
38,0467193874,45.00,PE,Enabled,Default Pipe,1,63.4
39,0467193338,44.58,PE,Enabled,Default Pipe,1,1.5
40,PI000373,45.02,PE,Enabled,Default Pipe,1,11.2
41,0467193473,44.38,PE,Enabled,Default Pipe,1,14.3
42,0467193968,44.39,PE,Enabled,Default Pipe,1,2.0
43,0627322051,45.05,PE,Enabled,Default Pipe,1,5.0
44,0467193077,44.65,PE,Enabled,Default Pipe,1,4.0
45,0467193864,44.49,PE,Enabled,Default Pipe,1,94.6
46,PI000374,45.75,PE,Enabled,Default Pipe,1,48.5
47,0467193557,45.70,PE,Enabled,Default Pipe,1,2.8
48,0467193155,45.40,PE,Enabled,Default Pipe,1,58.0
49,0467193617,45.72,PE,Enabled,Default Pipe,1,2.7
50,0467193545,44.95,PE,Enabled,Default Pipe,1,34.1
51,0467193341,44.63,PE,Enabled,Default Pipe,1,46.8
52,0467193163,44.92,PE,Enabled,Default Pipe,1,33.6
53,PI000375,44.89,PE,Enabled,Default Pipe,1,5.0
54,0467193964,44.88,PE,Enabled,Default Pipe,1,41.5
55,0467193139,44.81,PE,Enabled,Default Pipe,1,18.2
56,0605279047,45.00,PE,Enabled,Default Pipe,1,49.4
57,PI000376,44.43,PE,Enabled,Default Pipe,1,53.5
58,0621389366,44.36,PE,Enabled,Default Pipe,1,5.9
59,0467193654,44.99,PE,Enabled,Default Pipe,1,2.3
60,PI000377,45.03,PE,Enabled,Default Pipe,1,44.2
61,0467194711,44.98,PE,Enabled,Default Pipe,1,13.5
62,0467193086,44.62,PE,Enabled,Default Pipe,1,93.6
63,PI000378,44.82,PE,Enabled,Default Pipe,1,69.6
64,0467193346,44.67,PE,Enabled,Default Pipe,1,15.3
65,0467193876,44.94,PE,Enabled,Default Pipe,1,3.2
66,PI000379,44.40,PE,Enabled,Default Pipe,1,71.6
67,0650903361,44.41,PE,Enabled,Default Pipe,1,27.2
68,0467193475,44.37,PE,Enabled,Default Pipe,1,33.9
69,PI000380,44.72,PE,Enabled,Default Pipe,1,23.4
70,0621551575,44.65,PE,Enabled,Default Pipe,1,20.4
71,0467193573,43.26,PE,Enabled,Default Pipe,1,48.4
72,0467193616,44.91,PE,Enabled,Default Pipe,1,9.9
73,0467193049,43.66,PE,Enabled,Default Pipe,1,151.3
74,0467193534,44.93,PE,Enabled,Default Pipe,1,89.4
75,0615643384,44.30,PE,Enabled,Default Pipe,1,22.1
76,0467194183,45.87,PE,Enabled,Default Pipe,1,11.3
77,0467193755,45.01,PE,Enabled,Default Pipe,1,20.7
78,0467193536,45.61,PE,Enabled,Default Pipe,1,32.6
79,0467193085,44.56,PE,Enabled,Default Pipe,1,24.6
80,0467193877,45.01,PE,Enabled,Default Pipe,1,2.9
81,PI000381,44.52,PE,Enabled,Default Pipe,1,5.9
82,0467193081,44.66,PE,Enabled,Default Pipe,1,50.6
83,0467193160,45.03,PE,Enabled,Default Pipe,1,72.8
84,0467193537,45.56,PE,Enabled,Default Pipe,1,5.0
85,PI000382,44.89,PE,Enabled,Default Pipe,1,1.6
86,0467193965,44.62,PE,Enabled,Default Pipe,1,4.1
87,PI000383,44.91,PE,Enabled,Default Pipe,1,27.2
88,0467193088,44.93,PE,Enabled,Default Pipe,1,14.3
89,0604193302,45.08,PE,Enabled,Default Pipe,1,17.6
90,0467193866,43.59,PE,Enabled,Default Pipe,1,82.7
91,0467193128,45.05,PE,Enabled,Default Pipe,1,1.7
92,PI000384,45.32,PE,Enabled,Default Pipe,1,36.8
93,0467193165,44.65,PE,Enabled,Default Pipe,1,46.1
94,0467193215,45.25,PE,Enabled,Default Pipe,1,96.8
95,0467193962,44.79,PE,Enabled,Default Pipe,1,1.3
96,0467193615,45.94,PE,Enabled,Default Pipe,1,29.5
97,0467194633,44.14,PE,Enabled,Default Pipe,1,43.1
98,0467194428,43.72,PE,Enabled,Default Pipe,1,46.5
99,0467193056,45.84,PE,Enabled,Default Pipe,1,135.3
100,0632581056,44.59,PE,Enabled,Default Pipe,1,64.5
101,0467194483,42.56,PE,Enabled,Default Pipe,1,44.2
102,0467194358,44.10,PE,Enabled,Default Pipe,1,38.8
103,0467193035,43.01,PE,Enabled,Default Pipe,1,37.0
104,0467194286,45.85,PE,Enabled,Default Pipe,1,87.9
