SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,0623035956,23.04,ST,Enabled,Default Pipe,4,81.5
2,0466217017,22.96,PE,Enabled,Default Pipe,4,135.6
3,0605539587,22.82,ST,Enabled,Default Pipe,4,4.7
4,0466215061,24.25,PE,Enabled,Default Pipe,4,1.1
5,0627699867,23.23,PE,Enabled,Default Pipe,4,12.8
6,0626452190,23.13,PE,Enabled,Default Pipe,4,105.4
7,0622905062,23.75,PE,Enabled,Default Pipe,4,10.7
8,0626452811,23.75,PE,Enabled,Default Pipe,4,14.1
9,0466217014,23.01,CI,Enabled,Default Pipe,4,19.5
10,0466217015,23.20,CI,Enabled,Default Pipe,4,1.7
11,0650183500,25.22,PE,Enabled,Default Pipe,4,5.5
12,0650183875,24.73,PE,Enabled,Default Pipe,4,17.9
13,0650184413,24.97,PE,Enabled,Default Pipe,4,3.3
14,0650239396,24.93,PE,Enabled,Default Pipe,4,27.9
15,0627699872,24.40,PE,Enabled,Default Pipe,4,25.8
16,0650184440,25.47,PE,Enabled,Default Pipe,4,3.2
17,0466217928,25.47,PE,Enabled,Default Pipe,4,10.7
18,0628144320,23.25,PE,Enabled,Default Pipe,4,13.2
19,0650183389,25.16,PE,Enabled,Default Pipe,4,68.7
20,0650183783,25.10,PE,Enabled,Default Pipe,4,48.3
21,0650183635,25.07,PE,Enabled,Default Pipe,4,2.7
22,0650184615,25.84,PE,Enabled,Default Pipe,4,35.3
23,0623035954,22.79,ST,Enabled,Default Pipe,4,2.0
24,0628144319,23.25,PE,Enabled,Default Pipe,4,30.4
25,0628367929,24.18,PE,Enabled,Default Pipe,4,22.8
26,0630832081,22.91,PE,Enabled,Default Pipe,4,49.5
27,0466217927,25.47,PE,Enabled,Default Pipe,4,34.4
28,0650183901,26.16,PE,Enabled,Default Pipe,4,1.8
29,0650028191,22.22,PE,Enabled,Default Pipe,4,1.4
30,0650028188,22.52,PE,Enabled,Default Pipe,4,28.2
31,0650183479,25.22,PE,Enabled,Default Pipe,4,18.4
32,0650028171,22.51,PE,Enabled,Default Pipe,4,2.0
33,0628645838,24.14,PE,Enabled,Default Pipe,4,28.6
34,0650183432,25.22,PE,Enabled,Default Pipe,4,4.8
35,0650183721,24.98,PE,Enabled,Default Pipe,4,2.4
36,0650028190,22.25,PE,Enabled,Default Pipe,4,1.5
37,0466217011,22.87,CI,Enabled,Default Pipe,4,37.1
38,0628144318,23.32,PE,Enabled,Default Pipe,4,13.5
39,0650183347,25.22,PE,Enabled,Default Pipe,4,13.4
40,0650183833,25.12,PE,Enabled,Default Pipe,4,5.2
41,0626452185,24.25,PE,Enabled,Default Pipe,4,1.0
42,0623035953,22.85,ST,Enabled,Default Pipe,4,12.7
43,0627974129,23.16,PE,Enabled,Default Pipe,4,3.0
44,0627974128,23.38,PE,Enabled,Default Pipe,4,44.0
45,0626452189,23.82,PE,Enabled,Default Pipe,4,24.5
46,0626452188,24.57,PE,Enabled,Default Pipe,4,2.3
47,0626452187,24.61,PE,Enabled,Default Pipe,4,12.1
48,0650183936,24.97,PE,Enabled,Default Pipe,4,3.3
49,0626452186,24.34,PE,Enabled,Default Pipe,4,4.7
50,0650183759,24.98,PE,Enabled,Default Pipe,4,2.7
51,0626452183,24.53,PE,Enabled,Default Pipe,4,37.2
