SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,0467232196,23.30,PE,Enabled,Default Pipe,2,70.7
2,0467232185,24.10,PE,Enabled,Default Pipe,2,58.0
3,0466562165,22.90,PE,Enabled,Default Pipe,2,78.4
4,0466562154,23.23,PE,Enabled,Default Pipe,2,42.7
5,0466565474,25.82,PE,Enabled,Default Pipe,2,65.1
6,0467232202,23.50,PE,Enabled,Default Pipe,2,63.7
7,0466565231,25.08,PE,Enabled,Default Pipe,2,88.1
8,0466561657,27.80,PE,Enabled,Default Pipe,2,16.2
9,0466562173,22.92,PE,Enabled,Default Pipe,2,39.2
10,0466565215,24.92,PE,Enabled,Default Pipe,2,1.4
11,0466561654,27.22,PE,Enabled,Default Pipe,2,374.8
12,0466561737,27.86,PE,Enabled,Default Pipe,2,69.9
13,0627989678,27.72,ST,Enabled,Default Pipe,2,43.3
14,0466565211,25.86,PE,Enabled,Default Pipe,2,21.1
15,0466565133,26.65,PE,Enabled,Default Pipe,2,28.5
16,0466565709,25.39,PE,Enabled,Default Pipe,2,69.7
17,0466565139,25.90,PE,Enabled,Default Pipe,2,4.2
18,0466565176,24.69,PE,Enabled,Default Pipe,2,24.5
19,0466561660,27.69,CI,Enabled,Default Pipe,2,3.9
20,0466561658,27.75,PE,Enabled,Default Pipe,2,90.6
21,0466565189,26.74,PE,Enabled,Default Pipe,2,58.8
22,PI0001580000158,26.56,PE,Enabled,Default Pipe,2,35.2
23,0466565148,26.36,PE,Enabled,Default Pipe,2,40.0
24,PI0001590000159,27.70,PE,Enabled,Default Pipe,2,44.7
25,0466561715,26.91,PE,Enabled,Default Pipe,2,9.1
26,0466561707,28.12,PE,Enabled,Default Pipe,2,121.3
27,0466565428,27.34,PE,Enabled,Default Pipe,2,38.0
28,0466565177,24.65,PE,Enabled,Default Pipe,2,43.3
29,0466565149,25.82,PE,Enabled,Default Pipe,2,24.4
30,0466565184,23.82,PE,Enabled,Default Pipe,2,143.2
31,0466565152,25.25,PE,Enabled,Default Pipe,2,60.8
32,0466565430,27.85,PE,Enabled,Default Pipe,2,70.6
33,0466565445,27.79,PE,Enabled,Default Pipe,2,22.7
34,0466565199,26.56,PE,Enabled,Default Pipe,2,60.5
35,0466561735,25.84,PE,Enabled,Default Pipe,2,31.3
36,0466565326,26.27,PE,Enabled,Default Pipe,2,125.9
37,0466565457,27.56,PE,Enabled,Default Pipe,2,194.4
38,0623791722,29.91,PE,Enabled,Default Pipe,2,36.5
39,0466565269,25.90,PE,Enabled,Default Pipe,2,97.9
40,0466562934,30.98,PE,Enabled,Default Pipe,2,7.2
41,0466561438,29.85,PE,Enabled,Replacement Pipe,2,70.4
42,0466565621,29.51,PE,Enabled,Default Pipe,2,55.8
43,0628382565,27.66,PE,Enabled,Default Pipe,2,21.7
44,0466562940,31.78,PE,Enabled,Default Pipe,2,12.3
45,0466562869,32.30,PE,Enabled,Default Pipe,2,11.1
46,0466565314,26.65,PE,Enabled,Default Pipe,2,2.3
47,0466561417,26.50,PE,Enabled,Replacement Pipe,2,62.1
48,PI0001600000160,28.93,PE,Enabled,Default Pipe,2,40.4
49,0466561716,28.79,PE,Enabled,Default Pipe,2,18.8
50,PI0001610000161,29.73,PE,Enabled,Default Pipe,2,43.9
51,0466563287,29.62,PE,Enabled,Default Pipe,2,38.7
52,0466561757,33.27,PE,Enabled,Default Pipe,2,15.2
53,0466562948,30.09,PE,Enabled,Default Pipe,2,39.7
54,0466562960,32.05,PE,Enabled,Default Pipe,2,108.4
55,0466562938,30.61,PE,Enabled,Default Pipe,2,6.8
