SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,66.14,PE,Enabled,Default Pipe,1,8.8
2,PI000002,61.08,PE,Enabled,Default Pipe,1,143.9
3,PI000003,62.22,PE,Enabled,Default Pipe,1,27.8
4,PI000004,68.01,PE,Enabled,Default Pipe,1,116.9
5,0466617422,69.70,PE,Enabled,Default Pipe,1,8.5
6,0466617493,62.34,PE,Enabled,Default Pipe,1,11.0
7,0466617427,66.08,PE,Enabled,Default Pipe,1,93.2
8,0466617426,61.06,PE,Enabled,Default Pipe,1,159.7
9,0466617430,52.12,PE,Enabled,Default Pipe,1,85.6
10,0467252462,66.10,PE,Enabled,Default Pipe,1,38.0
11,0466617466,50.89,PE,Enabled,Default Pipe,1,198.0
12,0466617429,64.00,PE,Enabled,Default Pipe,1,52.8
13,0466619367,65.71,PE,Enabled,Default Pipe,1,88.5
14,0466617499,62.20,PE,Enabled,Default Pipe,1,26.1
15,0466617500,62.01,PE,Enabled,Default Pipe,1,130.2
16,0466619371,66.35,PE,Enabled,Default Pipe,1,69.0
17,0466617433,51.59,PE,Enabled,Default Pipe,1,38.8
18,0466617424,66.61,PE,Enabled,Default Pipe,1,1.2
19,0467252463,66.10,PE,Enabled,Default Pipe,1,17.7
20,0467233726,51.59,PE,Enabled,Default Pipe,1,187.0
21,0609463266,62.20,PE,Enabled,Default Pipe,1,2.0
22,0466617511,61.72,PE,Enabled,Default Pipe,1,69.5
23,0606725287,62.26,PE,Enabled,Default Pipe,1,29.3
24,0466617474,60.97,PE,Enabled,Default Pipe,2,478.6

Model State: Solved

Generated on 11/03/2015 16:58:01

SynerGEE Gas 4.7.1: ASP
