SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,0466021633,30.50,PE,Enabled,Default Pipe,3,80.5
2,0466021631,30.57,PE,Enabled,Default Pipe,3,4.2
3,0466021632,30.58,PE,Enabled,Default Pipe,3,90.3
4,0466021652,30.55,PE,Enabled,Default Pipe,3,83.3
5,0466021635,30.82,PE,Enabled,Default Pipe,3,34.8
6,0466019132,29.32,PE,Enabled,Default Pipe,1,14.5
7,0466019129,29.32,PE,Enabled,Default Pipe,1,3.5
8,0605610202,29.32,PE,Enabled,Default Pipe,1,6.8
9,0466021681,30.99,PE,Enabled,Default Pipe,3,6.0
10,0466019561,29.17,PE,Enabled,Default Pipe,1,24.3
11,0612839507,29.44,PE,Enabled,Default Pipe,1,8.2
12,0466021645,30.65,ST,Enabled,Default Pipe,3,2.9
13,0466021643,30.65,ST,Enabled,Default Pipe,3,3.2
14,0466021646,30.65,PE,Enabled,Default Pipe,3,29.6
15,0466021642,30.61,ST,Enabled,Default Pipe,3,3.3
16,0466021644,30.65,ST,Enabled,Default Pipe,3,3.1
17,0466018980,29.96,PE,Enabled,Default Pipe,1,5.6
18,0466021574,30.49,DI,Enabled,Default Pipe,3,36.3
19,0466021650,31.88,PE,Enabled,Default Pipe,3,4.0
20,0620740579,31.88,PE,Enabled,Default Pipe,3,3.6
21,0466021655,31.89,PE,Enabled,Default Pipe,3,9.5
22,0466021649,31.90,PE,Enabled,Default Pipe,3,4.5
23,0466021648,31.88,PE,Enabled,Default Pipe,3,36.4
24,0466021689,31.89,PE,Enabled,Default Pipe,3,13.5
25,0466021678,30.98,PE,Enabled,Default Pipe,3,20.9
26,0466021651,31.88,PE,Enabled,Default Pipe,3,3.4
27,0466021659,31.88,PE,Enabled,Default Pipe,3,21.8
28,0466021665,31.88,PE,Enabled,Default Pipe,3,13.5
29,0466015277,32.03,PE,Enabled,Default Pipe,2,2.5
30,0466015274,31.87,PE,Enabled,Default Pipe,2,58.2
31,0629707374,42.44,PE,Enabled,Default Pipe,2,22.9
32,0466015944,41.72,PE,Enabled,Default Pipe,2,14.8
33,0466015938,38.76,PE,Enabled,Default Pipe,2,81.7
34,0466015943,38.79,PE,Enabled,Default Pipe,2,17.9
35,0466015939,38.65,ST,Enabled,Default Pipe,2,103.0
36,0466015658,22.09,DI,Enabled,Default Pipe,2,24.1
37,0466015664,21.56,PE,Enabled,Default Pipe,2,61.6
38,0466015647,21.64,DI,Enabled,Default Pipe,2,57.6
39,0606795091,21.64,CI,Enabled,Default Pipe,2,5.1
40,0466015663,21.64,PE,Enabled,Default Pipe,2,2.3
41,0466015649,21.64,PE,Enabled,Default Pipe,2,8.6
42,0466015681,39.41,PE,Enabled,Default Pipe,2,26.3
43,0466016162,40.07,CI,Enabled,Default Pipe,2,176.6
44,0466016156,39.48,SI,Enabled,Default Pipe,2,26.2
45,0466016163,42.01,CI,Enabled,Default Pipe,2,50.4
46,0466014082,44.08,PE,Enabled,Default Pipe,2,1.3
47,0466015688,35.61,PE,Enabled,Default Pipe,2,4.9
48,0466020032,32.76,SI,Enabled,Default Pipe,2,18.3
49,0466015651,33.34,SI,Enabled,Default Pipe,2,9.9
50,0629976085,33.66,PE,Enabled,Default Pipe,2,5.8
51,0632574956,33.66,PE,Enabled,Default Pipe,2,25.0
52,0466200952,73.41,PE,Enabled,Default Pipe,8,54.5
53,0466200907,74.65,PE,Enabled,Default Pipe,8,16.0
54,0466200969,72.99,PE,Enabled,Default Pipe,8,1.5
55,0466021088,33.19,DI,Enabled,Default Pipe,1,1.9
56,0466021104,33.44,PE,Enabled,Default Pipe,1,4.0
57,0466021868,33.09,PE,Enabled,Default Pipe,1,24.6
58,0466021965,32.92,PE,Enabled,Default Pipe,1,21.2
59,0466020562,31.99,SI,Enabled,Default Pipe,1,28.6
60,0466017193,31.91,PE,Enabled,Default Pipe,1,4.1
61,0466020940,32.00,SI,Enabled,Default Pipe,1,74.8
62,0466017180,26.91,PE,Enabled,Default Pipe,1,61.5
63,0466014685,34.47,SI,Enabled,Default Pipe,1,40.2
64,0466016931,34.50,SI,Enabled,Default Pipe,1,3.6
65,0466021204,33.62,SI,Enabled,Default Pipe,1,34.4
66,0466014472,33.33,PE,Enabled,Default Pipe,1,13.5
67,0466020599,33.92,SI,Enabled,Default Pipe,1,37.2
68,0466019972,29.33,PE,Enabled,Default Pipe,1,10.6
69,0466019120,29.33,PE,Enabled,Default Pipe,1,4.7
70,0467251744,29.08,PE,Enabled,Default Pipe,1,78.1
71,0466019117,29.32,SI,Enabled,Default Pipe,1,7.4
72,0466016929,33.01,SI,Enabled,Default Pipe,1,15.4
73,0466014557,25.82,PE,Enabled,Default Pipe,1,30.9
74,0466014996,31.71,PE,Enabled,Default Pipe,1,20.9
75,0602899674,32.92,PE,Enabled,Default Pipe,1,6.3
76,0466020464,32.92,SI,Enabled,Default Pipe,1,1.5
77,0625903879,25.01,PE,Enabled,Default Pipe,1,16.3
78,0606168906,25.11,PE,Enabled,Default Pipe,1,0.5
79,0466019971,28.24,SI,Enabled,Default Pipe,1,14.2
80,0466021131,31.17,SI,Enabled,Default Pipe,1,24.6
81,0606149605,24.37,PE,Enabled,Default Pipe,1,45.4
82,0466014942,31.19,SI,Enabled,Default Pipe,1,3.2
83,0466019967,28.27,DI,Enabled,Default Pipe,1,86.4
84,0466019287,30.27,SI,Enabled,Default Pipe,1,36.3
85,0466014084,29.18,PE,Enabled,Default Pipe,1,57.3
86,0466018068,29.03,PE,Enabled,Default Pipe,1,2.8
87,0466016456,29.59,PE,Enabled,Default Pipe,1,20.8
88,0466014939,30.87,PE,Enabled,Default Pipe,1,24.1
89,0466014992,29.59,PE,Enabled,Default Pipe,1,23.1
90,0466022000,29.71,PE,Enabled,Default Pipe,1,32.4
91,0466013820,30.24,PE,Enabled,Default Pipe,1,9.8
92,0466013983,27.61,PE,Enabled,Default Pipe,1,54.8
93,0466014936,30.42,SI,Enabled,Default Pipe,1,1.5
94,0466015597,29.51,PE,Enabled,Default Pipe,1,10.2
95,0466015130,28.30,PE,Enabled,Default Pipe,1,4.9
96,0466015112,29.55,PE,Enabled,Default Pipe,1,2.3
97,0466013821,30.14,PE,Enabled,Default Pipe,1,16.7
98,0466018817,26.13,SI,Enabled,Default Pipe,1,237.5
99,0466014988,31.18,PE,Enabled,Default Pipe,1,1.6
100,0466019552,26.97,PE,Enabled,Default Pipe,1,18.3
101,0466017365,26.09,PE,Enabled,Default Pipe,1,10.8
102,0466016459,30.26,SI,Enabled,Default Pipe,1,104.2
