SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,42.01,PE,Enabled,Default Pipe,1,27.8
2,PI000003,41.21,PE,Enabled,Default Pipe,1,2.1
3,PI000004,41.87,PE,Enabled,Default Pipe,1,36.3
4,PI000005,44.32,SI,Enabled,Default Pipe,1,52.1
5,PI000006,40.96,DI,Enabled,Default Pipe,1,42.6
6,PI000007,41.01,PE,Enabled,Default Pipe,1,2.9
7,PI000008,41.23,PE,Enabled,Default Pipe,1,92.5
8,PI000009,37.68,CI,Enabled,Default Pipe,1,21.6
9,PI000010,34.69,DI,Enabled,Default Pipe,1,124.1
10,PI000011,39.04,PE,Enabled,Default Pipe,1,21.5
11,PI000012,37.67,PE,Enabled,Replacement Pipe,1,66.5
12,PI000013,38.10,SI,Enabled,Default Pipe,1,1.9
13,PI000014,38.53,PE,Enabled,Default Pipe,1,21.9
14,PI000015,40.20,PE,Enabled,Replacement Pipe,1,57.0
15,PI000016,33.00,PE,Enabled,Default Pipe,1,2.0
16,PI000017,39.31,PE,Enabled,Default Pipe,1,22.5
17,PI000018,39.23,PE,Enabled,Default Pipe,1,11.2
18,PI000019,35.18,PE,Enabled,Default Pipe,1,71.4
19,PI000020,41.16,PE,Enabled,Default Pipe,1,7.3
20,PI000021,41.35,PE,Enabled,Replacement Pipe,1,2.5
21,PI000022,41.56,PE,Enabled,Replacement Pipe,1,29.5
22,PI000023,40.18,PE,Enabled,Default Pipe,1,1.1
23,PI000024,40.91,PE,Enabled,Default Pipe,1,12.5
24,PI000025,34.22,PE,Enabled,Default Pipe,1,8.9
25,PI000026,35.66,SI,Enabled,Default Pipe,1,22.7
26,PI000027,35.96,SI,Enabled,Default Pipe,1,27.8
27,PI000028,41.93,PE,Enabled,Default Pipe,1,8.8
28,PI000029,35.78,PE,Enabled,Default Pipe,1,14.9
29,PI000030,34.87,SI,Enabled,Default Pipe,1,25.8
30,PI000031,39.91,PE,Enabled,Default Pipe,1,53.2
31,PI000032,36.12,PE,Enabled,Default Pipe,1,27.6
32,PI000033,35.78,SI,Enabled,Default Pipe,1,1.9
33,PI000034,40.12,PE,Enabled,Default Pipe,1,1.8
34,PI000035,42.01,PE,Enabled,Default Pipe,1,134.1
35,PI000036,36.23,SI,Enabled,Default Pipe,1,9.0
36,PI000037,38.79,PE,Enabled,Default Pipe,1,43.9
37,PI000038,38.00,PE,Enabled,Replacement Pipe,1,4.1
38,PI000039,38.03,PE,Enabled,Default Pipe,1,19.9
39,PI000040,42.13,PE,Enabled,Default Pipe,1,42.2
40,PI000042,39.97,PE,Enabled,Default Pipe,1,16.2
41,PI000043,47.90,PE,Enabled,Default Pipe,1,1.6
42,PI000044,45.80,PE,Enabled,Replacement Pipe,1,68.7
43,PI000046,41.77,PE,Enabled,Default Pipe,1,24.6
44,PI000047,34.07,PE,Enabled,Default Pipe,1,58.5
45,PI000048,38.92,PE,Enabled,Default Pipe,1,2.8
46,PI000049,37.98,PE,Enabled,Default Pipe,1,64.5
47,PI000050,41.82,PE,Enabled,Default Pipe,1,16.0
48,PI000051,33.03,PE,Enabled,Default Pipe,1,4.8
49,PI000052,33.72,PE,Enabled,Default Pipe,1,21.5
50,PI000055,48.65,SI,Enabled,Default Pipe,1,49.2
51,PI000056,40.43,PE,Enabled,Default Pipe,1,4.5
52,PI000057,40.30,PE,Enabled,Default Pipe,1,20.6
53,PI000058,49.17,SI,Enabled,Default Pipe,1,9.5
54,PI000059,49.26,SI,Enabled,Default Pipe,1,8.6
55,PI000060,46.24,SI,Enabled,Default Pipe,1,26.1
56,PI000061,49.18,CI,Enabled,Default Pipe,1,3.0
