SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,28.05,PE,Enabled,Default Pipe,1,3.9
2,PI000015,27.31,PE,Enabled,Default Pipe,1,18.2
3,PI000017,27.22,PE,Enabled,Default Pipe,1,49.3
4,PI000018,28.05,PE,Enabled,Default Pipe,1,1.7
5,PI000019,28.05,PE,Enabled,Default Pipe,1,11.9
6,PI000020,28.07,PE,Enabled,Default Pipe,1,28.1
7,PI000021,28.05,PE,Enabled,Default Pipe,1,9.2
8,PI000023,28.09,PE,Enabled,Default Pipe,1,10.5
9,PI000025,28.02,PE,Enabled,Default Pipe,1,9.0
10,PI000026,27.99,PE,Enabled,Default Pipe,1,1.9
11,PI000028,27.99,PE,Enabled,Default Pipe,1,9.1
12,PI000029,26.63,PE,Enabled,Default Pipe,1,81.3
13,PI000031,26.50,PE,Enabled,Default Pipe,1,43.3
14,PI000037,26.87,PE,Enabled,Default Pipe,1,64.6
15,PI000038,27.78,PE,Enabled,Default Pipe,1,15.6
16,PI000039,27.79,PE,Enabled,Default Pipe,1,17.2
17,PI000040,27.86,PE,Enabled,Default Pipe,1,25.8
18,PI000041,27.94,PE,Enabled,Default Pipe,1,14.0
19,PI000050,27.96,PE,Enabled,Default Pipe,1,2.0
20,PI000052,28.78,SI,Enabled,Default Pipe,1,54.8
21,PI000053,27.96,CI,Enabled,Default Pipe,1,83.2
22,PI000054,27.53,SI,Enabled,Default Pipe,1,11.4
23,PI000056,27.84,PE,Enabled,Default Pipe,1,26.7
24,PI000057,27.67,PE,Enabled,Default Pipe,1,11.4
25,PI000059,27.78,PE,Enabled,Default Pipe,1,4.7
26,PI000064,27.72,PE,Enabled,Default Pipe,1,10.5
27,PI000066,27.85,CI,Enabled,Default Pipe,1,8.4
28,PI000070,28.03,PE,Enabled,Default Pipe,1,11.3
29,PI000072,27.77,PE,Enabled,Default Pipe,1,9.6
30,PI000077,27.76,PE,Enabled,Default Pipe,1,15.8
31,PI000079,28.57,PE,Enabled,Default Pipe,1,11.7
32,PI000084,27.72,PE,Enabled,Default Pipe,1,13.9
33,PI000088,28.89,PE,Enabled,Default Pipe,1,11.7
34,PI000092,28.97,PE,Enabled,Default Pipe,1,12.4
35,PI000096,27.98,PE,Enabled,Default Pipe,1,10.7
36,PI000099,27.94,PE,Enabled,Default Pipe,1,9.0
37,PI000101,28.92,PE,Enabled,Default Pipe,1,12.5
38,PI000103,27.63,PE,Enabled,Default Pipe,1,6.9
39,PI000105,27.78,PE,Enabled,Default Pipe,1,11.2
40,PI000107,27.93,PE,Enabled,Default Pipe,1,11.7
41,PI000109,27.98,PE,Enabled,Default Pipe,1,8.4
42,PI000110,29.01,PE,Enabled,Default Pipe,1,11.9
43,PI000112,27.88,PE,Enabled,Default Pipe,1,8.7
44,PI000113,27.62,PE,Enabled,Default Pipe,1,4.5
45,PI000114,27.60,PE,Enabled,Default Pipe,1,5.0
46,PI000115,27.62,PE,Enabled,Default Pipe,1,7.3
47,PI000117,27.99,PE,Enabled,Default Pipe,1,11.3
48,PI000119,27.95,PE,Enabled,Default Pipe,1,25.9
49,PI000122,27.94,PE,Enabled,Default Pipe,1,2.2
50,PI000123,27.15,PE,Enabled,Default Pipe,1,71.7
51,PI000124,26.77,PE,Enabled,Default Pipe,1,39.6
52,PI000125,27.25,PE,Enabled,Default Pipe,1,22.1
53,PI000126,27.38,PE,Enabled,Default Pipe,1,136.2
54,PI000128,27.72,PE,Enabled,Default Pipe,1,10.1
55,PI000129,31.44,SI,Enabled,Default Pipe,1,12.3
56,PI000131,33.34,PE,Enabled,Default Pipe,1,18.3
57,PI000132,33.45,CI,Enabled,Default Pipe,1,24.0
58,PI000133,33.26,PE,Enabled,Default Pipe,1,8.9
59,PI000134,33.19,PE,Enabled,Default Pipe,1,19.4
60,PI000135,33.06,PE,Enabled,Default Pipe,1,65.2
61,PI000136,33.14,PE,Enabled,Default Pipe,1,49.4
62,PI000138,33.10,PE,Enabled,Default Pipe,1,42.2
63,PI000139,33.35,PE,Enabled,Default Pipe,1,14.5
64,PI000140,33.44,PE,Enabled,Default Pipe,1,8.4
65,PI000142,33.50,PE,Enabled,Default Pipe,1,35.0
66,PI000147,33.68,CI,Enabled,Default Pipe,1,19.3
67,PI000148,33.74,SI,Enabled,Default Pipe,1,16.5
68,PI000149,33.57,PE,Enabled,Default Pipe,1,19.0
69,PI000150,32.84,PE,Enabled,Default Pipe,1,8.8
70,PI000151,33.21,PE,Enabled,Default Pipe,1,56.6
71,PI000152,32.65,PE,Enabled,Default Pipe,1,40.7
72,PI000153,32.70,PE,Enabled,Default Pipe,1,91.4
73,PI000154,33.67,PE,Enabled,Default Pipe,1,25.6
74,PI000155,33.62,PE,Enabled,Default Pipe,1,26.8
75,PI000156,33.78,CI,Enabled,Default Pipe,1,71.5
76,PI000157,33.41,PE,Enabled,Default Pipe,1,64.5
77,PI000158,35.21,PE,Enabled,Default Pipe,1,32.8
78,PI000160,35.30,PE,Enabled,Default Pipe,1,27.2
79,PI000161,34.88,PE,Enabled,Default Pipe,1,25.4
80,PI000162,35.25,PE,Enabled,Default Pipe,1,19.5
81,PI000163,33.59,PE,Enabled,Default Pipe,1,81.5
82,PI000165,30.92,CI,Enabled,Default Pipe,1,23.0
83,PI000166,30.69,SI,Enabled,Default Pipe,1,90.7
84,PI000167,30.47,PE,Enabled,Default Pipe,1,19.0
85,PI000168,30.55,ST,Enabled,Default Pipe,1,22.7
86,PI000169,30.44,PE,Enabled,Default Pipe,1,10.5
87,PI000170,30.35,ST,Enabled,Default Pipe,1,12.0
88,PI000173,32.92,PE,Enabled,Default Pipe,1,12.1
89,PI000174,32.81,PE,Enabled,Default Pipe,1,17.6
90,PI000175,33.43,PE,Enabled,Default Pipe,1,15.9
91,PI000177,34.29,PE,Enabled,Default Pipe,1,12.6
92,PI000178,34.29,PE,Enabled,Default Pipe,1,22.7
93,PI000179,32.73,PE,Enabled,Default Pipe,1,113.6
94,PI000180,32.70,PE,Enabled,Default Pipe,1,15.5
95,PI000181,34.51,PE,Enabled,Default Pipe,1,14.6
96,PI000182,33.34,PE,Enabled,Default Pipe,1,57.3
97,PI000184,32.18,PE,Enabled,Default Pipe,1,89.5
98,PI000187,31.99,ST,Enabled,Default Pipe,1,5.1
99,PI000190,32.08,PE,Enabled,Default Pipe,1,15.5
100,PI000194,35.32,PE,Enabled,Default Pipe,1,20.7
101,PI000195,35.35,PE,Enabled,Default Pipe,1,3.1
102,PI000197,32.99,PE,Enabled,Default Pipe,1,33.4
103,PI000198,33.90,PE,Enabled,Default Pipe,1,37.7
104,PI000199,30.40,PE,Enabled,Default Pipe,1,60.3
105,PI000200,32.53,ST,Enabled,Default Pipe,1,19.0
106,PI000203,35.43,PE,Enabled,Default Pipe,1,11.2
107,PI000204,35.45,PE,Enabled,Default Pipe,1,18.1
108,PI000207,33.94,PE,Enabled,Default Pipe,1,7.3
109,PI000208,34.03,PE,Enabled,Default Pipe,1,14.1
110,PI000209,34.12,PE,Enabled,Default Pipe,1,14.9
111,PI000210,34.06,PE,Enabled,Default Pipe,1,12.2
112,PI000215,35.55,PE,Enabled,Default Pipe,1,8.3
113,PI000216,36.07,ST,Enabled,Default Pipe,1,3.1
114,PI000219,33.09,PE,Enabled,Default Pipe,1,39.3
