SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,24.31,PE,Enabled,Default Pipe,1,34.7
2,PI000001,21.31,PE,Enabled,Default Pipe,1,107.4
3,PI000002,21.01,PE,Enabled,Default Pipe,1,5.6
4,PI000003,32.82,PE,Enabled,Default Pipe,1,74.5
5,PI000004,33.06,PE,Enabled,Default Pipe,1,8.6
6,PI000005,28.33,PE,Enabled,Default Pipe,1,25.2
7,PI000006,32.18,PE,Enabled,Default Pipe,1,4.4
8,PI000007,34.35,PE,Enabled,Default Pipe,1,10.0
9,PI000008,34.36,PE,Enabled,Default Pipe,1,18.2
10,PI000009,46.08,DI,Enabled,Default Pipe,1,1.4
11,PI000010,34.46,PE,Enabled,Default Pipe,1,23.5
12,PI000011,34.17,PE,Enabled,Default Pipe,1,91.3
13,PI000012,46.08,DI,Enabled,Default Pipe,1,0.5
14,PI000013,41.83,PE,Enabled,Default Pipe,1,106.0
15,PI000014,24.35,PE,Enabled,Default Pipe,1,49.6
16,PI000015,24.31,PE,Enabled,Default Pipe,1,1.1
17,PI000016,28.65,PE,Enabled,Default Pipe,1,86.6
18,PI000017,28.19,PE,Enabled,Default Pipe,1,42.8
19,PI000018,23.72,PE,Enabled,Default Pipe,1,3.4
20,PI000019,27.31,PE,Enabled,Default Pipe,1,54.0
21,PI000020,32.40,PE,Enabled,Default Pipe,1,3.4
22,PI000021,32.18,PE,Enabled,Default Pipe,1,22.3
23,PI000022,46.00,PE,Enabled,Default Pipe,1,4.9
24,PI000023,46.63,PE,Enabled,Default Pipe,1,4.9
25,PI000024,46.00,DI,Enabled,Default Pipe,1,10.5
26,PI000025,37.04,PE,Enabled,Default Pipe,1,40.9
27,PI000026,37.69,PE,Enabled,Default Pipe,1,98.4
28,PI000027,35.86,PE,Enabled,Default Pipe,1,71.8
29,PI000028,35.00,PE,Enabled,Default Pipe,1,113.5
30,PI000029,35.57,PE,Enabled,Default Pipe,1,6.5
31,PI000030,37.44,PE,Enabled,Default Pipe,1,9.4
32,PI000031,31.91,PE,Enabled,Default Pipe,1,19.4
33,PI000032,31.93,PE,Enabled,Default Pipe,1,20.9
34,PI000033,32.90,PE,Enabled,Default Pipe,1,81.4
35,PI000034,31.90,PE,Enabled,Default Pipe,1,7.9
36,PI000035,33.48,PE,Enabled,Default Pipe,1,49.1
37,PI000036,33.09,PE,Enabled,Default Pipe,1,21.5
38,PI000037,33.09,PE,Enabled,Default Pipe,1,27.1
39,PI000038,29.73,PE,Enabled,Default Pipe,1,96.3
40,PI000039,29.52,PE,Enabled,Default Pipe,1,41.8
41,PI000040,30.11,PE,Enabled,Default Pipe,1,5.3
42,PI000041,22.85,PE,Enabled,Default Pipe,1,42.7
43,PI000042,24.37,PE,Enabled,Default Pipe,1,42.5
44,PI000043,31.84,PE,Enabled,Default Pipe,1,141.1
45,PI000044,34.44,PE,Enabled,Default Pipe,1,74.5
46,PI000045,46.17,PE,Enabled,Default Pipe,1,11.1
47,PI000046,46.05,DI,Enabled,Default Pipe,1,35.6
48,PI000047,37.20,PE,Enabled,Default Pipe,1,17.2
49,PI000048,35.68,PE,Enabled,Default Pipe,1,56.5
50,PI000049,34.45,PE,Enabled,Default Pipe,1,43.5
51,PI000050,34.30,PE,Enabled,Default Pipe,1,28.4
52,PI000051,28.14,PE,Enabled,Default Pipe,1,43.7
53,PI000052,27.27,PE,Enabled,Default Pipe,1,55.6
54,PI000053,25.84,PE,Enabled,Default Pipe,1,74.5
55,PI000054,26.18,PE,Enabled,Default Pipe,1,49.8
56,PI000055,45.92,PE,Enabled,Default Pipe,1,62.2
57,PI000056,45.99,PE,Enabled,Default Pipe,1,0.3
58,PI000057,45.84,PE,Enabled,Default Pipe,1,81.3
59,PI000058,41.96,PE,Enabled,Default Pipe,1,119.4
60,PI000059,26.96,PE,Enabled,Default Pipe,1,74.2
61,PI000060,26.16,PE,Enabled,Default Pipe,1,9.4
62,PI000061,26.21,PE,Enabled,Default Pipe,1,29.5
63,PI000062,26.18,PE,Enabled,Default Pipe,1,23.5
64,PI000063,26.16,PE,Enabled,Default Pipe,1,64.8
65,PI000064,23.66,PE,Enabled,Default Pipe,1,22.3
66,PI000065,24.50,PE,Enabled,Default Pipe,1,43.7
67,PI000066,23.56,PE,Enabled,Default Pipe,1,6.4
68,PI000067,26.48,PE,Enabled,Default Pipe,1,70.9
69,PI000068,25.26,PE,Enabled,Default Pipe,1,7.0
70,PI000069,23.26,PE,Enabled,Default Pipe,1,87.0
71,PI000070,23.54,PE,Enabled,Default Pipe,1,14.3
72,PI000071,23.54,PE,Enabled,Default Pipe,1,12.8
73,PI000072,23.54,PE,Enabled,Default Pipe,1,32.9
74,PI000073,21.75,PE,Enabled,Default Pipe,1,59.8
75,PI000074,21.69,PE,Enabled,Default Pipe,1,5.6
76,PI000075,22.74,PE,Enabled,Default Pipe,1,62.6
77,644043P0000001,31.11,PE,Enabled,Default Pipe,1,64.0
78,644043P0000002,28.54,PE,Enabled,Default Pipe,1,25.3
79,644043P0000003,29.78,PE,Enabled,Default Pipe,1,103.9
80,PI000076,27.69,PE,Enabled,Default Pipe,1,26.2

Model State: Solved

Generated on 11/03/2015 17:21:11

SynerGEE Gas 4.7.1: ASP
