SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,35.12,PE,Enabled,Default Pipe,1,16.8
2,PI000001,46.55,PE,Enabled,Default Pipe,1,8.5
3,PI000002,43.14,PE,Enabled,Default Pipe,1,71.0
4,PI000003,43.29,PE,Enabled,Default Pipe,1,4.5
5,PI000004,46.63,SI,Enabled,Default Pipe,1,81.3
6,PI000005,36.02,ST,Enabled,Default Pipe,1,172.4
7,PI000006,36.35,ST,Enabled,Default Pipe,1,152.5
8,PI000007,37.59,DI,Enabled,Default Pipe,1,7.1
9,PI000008,37.60,DI,Enabled,Default Pipe,1,7.1
10,PI000009,41.42,PE,Enabled,Replacement Pipe,1,85.9
11,PI000010,40.44,PE,Enabled,Replacement Pipe,1,61.7
12,PI000011,38.30,SI,Enabled,Default Pipe,1,94.3
13,PI000012,38.36,SI,Enabled,Default Pipe,1,112.2
14,PI000013,38.06,PE,Enabled,Replacement Pipe,1,98.1
15,PI000014,38.11,PE,Enabled,Replacement Pipe,1,101.3
16,PI000015,49.02,SI,Enabled,Default Pipe,1,1.3
17,PI000016,36.25,PE,Enabled,Default Pipe,1,53.4
18,PI000017,40.34,PE,Enabled,Default Pipe,1,113.4
19,PI000018,35.36,PE,Enabled,Default Pipe,1,185.6
20,PI000019,34.81,PE,Enabled,Default Pipe,1,213.1
21,PI000020,41.80,SI,Enabled,Default Pipe,1,104.9
22,PI000021,41.93,SI,Enabled,Default Pipe,1,153.1
23,PI000022,39.25,PE,Enabled,Default Pipe,1,10.1
24,PI000023,38.96,PE,Enabled,Default Pipe,1,103.5
25,PI000024,30.81,CI,Enabled,Default Pipe,1,176.1
26,PI000025,38.00,CI,Enabled,Default Pipe,1,164.9
27,PI000026,44.43,PE,Enabled,Default Pipe,1,101.7
28,PI000027,44.23,PE,Enabled,Default Pipe,1,34.5
29,PI000028,36.46,PE,Enabled,Default Pipe,1,5.8
30,PI000029,40.73,SI,Enabled,Default Pipe,1,137.9
31,PI000030,40.93,SI,Enabled,Default Pipe,1,93.9
32,PI000031,46.49,SI,Enabled,Default Pipe,1,23.2
33,PI000032,46.50,SI,Enabled,Default Pipe,1,3.7
34,PI000033,41.01,SI,Enabled,Default Pipe,1,119.3
35,PI000034,41.34,SI,Enabled,Default Pipe,1,167.6
36,PI000035,48.15,PE,Enabled,Default Pipe,1,185.2
37,PI000036,48.13,PE,Enabled,Default Pipe,1,106.7
38,PI000037,48.12,PE,Enabled,Default Pipe,1,159.0
39,PI000038,48.77,PE,Enabled,Default Pipe,1,146.6
40,PI000039,49.16,PE,Enabled,Default Pipe,1,21.1
41,PI000040,48.13,PE,Enabled,Replacement Pipe,1,115.6
42,PI000041,48.56,PE,Enabled,Replacement Pipe,1,6.7
43,PI000042,43.56,PE,Enabled,Default Pipe,1,15.6
44,PI000043,43.59,PE,Enabled,Default Pipe,1,20.4
45,PI000044,43.28,PE,Enabled,Default Pipe,1,37.9
46,PI000045,43.48,PE,Enabled,Default Pipe,1,56.6
47,PI000046,43.52,PE,Enabled,Default Pipe,1,28.3
48,PI000047,34.00,CI,Enabled,Default Pipe,1,6.7
49,PI000048,33.95,CI,Enabled,Default Pipe,1,52.7
50,PI000049,32.48,PE,Enabled,Default Pipe,1,99.9
51,PI000050,32.51,PE,Enabled,Default Pipe,1,110.1
52,PI000051,31.62,PE,Enabled,Default Pipe,1,174.6
53,PI000052,31.58,PE,Enabled,Default Pipe,1,84.7
54,PI000053,29.38,PE,Enabled,Default Pipe,1,162.1
55,PI000054,29.38,PE,Enabled,Default Pipe,1,154.2
56,PI000055,41.95,PE,Enabled,Default Pipe,1,240.2
57,PI000056,39.81,PE,Enabled,Default Pipe,1,37.6
58,PI000057,39.80,PE,Enabled,Default Pipe,1,37.7
59,PI000058,37.46,DI,Enabled,Default Pipe,1,13.4
60,PI000059,37.44,DI,Enabled,Default Pipe,1,93.9
61,PI000060,48.45,PE,Enabled,Default Pipe,1,58.5
62,PI000061,48.32,PE,Enabled,Default Pipe,1,4.5
63,PI000062,48.34,PE,Enabled,Default Pipe,1,26.8
64,PI000063,48.13,PE,Enabled,Default Pipe,1,41.9
65,PI000064,25.39,PE,Enabled,Replacement Pipe,1,62.6
66,PI000065,28.70,PE,Enabled,Replacement Pipe,1,212.4
67,PI000066,30.30,PE,Enabled,Replacement Pipe,1,2.0
68,PI000067,32.84,PE,Enabled,Replacement Pipe,1,33.8
69,PI000068,32.72,PE,Enabled,Replacement Pipe,1,26.1
70,PI000069,32.73,PE,Enabled,Replacement Pipe,1,24.4
71,PI000070,33.63,PE,Enabled,Default Pipe,1,19.6
72,PI000071,43.88,PE,Enabled,Default Pipe,1,26.0
73,PI000072,43.87,PE,Enabled,Default Pipe,1,30.9
74,PI000073,44.13,PE,Enabled,Default Pipe,1,0.4
75,PI000074,44.00,PE,Enabled,Default Pipe,1,28.8
76,PI000075,44.14,PE,Enabled,Default Pipe,1,53.3
77,PI000076,42.86,PE,Enabled,Default Pipe,1,25.5
78,PI000077,46.98,PE,Enabled,Default Pipe,1,56.1
79,PI000078,47.34,PE,Enabled,Default Pipe,1,43.7
80,PI000079,46.06,PE,Enabled,Default Pipe,1,3.6
81,PI000080,45.80,PE,Enabled,Default Pipe,1,28.0
82,PI000081,29.85,PE,Enabled,Default Pipe,1,48.5
83,PI000082,49.23,PE,Enabled,Default Pipe,1,24.9
84,PI000083,49.28,PE,Enabled,Default Pipe,1,15.7
85,PI000084,49.32,PE,Enabled,Default Pipe,1,20.0
86,PI000085,49.36,PE,Enabled,Default Pipe,1,13.0
87,PI000086,45.22,DI,Enabled,Default Pipe,1,99.4
88,PI000087,45.15,DI,Enabled,Default Pipe,1,115.3
89,PI000088,45.34,SI,Enabled,Default Pipe,1,62.0
90,PI000089,45.34,SI,Enabled,Default Pipe,1,58.5
91,PI000090,39.47,PE,Enabled,Default Pipe,1,96.4
92,PI000091,40.01,PE,Enabled,Default Pipe,1,126.1
93,PI000092,40.64,PE,Enabled,Default Pipe,1,64.1
94,PI000093,39.91,PE,Enabled,Default Pipe,1,10.1
95,PI000094,39.91,PE,Enabled,Default Pipe,1,23.0
96,PI000095,46.92,PE,Enabled,Default Pipe,1,75.2
97,PI000096,46.92,PE,Enabled,Default Pipe,1,52.8
98,PI000097,46.96,PE,Enabled,Default Pipe,1,27.6
99,PI000098,43.07,PE,Enabled,Default Pipe,1,15.9
100,PI000099,43.06,PE,Enabled,Default Pipe,1,28.6
101,PI000100,40.77,PE,Enabled,Default Pipe,1,22.1
102,PI000101,40.74,PE,Enabled,Default Pipe,1,34.3
103,PI000102,40.65,PE,Enabled,Default Pipe,1,73.4
104,PI000103,40.50,PE,Enabled,Default Pipe,1,53.2
105,PI000104,40.65,PE,Enabled,Default Pipe,1,50.8
106,PI000105,40.77,PE,Enabled,Default Pipe,1,78.9
107,PI000106,40.77,PE,Enabled,Default Pipe,1,82.2
108,PI000107,43.48,PE,Enabled,Replacement Pipe,1,54.7
109,PI000108,35.23,PE,Enabled,Default Pipe,1,2.9
110,PI000109,35.12,PE,Enabled,Default Pipe,1,10.8
111,PI000110,35.16,PE,Enabled,Default Pipe,1,56.1
112,PI000111,35.49,PE,Enabled,Default Pipe,1,11.7
113,PI000112,35.07,PE,Enabled,Default Pipe,1,87.1
114,PI000113,35.29,PE,Enabled,Default Pipe,1,21.0
115,PI000114,35.32,PE,Enabled,Default Pipe,1,8.0
116,PI000115,35.39,PE,Enabled,Default Pipe,1,63.0
117,PI000116,35.49,PE,Enabled,Default Pipe,1,46.6
118,PI000117,35.62,PE,Enabled,Default Pipe,1,6.9
119,PI000118,35.41,PE,Enabled,Default Pipe,1,133.4
120,PI000119,36.43,ST,Enabled,Default Pipe,1,59.0
121,PI000120,36.49,ST,Enabled,Default Pipe,1,26.0
122,PI000121,36.40,SI,Enabled,Default Pipe,1,24.0
123,PI000122,35.90,PE,Enabled,Default Pipe,1,80.4
124,PI000123,35.05,PE,Enabled,Default Pipe,1,41.2
125,PI000124,35.25,PE,Enabled,Default Pipe,1,63.4
126,PI000125,35.14,PE,Enabled,Default Pipe,1,23.6
127,PI000126,36.74,SI,Enabled,Default Pipe,1,89.7
128,PI000127,35.58,PE,Enabled,Default Pipe,1,27.4
129,PI000128,38.22,DI,Enabled,Default Pipe,1,27.9
130,PI000129,37.60,PE,Enabled,Replacement Pipe,1,35.8
131,PI000130,35.64,PE,Enabled,Default Pipe,1,20.8
132,PI000131,38.15,PE,Enabled,Default Pipe,1,35.6
133,PI000132,35.25,PE,Enabled,Default Pipe,1,91.4
134,PI000133,35.62,SI,Enabled,Default Pipe,1,61.3
135,PI000134,36.11,SI,Enabled,Default Pipe,1,93.2
