SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,35.98,PE,Enabled,Default Pipe,1,8.2
2,PI000002,35.99,PE,Enabled,Default Pipe,1,7.1
3,PI000003,36.20,PE,Enabled,Default Pipe,1,27.9
4,PI000004,23.49,PE,Enabled,Default Pipe,1,29.5
5,PI000005,23.75,PE,Enabled,Replacement Pipe,1,6.5
6,PI000006,20.80,PE,Enabled,Default Pipe,1,47.6
7,PI000007,22.08,PE,Enabled,Default Pipe,1,48.8
8,PI000008,24.17,PE,Enabled,Replacement Pipe,1,70.3
9,PI000009,31.67,CI,Enabled,Default Pipe,1,0.8
10,PI000010,30.61,CI,Enabled,Default Pipe,1,134.8
11,PI000011,31.31,PE,Enabled,Replacement Pipe,1,1.3
12,PI000012,28.78,PE,Enabled,Default Pipe,1,150.3
13,PI000013,39.64,CI,Enabled,Default Pipe,1,1.7
14,PI000014,29.59,PE,Enabled,Replacement Pipe,1,12.2
15,PI000015,33.32,PE,Enabled,Default Pipe,1,37.0
16,PI000016,40.10,DI,Enabled,Default Pipe,1,14.9
17,PI000017,41.16,PE,Enabled,Default Pipe,1,1.4
18,PI000018,41.55,CI,Enabled,Default Pipe,1,2.0
19,PI000020,28.48,PE,Enabled,Default Pipe,1,40.6
20,PI000021,32.13,PE,Enabled,Default Pipe,1,9.6
21,PI000022,33.05,PE,Enabled,Default Pipe,1,5.3
22,PI000023,27.70,PE,Enabled,Default Pipe,1,104.2
23,PI000024,25.99,PE,Enabled,Default Pipe,1,51.1
24,PI000025,31.94,PE,Enabled,Default Pipe,1,8.2
25,PI000026,31.84,PE,Enabled,Default Pipe,1,47.6
26,PI000027,37.62,PE,Enabled,Default Pipe,1,3.8
27,PI000028,38.71,PE,Enabled,Default Pipe,1,5.2
28,PI000029,35.38,PE,Enabled,Default Pipe,1,1.8
29,PI000030,39.78,PE,Enabled,Default Pipe,1,10.9
30,PI000031,38.10,PE,Enabled,Default Pipe,1,36.5
31,PI000032,35.27,PE,Enabled,Default Pipe,1,6.8
32,PI000033,35.21,PE,Enabled,Default Pipe,1,15.3
33,PI000034,35.26,PE,Enabled,Default Pipe,1,26.9
34,PI000035,35.16,PE,Enabled,Default Pipe,1,0.8
35,PI000036,35.36,PE,Enabled,Default Pipe,1,27.8
36,PI000037,38.46,PE,Enabled,Default Pipe,1,2.9
37,PI000038,35.27,PE,Enabled,Default Pipe,1,5.3
38,PI000039,34.50,PE,Enabled,Default Pipe,1,1.5
39,PI000040,29.77,ST,Enabled,Default Pipe,1,36.8
40,PI000041,29.80,CI,Enabled,Default Pipe,1,21.0
41,PI000042,36.43,ST,Enabled,Default Pipe,1,1.3
42,PI000043,35.38,DI,Enabled,Default Pipe,1,1.6
43,PI000044,35.52,CI,Enabled,Default Pipe,1,2.0
44,PI000045,25.64,PE,Enabled,Default Pipe,1,23.1
45,PI000046,29.82,CI,Enabled,Default Pipe,1,20.6
46,PI000047,35.98,CI,Enabled,Default Pipe,1,46.8
47,PI000048,29.78,PE,Enabled,Default Pipe,1,0.8
48,PI000049,28.72,PE,Enabled,Default Pipe,1,17.0
49,PI000050,34.82,PE,Enabled,Default Pipe,1,155.2
50,PI000051,34.25,PE,Enabled,Default Pipe,1,17.5
51,PI000054,35.48,PE,Enabled,Default Pipe,1,51.4
52,PI000055,34.53,ST,Enabled,Default Pipe,1,78.2
53,PI000056,23.87,PE,Enabled,Default Pipe,1,62.3
54,PI000057,35.37,ST,Enabled,Default Pipe,1,106.5
55,PI000058,38.23,SI,Enabled,Default Pipe,1,132.4
56,PI000059,35.40,DI,Enabled,Default Pipe,1,112.2
57,PI000060,25.85,PE,Enabled,Replacement Pipe,1,80.5
58,PI000061,34.33,PE,Enabled,Default Pipe,1,1.2
59,PI000062,39.20,CI,Enabled,Default Pipe,1,10.4
60,PI000063,38.72,PE,Enabled,Default Pipe,1,38.5
61,PI000064,35.77,SI,Enabled,Default Pipe,1,47.7
62,PI000065,36.56,SI,Enabled,Default Pipe,1,79.4
63,PI000066,25.19,PE,Enabled,Replacement Pipe,1,16.5
64,PI000067,39.25,SI,Enabled,Default Pipe,1,18.0
65,PI000068,34.15,SI,Enabled,Default Pipe,1,51.6
66,PI000069,24.73,PE,Enabled,Replacement Pipe,1,63.4
67,PI000070,25.03,PE,Enabled,Default Pipe,1,1.8
68,PI000071,35.46,SI,Enabled,Default Pipe,1,62.1
69,PI000072,35.64,SI,Enabled,Default Pipe,1,93.3
70,PI000073,39.54,PE,Enabled,Default Pipe,1,28.0
71,PI000074,39.61,PE,Enabled,Default Pipe,1,87.4
72,PI000075,39.80,PE,Enabled,Default Pipe,1,111.0
73,PI000076,34.99,PE,Enabled,Default Pipe,1,45.4
74,PI000077,32.60,PE,Enabled,Default Pipe,1,32.4
75,PI000078,28.63,PE,Enabled,Default Pipe,1,33.3
76,PI000079,27.95,PE,Enabled,Default Pipe,1,11.1
77,PI000080,28.03,PE,Enabled,Default Pipe,1,33.1
78,PI000081,28.58,PE,Enabled,Default Pipe,1,57.9
79,PI000082,30.33,PE,Enabled,Default Pipe,1,33.8
80,PI000083,27.94,PE,Enabled,Default Pipe,1,17.1
81,PI000084,32.84,ST,Enabled,Default Pipe,1,60.8
82,PI000085,37.11,PE,Enabled,Default Pipe,1,204.0
83,PI000086,37.20,ST,Enabled,Default Pipe,1,6.8
84,PI000087,31.02,CI,Enabled,Default Pipe,1,236.7
85,PI000088,30.76,CI,Enabled,Default Pipe,1,91.9
86,PI000089,29.81,PE,Enabled,Default Pipe,1,79.7
87,PI000090,30.68,PE,Enabled,Default Pipe,1,96.4
88,PI000091,29.08,PE,Enabled,Default Pipe,1,141.5
89,PI000092,29.69,PE,Enabled,Default Pipe,1,32.4
90,PI000093,30.98,CI,Enabled,Default Pipe,1,84.4
91,PI000094,30.50,PE,Enabled,Default Pipe,1,4.0
92,PI000095,29.11,CI,Enabled,Default Pipe,1,1.2
93,PI000096,30.37,CI,Enabled,Default Pipe,1,1.3
94,PI000097,31.03,CI,Enabled,Default Pipe,1,101.5
95,PI000098,31.18,CI,Enabled,Default Pipe,1,188.5
96,PI000099,31.08,CI,Enabled,Default Pipe,1,145.7
97,PI000100,31.54,CI,Enabled,Default Pipe,1,496.8
98,PI000101,31.96,ST,Enabled,Default Pipe,1,196.0
99,PI000102,31.94,ST,Enabled,Default Pipe,1,322.7
100,PI000103,31.66,CI,Enabled,Default Pipe,1,1.9
101,PI000104,31.67,CI,Enabled,Default Pipe,1,55.6
102,PI000105,32.24,DI,Enabled,Default Pipe,1,76.4
103,PI000106,32.13,ST,Enabled,Default Pipe,1,70.8
104,PI000107,32.23,PE,Enabled,Default Pipe,1,11.1
105,PI000108,32.76,PE,Enabled,Default Pipe,1,24.1
106,PI000109,37.67,PE,Enabled,Default Pipe,1,20.3
107,PI000110,36.66,PE,Enabled,Default Pipe,1,13.7
108,PI000111,35.81,PE,Enabled,Default Pipe,1,12.3
109,PI000112,34.79,PE,Enabled,Default Pipe,1,31.2
110,PI000113,36.07,PE,Enabled,Default Pipe,1,40.9
111,PI000114,37.44,PE,Enabled,Default Pipe,1,38.6
112,PI000115,36.66,PE,Enabled,Default Pipe,1,13.2
113,PI000116,35.55,PE,Enabled,Default Pipe,1,25.2
114,PI000117,36.74,PE,Enabled,Default Pipe,1,27.1
115,PI000118,36.99,PE,Enabled,Default Pipe,1,107.8
116,PI000119,32.66,PE,Enabled,Default Pipe,1,100.3
