SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,32.69,PE,Enabled,Replacement Pipe,1,73.4
2,PI000002,21.46,PE,Enabled,Default Pipe,1,3.9
3,PI000003,21.70,PE,Enabled,Replacement Pipe,1,46.8
4,PI000004,23.26,PE,Enabled,Default Pipe,1,20.4
5,PI000005,23.34,PE,Enabled,Default Pipe,1,26.7
6,PI000007,21.92,PE,Enabled,Replacement Pipe,1,28.6
7,PI000008,23.31,PE,Enabled,Reinforcement Pipe,1,18.8
8,PI000010,33.12,SI,Enabled,Default Pipe,1,86.9
9,PI000011,31.85,SI,Enabled,Default Pipe,1,4.6
10,PI000012,40.96,PE,Enabled,Default Pipe,1,63.4
11,PI000013,42.19,PE,Enabled,Default Pipe,1,28.2
12,PI000014,39.50,PE,Enabled,Default Pipe,1,52.0
13,PI000015,24.03,PE,Enabled,Default Pipe,1,69.6
14,PI000016,29.61,PE,Enabled,Default Pipe,1,33.7
15,PI000017,29.45,PE,Enabled,Default Pipe,1,36.7
16,PI000018,29.38,PE,Enabled,Default Pipe,1,9.1
17,PI000019,21.77,PE,Enabled,Default Pipe,1,80.5
18,PI000020,23.62,PE,Enabled,Default Pipe,1,35.5
19,PI000021,24.02,PE,Enabled,Default Pipe,1,7.7
20,PI000022,24.53,PE,Enabled,Default Pipe,1,33.9
21,PI000023,21.87,PE,Enabled,Default Pipe,1,49.5
22,PI000024,23.42,PE,Enabled,Default Pipe,1,65.0
23,PI000025,23.70,PE,Enabled,Default Pipe,1,18.1
24,PI000026,23.84,PE,Enabled,Default Pipe,1,3.3
25,PI000027,23.82,PE,Enabled,Default Pipe,1,7.0
26,PI000028,23.61,PE,Enabled,Default Pipe,1,51.8
27,PI000029,23.98,PE,Enabled,Default Pipe,1,231.2
28,PI000030,23.43,PE,Enabled,Default Pipe,1,8.0
29,PI000031,23.43,PE,Enabled,Default Pipe,1,84.1
30,PI000032,23.59,PE,Enabled,Default Pipe,1,138.1
31,PI000033,23.43,PE,Enabled,Default Pipe,1,19.3
32,PI000034,23.44,PE,Enabled,Default Pipe,1,10.3
33,PI000035,23.47,PE,Enabled,Default Pipe,1,48.7
34,PI000036,23.36,PE,Enabled,Default Pipe,1,30.7
35,PI000037,23.32,PE,Enabled,Default Pipe,1,24.0
36,PI000038,23.29,PE,Enabled,Default Pipe,1,18.8
37,PI000039,23.26,PE,Enabled,Default Pipe,1,6.3
38,PI000040,22.62,PE,Enabled,Replacement Pipe,1,16.9
39,PI000041,23.51,PE,Enabled,Default Pipe,1,45.2
40,PI000042,23.86,PE,Enabled,Default Pipe,1,106.7
41,PI000043,25.54,PE,Enabled,Default Pipe,1,3.2
42,PI000044,25.11,PE,Enabled,Default Pipe,1,45.7
43,PI000045,26.30,PE,Enabled,Default Pipe,1,43.2
44,PI000046,26.25,PE,Enabled,Default Pipe,1,85.6
45,PI000047,26.64,PE,Enabled,Default Pipe,1,9.9
46,PI000048,26.60,PE,Enabled,Default Pipe,1,3.4
47,PI000049,26.77,PE,Enabled,Default Pipe,1,9.3
48,PI000050,26.69,PE,Enabled,Default Pipe,1,11.6
49,PI000051,26.47,PE,Enabled,Default Pipe,1,30.0
50,PI000052,26.27,PE,Enabled,Default Pipe,1,49.1
51,PI000053,26.14,PE,Enabled,Default Pipe,1,43.3
52,PI000054,26.86,PE,Enabled,Default Pipe,1,10.9
53,PI000055,27.33,PE,Enabled,Default Pipe,1,8.0
54,PI000056,27.54,PE,Enabled,Default Pipe,1,9.4
55,PI000057,28.35,PE,Enabled,Default Pipe,1,3.5
56,PI000058,28.15,PE,Enabled,Default Pipe,1,21.1
57,PI000059,27.43,PE,Enabled,Default Pipe,1,11.7
58,PI000060,27.74,PE,Enabled,Default Pipe,1,21.4
59,PI000061,27.10,PE,Enabled,Default Pipe,1,24.5
60,PI000062,31.71,PE,Enabled,Default Pipe,1,51.6
61,PI000063,31.63,SI,Enabled,Default Pipe,1,12.1
62,PI000064,29.02,PE,Enabled,Default Pipe,1,117.3
63,PI000065,27.60,PE,Enabled,Default Pipe,1,50.4
64,PI000066,31.98,PE,Enabled,Default Pipe,1,104.6
65,PI000067,37.35,PE,Enabled,Default Pipe,1,59.4
66,PI000068,36.75,PE,Enabled,Default Pipe,1,41.6
67,PI000069,37.83,PE,Enabled,Default Pipe,1,21.9
68,PI000070,29.06,PE,Enabled,Default Pipe,1,11.3
69,PI000072,35.00,PE,Enabled,Replacement Pipe,1,46.9
70,PI000073,34.97,PE,Enabled,Default Pipe,1,111.5
71,PI000074,35.08,PE,Enabled,Default Pipe,1,23.3
72,PI000075,30.22,DI,Enabled,Default Pipe,1,99.4
73,PI000076,32.19,PE,Enabled,Default Pipe,1,84.2
74,PI000077,21.33,DI,Enabled,Default Pipe,1,265.0
75,PI000078,21.33,PE,Enabled,Default Pipe,1,27.8
76,PI000079,21.40,PE,Enabled,Replacement Pipe,1,25.3
77,PI000080,21.52,PE,Enabled,Replacement Pipe,1,46.9
78,PI000081,21.37,PE,Enabled,Default Pipe,1,28.3
79,PI000082,21.36,PE,Enabled,Default Pipe,1,33.2
80,PI000083,21.80,PE,Enabled,Default Pipe,1,1.6
81,PI000084,22.02,PE,Enabled,Default Pipe,1,7.2
82,PI000085,21.91,PE,Enabled,Default Pipe,1,22.0
83,PI000086,22.00,PE,Enabled,Default Pipe,1,2.5
84,PI000087,21.78,PE,Enabled,Reinforcement Pipe,1,12.2
85,PI000088,23.48,DI,Enabled,Default Pipe,1,13.8
86,PI000089,23.26,DI,Enabled,Default Pipe,1,107.7
87,PI000090,34.85,SI,Enabled,Default Pipe,1,41.7
88,PI000091,34.94,SI,Enabled,Default Pipe,1,17.6
89,PI000092,28.38,PE,Enabled,Default Pipe,1,2.4
90,PI000093,28.61,PE,Enabled,Default Pipe,1,23.6
91,PI000094,24.51,PE,Enabled,Default Pipe,1,7.2
92,PI000095,23.24,PE,Enabled,Default Pipe,1,43.8
93,PI000096,23.42,PE,Enabled,Default Pipe,1,58.6
94,PI000097,23.13,PE,Enabled,Default Pipe,1,33.4
95,PI000098,23.21,PE,Enabled,Default Pipe,1,73.4
96,PI000099,41.93,PE,Enabled,Default Pipe,1,221.3
97,PI000100,41.05,PE,Enabled,Default Pipe,1,55.9
98,PI000101,36.40,PE,Enabled,Replacement Pipe,1,5.0
99,PI000102,22.46,SI,Enabled,Default Pipe,1,95.6
100,PI000103,22.16,SI,Enabled,Default Pipe,1,153.3
101,PI000104,22.67,DI,Enabled,Default Pipe,1,35.6
102,PI000105,22.76,DI,Enabled,Default Pipe,1,34.6
103,PI000106,23.81,PE,Enabled,Default Pipe,1,14.5
104,PI000108,21.78,PE,Enabled,Default Pipe,1,25.0
105,PI000109,21.67,PE,Enabled,Default Pipe,1,60.5
106,PI000110,26.26,PE,Enabled,Default Pipe,1,63.4
107,PI000111,24.54,PE,Enabled,Default Pipe,1,7.4
108,PI000112,24.60,PE,Enabled,Default Pipe,1,12.6
109,PI000113,35.14,PE,Enabled,Default Pipe,1,6.1
110,PI000114,35.74,PE,Enabled,Default Pipe,1,87.1
111,PI000115,34.74,PE,Enabled,Default Pipe,1,18.3
112,PI000116,34.74,PE,Enabled,Default Pipe,1,19.9
113,PI000117,34.75,PE,Enabled,Default Pipe,1,4.9
114,PI000118,34.67,PE,Enabled,Replacement Pipe,1,34.1
115,PI000119,34.82,PE,Enabled,Replacement Pipe,1,48.9
116,PI000120,27.47,PE,Enabled,Default Pipe,1,88.5
117,PI000121,29.44,PE,Enabled,Default Pipe,1,24.7
118,PI000122,19.34,PE,Enabled,Reinforcement Pipe,1,69.3
119,PI000123,19.84,CI,Enabled,Default Pipe,1,57.3
120,PI000124,20.11,ST,Enabled,Default Pipe,1,49.7
121,PI000125,20.48,CI,Enabled,Default Pipe,1,53.2
122,PI000126,20.79,DI,Enabled,Default Pipe,1,22.0
123,PI000127,20.69,PE,Enabled,Default Pipe,1,53.3
124,PI000128,20.91,DI,Enabled,Default Pipe,1,91.3
125,PI000129,21.32,DI,Enabled,Default Pipe,1,165.4
126,PI000130,21.24,DI,Enabled,Default Pipe,1,70.1
127,PI000131,20.66,PE,Enabled,Default Pipe,1,184.2
128,PI000132,20.39,PE,Enabled,Default Pipe,1,217.9
129,PI000133,28.14,PE,Enabled,Default Pipe,1,180.3
130,PI000134,29.38,PE,Enabled,Default Pipe,1,57.9
131,PI000135,29.94,PE,Enabled,Default Pipe,1,24.0
132,PI000136,29.67,PE,Enabled,Default Pipe,1,81.5
133,PI000137,28.29,PE,Enabled,Default Pipe,1,47.5
134,PI000138,28.28,PE,Enabled,Default Pipe,1,66.2
135,PI000139,35.36,SI,Enabled,Default Pipe,1,87.1
136,PI000140,35.56,SI,Enabled,Default Pipe,1,8.1
137,PI000141,36.89,PE,Enabled,Default Pipe,1,29.8
138,PI000142,36.97,PE,Enabled,Default Pipe,1,30.0
139,PI000143,35.98,PE,Enabled,Default Pipe,1,71.8
140,PI000144,35.64,PE,Enabled,Default Pipe,1,11.3
141,PI000145,27.31,PE,Enabled,Default Pipe,1,2.2
142,PI000146,20.09,PE,Enabled,Default Pipe,1,1.3
143,PI000147,20.43,PE,Enabled,Default Pipe,1,118.6
144,PI000148,20.09,PE,Enabled,Default Pipe,1,1.5
145,PI000149,19.98,PE,Enabled,Default Pipe,1,89.3
146,PI000150,19.78,PE,Enabled,Default Pipe,1,36.4
147,PI000154,23.41,PE,Enabled,Default Pipe,1,2.8
148,PI000156,34.86,PE,Enabled,Default Pipe,1,37.8
149,PI000157,34.71,ST,Enabled,Default Pipe,1,13.9
150,PI000158,34.08,PE,Enabled,Replacement Pipe,1,92.4
151,PI000159,35.17,PE,Enabled,Default Pipe,1,4.9
152,PI000160,34.97,PE,Enabled,Default Pipe,1,33.1
153,PI000161,35.81,PE,Enabled,Default Pipe,1,66.2
154,PI000162,32.69,PE,Enabled,Replacement Pipe,1,81.1
155,PI000163,34.81,DI,Enabled,Default Pipe,1,1.8
156,PI000164,34.76,SI,Enabled,Default Pipe,1,31.9
157,PI000165,34.89,SI,Enabled,Default Pipe,1,22.6
158,PI000166,34.71,ST,Enabled,Default Pipe,1,17.4
159,PI000167,34.71,ST,Enabled,Default Pipe,1,8.0
160,PI000168,35.04,SI,Enabled,Default Pipe,1,64.9
161,PI000169,34.96,DI,Enabled,Default Pipe,1,8.6
162,PI000170,32.67,PE,Enabled,Replacement Pipe,1,1.5
163,PI000171,32.67,DI,Enabled,Replacement Pipe,1,10.9
164,PI000172,35.04,DI,Enabled,Default Pipe,1,11.1
165,PI000173,35.09,DI,Enabled,Default Pipe,1,27.9
166,PI000174,35.13,DI,Enabled,Default Pipe,1,17.9
167,PI000175,35.15,SI,Enabled,Default Pipe,1,28.8
168,PI000176,34.04,PE,Enabled,Replacement Pipe,1,114.4
169,PI000177,34.36,PE,Enabled,Replacement Pipe,1,70.8
170,PI000178,35.23,PE,Enabled,Default Pipe,1,14.8
171,PI000179,35.17,PE,Enabled,Replacement Pipe,1,7.4
172,PI000180,34.90,DI,Enabled,Default Pipe,1,8.6
173,PI000181,34.81,SI,Enabled,Default Pipe,1,176.7
174,PI000182,33.64,PE,Enabled,Replacement Pipe,1,2.8
175,PI000183,34.91,DI,Enabled,Default Pipe,1,2.9
176,PI000184,33.64,PE,Enabled,Replacement Pipe,1,5.3
