SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,34.66,PE,Enabled,Default Pipe,1,86.3
2,PI000002,35.45,PE,Enabled,Default Pipe,1,85.5
3,PI000003,35.04,PE,Enabled,Default Pipe,1,43.5
4,PI000004,35.97,PE,Enabled,Default Pipe,1,3.0
5,PI000005,36.57,DI,Enabled,Default Pipe,1,20.3
6,PI000006,36.70,DI,Enabled,Default Pipe,1,38.2
7,PI000007,33.39,PE,Enabled,Default Pipe,1,83.4
8,PI000008,36.13,PE,Enabled,Default Pipe,1,88.7
9,PI000009,32.98,PE,Enabled,Default Pipe,1,14.8
10,PI000010,36.62,DI,Enabled,Default Pipe,1,65.4
11,PI000011,34.26,PE,Enabled,Default Pipe,1,67.1
12,PI000012,36.41,PE,Enabled,Default Pipe,1,26.7
13,PI000013,36.60,DI,Enabled,Default Pipe,1,67.8
14,PI000014,36.82,PE,Enabled,Default Pipe,1,9.6
15,PI000015,36.36,PE,Enabled,Default Pipe,1,57.8
16,PI000016,34.95,PE,Enabled,Default Pipe,1,70.3
17,PI000017,37.38,DI,Enabled,Default Pipe,1,60.9
18,PI000018,37.20,DI,Enabled,Default Pipe,1,94.0
19,PI000019,38.77,DI,Enabled,Default Pipe,1,29.6
20,PI000020,27.20,PE,Enabled,Default Pipe,1,6.8
21,PI000021,38.88,DI,Enabled,Default Pipe,1,2.9
22,PI000022,33.82,PE,Enabled,Default Pipe,1,129.3
23,PI000023,38.25,DI,Enabled,Default Pipe,1,71.7
24,PI000024,37.04,DI,Enabled,Default Pipe,1,59.4
25,PI000025,39.15,DI,Enabled,Default Pipe,1,62.6
26,PI000026,27.06,ST,Enabled,Default Pipe,1,17.4
27,PI000027,36.03,PE,Enabled,Default Pipe,1,55.3
28,PI000028,37.36,DI,Enabled,Default Pipe,1,43.9
29,PI000029,35.46,DI,Enabled,Default Pipe,1,30.0
30,PI000030,38.83,PE,Enabled,Default Pipe,1,1.6
31,PI000031,27.70,PE,Enabled,Default Pipe,1,108.5
32,PI000032,24.74,PE,Enabled,Default Pipe,1,58.2
33,PI000033,27.17,PE,Enabled,Default Pipe,1,47.8
34,PI000034,25.54,PE,Enabled,Default Pipe,1,11.2
35,PI000035,25.13,PE,Enabled,Default Pipe,1,12.1
36,PI000036,25.17,PE,Enabled,Default Pipe,1,11.8
37,PI000037,22.93,PE,Enabled,Default Pipe,1,26.9
38,PI000038,25.39,PE,Enabled,Default Pipe,1,105.1
39,PI000039,23.46,PE,Enabled,Default Pipe,1,76.0
40,PI000040,26.26,PE,Enabled,Replacement Pipe,1,6.1
41,PI000041,23.20,PE,Enabled,Default Pipe,1,74.9
42,PI000042,27.88,PE,Enabled,Default Pipe,1,79.0
43,PI000043,33.19,PE,Enabled,Default Pipe,1,51.7
44,PI000044,26.12,PE,Enabled,Default Pipe,1,97.9
45,PI000045,23.93,PE,Enabled,Default Pipe,1,75.8
46,PI000046,24.70,PE,Enabled,Default Pipe,1,106.1
47,PI000047,25.15,PE,Enabled,Default Pipe,1,109.3
48,PI000048,26.04,PE,Enabled,Default Pipe,1,1.0
49,PI000049,26.44,PE,Enabled,Default Pipe,1,115.3
50,PI000050,37.08,PE,Enabled,Default Pipe,2,36.6
51,PI000051,35.83,PE,Enabled,Default Pipe,2,63.1
52,PI000052,36.68,PE,Enabled,Default Pipe,2,17.3
53,PI000053,36.43,PE,Enabled,Default Pipe,2,80.6
54,PI000054,35.67,PE,Enabled,Default Pipe,2,49.2
55,PI000055,35.90,PE,Enabled,Default Pipe,2,25.8
56,PI000056,35.93,PE,Enabled,Default Pipe,2,18.7
57,PI000057,35.34,PE,Enabled,Default Pipe,2,20.9
58,PI000058,30.81,CI,Enabled,Default Pipe,1,1.1
59,PI000059,35.39,PE,Enabled,Default Pipe,1,2.7
60,PI000060,35.98,ST,Enabled,Default Pipe,2,10.8
61,PI000061,28.95,PE,Enabled,Default Pipe,1,55.5
62,PI000062,29.13,PE,Enabled,Default Pipe,1,36.3
63,PI000063,36.01,PE,Enabled,Default Pipe,2,69.5
64,PI000064,24.65,PE,Enabled,Default Pipe,1,8.0
65,PI000065,21.23,PE,Enabled,Default Pipe,1,37.1
66,PI000066,26.37,PE,Enabled,Default Pipe,1,66.2
67,PI000067,24.97,PE,Enabled,Default Pipe,1,10.2
68,PI000068,26.13,PE,Enabled,Default Pipe,1,0.5
69,PI000069,25.29,PE,Enabled,Default Pipe,1,19.7
70,PI000070,24.42,PE,Enabled,Default Pipe,1,7.6
71,PI000071,26.74,PE,Enabled,Default Pipe,1,34.2
72,PI000072,26.01,PE,Enabled,Default Pipe,1,10.3
73,PI000073,29.58,PE,Enabled,Replacement Pipe,1,61.6
74,PI000074,26.24,PE,Enabled,Default Pipe,1,36.7
75,PI000075,29.75,PE,Enabled,Replacement Pipe,1,2.0
76,PI000076,32.72,PE,Enabled,Default Pipe,1,12.9
77,PI000077,32.72,PE,Enabled,Default Pipe,1,8.4
78,PI000078,26.23,PE,Enabled,Default Pipe,1,2.2
79,PI000079,26.14,PE,Enabled,Default Pipe,1,41.1
80,PI000080,26.26,PE,Enabled,Default Pipe,1,46.3
81,PI000081,29.76,PE,Enabled,Default Pipe,1,70.4
82,PI000082,28.97,PE,Enabled,Default Pipe,1,115.8
83,PI000083,32.71,PE,Enabled,Default Pipe,1,8.8
84,PI000084,21.45,PE,Enabled,Default Pipe,1,49.8
85,PI000085,29.37,PE,Enabled,Replacement Pipe,1,21.7
86,PI000086,26.14,PE,Enabled,Default Pipe,1,112.0
87,PI000087,29.82,PE,Enabled,Replacement Pipe,1,4.1
88,PI000088,26.82,PE,Enabled,Default Pipe,1,35.7
89,PI000089,35.87,DI,Enabled,Default Pipe,1,20.3
90,PI000090,35.03,PE,Enabled,Default Pipe,1,8.2
91,PI000091,31.03,PE,Enabled,Default Pipe,1,32.4
92,PI000092,33.15,PE,Enabled,Default Pipe,1,103.2
93,PI000093,36.11,PE,Enabled,Default Pipe,2,30.5
94,PI000094,35.34,DI,Enabled,Default Pipe,1,49.5
95,PI000095,34.29,SI,Enabled,Default Pipe,1,6.0
96,PI000096,31.15,DI,Enabled,Default Pipe,1,34.3
97,PI000097,33.87,PE,Enabled,Default Pipe,1,52.7
