SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,55.89,PE,Enabled,Default Pipe,1,164.2
2,PI000001,58.44,PE,Enabled,Default Pipe,1,17.8
3,PI000002,58.56,PE,Enabled,Default Pipe,1,30.5
4,PI000003,58.32,PE,Enabled,Default Pipe,1,24.8
5,PI000004,58.34,PE,Enabled,Default Pipe,1,34.1
6,PI000005,58.23,PE,Enabled,Default Pipe,1,11.4
7,PI000006,57.93,PE,Enabled,Default Pipe,1,141.1
8,PI000007,58.66,PE,Enabled,Default Pipe,1,11.1
9,PI000008,59.30,PE,Enabled,Default Pipe,1,177.1
10,PI000009,50.70,PE,Enabled,Default Pipe,1,11.4
11,PI000010,50.70,PE,Enabled,Default Pipe,1,24.2
12,PI000011,50.70,PE,Enabled,Default Pipe,1,34.9
13,PI000012,49.41,PE,Enabled,Default Pipe,1,144.0
14,PI000013,58.00,PE,Enabled,Default Pipe,1,212.2
15,PI000014,60.16,PE,Enabled,Default Pipe,1,61.5
16,PI000015,59.62,PE,Enabled,Default Pipe,1,67.1
17,PI000016,58.48,PE,Enabled,Default Pipe,1,39.4
18,PI000017,57.83,PE,Enabled,Default Pipe,1,110.8
19,PI000018,58.55,PE,Enabled,Default Pipe,1,13.5
20,PI000019,58.97,PE,Enabled,Default Pipe,1,80.1
21,PI000020,58.80,PE,Enabled,Default Pipe,1,93.7
22,PI000021,59.03,PE,Enabled,Default Pipe,1,26.5
23,PI000022,56.44,PE,Enabled,Default Pipe,1,37.4
24,PI000023,58.33,PE,Enabled,Default Pipe,1,14.7
25,PI000024,58.19,PE,Enabled,Default Pipe,1,53.1
26,PI000025,58.09,PE,Enabled,Default Pipe,1,84.6
27,PI000026,57.34,PE,Enabled,Default Pipe,1,32.0
28,PI000027,56.63,PE,Enabled,Default Pipe,1,82.7
29,PI000028,51.34,PE,Enabled,Default Pipe,1,101.0
30,PI000029,63.37,PE,Enabled,Default Pipe,1,269.1
31,PI000030,64.98,PE,Enabled,Default Pipe,1,3.7
32,PI000031,60.69,PE,Enabled,Default Pipe,1,203.0
33,PI000032,52.42,PE,Enabled,Default Pipe,1,162.9
34,PI000033,34.79,PE,Enabled,Default Pipe,1,33.5
35,PI000034,35.41,PE,Enabled,Default Pipe,1,139.6
36,PI000035,35.59,PE,Enabled,Default Pipe,1,90.2
37,PI000036,56.02,PE,Enabled,Default Pipe,1,23.7
38,PI000037,56.18,PE,Enabled,Default Pipe,1,16.5
39,PI000038,57.85,PE,Enabled,Default Pipe,1,16.0
40,PI000039,57.86,PE,Enabled,Default Pipe,1,64.9
41,PI000040,55.06,PE,Enabled,Default Pipe,1,66.3
42,PI000041,58.00,PE,Enabled,Default Pipe,1,106.9
43,PI000042,53.99,PE,Enabled,Default Pipe,1,70.0
44,PI000043,54.16,PE,Enabled,Default Pipe,1,40.5
45,PI000044,58.65,PE,Enabled,Default Pipe,1,70.0
46,PI000045,58.38,PE,Enabled,Default Pipe,1,33.9
47,PI000046,53.72,PE,Enabled,Default Pipe,1,28.3
48,PI000047,59.00,PE,Enabled,Default Pipe,1,13.1
49,PI000048,57.44,PE,Enabled,Default Pipe,1,129.3
50,PI000049,60.01,PE,Enabled,Default Pipe,1,64.3
51,PI000050,56.18,PE,Enabled,Default Pipe,1,24.9
52,PI000051,61.06,PE,Enabled,Default Pipe,1,7.5
53,PI000052,60.34,PE,Enabled,Default Pipe,1,82.7
54,PI000053,61.28,PE,Enabled,Default Pipe,1,24.2
55,PI000054,61.58,PE,Enabled,Default Pipe,1,57.9
56,PI000055,59.78,PE,Enabled,Default Pipe,1,165.9
57,PI000056,59.74,PE,Enabled,Default Pipe,1,22.4
58,PI000057,59.68,PE,Enabled,Default Pipe,1,34.7
59,PI000058,61.60,PE,Enabled,Default Pipe,1,57.7
60,PI000059,61.06,PE,Enabled,Default Pipe,1,33.4
61,PI000060,56.55,PE,Enabled,Default Pipe,1,14.2
62,PI000061,56.51,PE,Enabled,Default Pipe,1,52.3
63,PI000062,59.07,PE,Enabled,Default Pipe,1,170.4
