SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,24.10,PE,Enabled,Default Pipe,1,130.7
2,PI000001,48.01,PE,Enabled,Default Pipe,1,114.9
3,PI000002,29.44,PE,Enabled,Default Pipe,1,41.4
4,PI000003,29.45,PE,Enabled,Default Pipe,1,131.4
5,PI000004,29.47,PE,Enabled,Default Pipe,1,18.2
6,PI000005,29.54,PE,Enabled,Default Pipe,1,138.9
7,PI000006,38.71,PE,Enabled,Default Pipe,1,280.1
8,PI000007,34.67,PE,Enabled,Default Pipe,1,8.7
9,PI000008,31.98,PE,Enabled,Default Pipe,1,88.4
10,PI000009,46.24,PE,Enabled,Default Pipe,1,263.0
11,PI000010,24.57,PE,Enabled,Default Pipe,1,3.2
12,PI000011,25.02,PE,Enabled,Default Pipe,1,95.8
13,PI000012,33.53,PE,Enabled,Default Pipe,1,8.2
14,PI000013,32.66,PE,Enabled,Default Pipe,1,184.3
15,PI000014,26.93,PE,Enabled,Default Pipe,1,242.6
16,PI000015,28.40,PE,Enabled,Default Pipe,1,1.1
17,PI000016,28.56,PE,Enabled,Default Pipe,1,127.3
18,PI000017,28.84,PE,Enabled,Default Pipe,1,161.8
19,PI000018,29.02,PE,Enabled,Default Pipe,1,40.2
20,PI000019,30.98,PE,Enabled,Default Pipe,1,2.7
21,PI000020,30.11,PE,Enabled,Default Pipe,1,102.1
22,PI000021,29.08,PE,Enabled,Default Pipe,1,24.6
23,PI000022,29.45,PE,Enabled,Default Pipe,1,11.3
24,PI000023,27.16,PE,Enabled,Default Pipe,1,16.5
25,PI000024,27.17,PE,Enabled,Default Pipe,1,6.5
26,PI000025,27.95,PE,Enabled,Default Pipe,1,115.8
27,PI000026,28.28,PE,Enabled,Default Pipe,1,33.9
28,PI000027,26.45,PE,Enabled,Default Pipe,1,1.7
29,PI000028,26.43,PE,Enabled,Default Pipe,1,8.8
30,PI000029,27.15,PE,Enabled,Default Pipe,1,56.6
31,PI000030,27.18,PE,Enabled,Default Pipe,1,39.2
32,PI000031,27.18,PE,Enabled,Default Pipe,1,2.1
33,PI000032,27.15,PE,Enabled,Default Pipe,1,33.4
34,PI000033,26.86,PE,Enabled,Default Pipe,1,22.7
35,PI000034,26.26,PE,Enabled,Default Pipe,1,70.5
36,PI000035,26.50,PE,Enabled,Default Pipe,1,94.5
37,PI000036,25.64,PE,Enabled,Default Pipe,1,1.7
38,PI000037,25.30,PE,Enabled,Default Pipe,1,88.9
39,PI000038,30.22,PE,Enabled,Default Pipe,1,58.0
40,PI000039,34.03,PE,Enabled,Default Pipe,1,155.3
41,PI000040,32.77,PE,Enabled,Default Pipe,1,213.5
42,PI000041,51.25,PE,Enabled,Default Pipe,1,20.5
43,PI000042,51.37,PE,Enabled,Default Pipe,1,42.0
44,PI000043,55.45,PE,Enabled,Default Pipe,1,4.1
45,PI000044,56.24,PE,Enabled,Default Pipe,1,4.3
46,PI000045,53.39,PE,Enabled,Default Pipe,1,248.5
47,PI000046,55.46,PE,Enabled,Default Pipe,1,5.2
48,PI000047,52.66,PE,Enabled,Default Pipe,1,203.3
49,PI000048,34.34,PE,Enabled,Default Pipe,1,50.7
50,PI000049,34.42,PE,Enabled,Default Pipe,1,111.0
51,PI000050,33.71,PE,Enabled,Default Pipe,1,87.3
52,PI000051,33.00,PE,Enabled,Default Pipe,1,1.9
53,PI000052,34.36,PE,Enabled,Default Pipe,1,113.5
54,PI000053,42.26,PE,Enabled,Default Pipe,1,95.1
55,PI000054,44.88,PE,Enabled,Default Pipe,1,8.2
56,PI000055,37.02,PE,Enabled,Default Pipe,1,228.4
57,PI000056,38.78,PE,Enabled,Default Pipe,1,64.2
58,PI000057,28.24,PE,Enabled,Default Pipe,1,150.9
59,PI000058,37.88,PE,Enabled,Default Pipe,1,34.7
60,PI000059,37.09,PE,Enabled,Default Pipe,1,158.6
61,PI000060,22.98,PE,Enabled,Default Pipe,1,328.3
62,PI000061,24.48,PE,Enabled,Default Pipe,1,127.6
63,PI000062,23.57,PE,Enabled,Default Pipe,1,52.6
64,PI000063,23.37,PE,Enabled,Default Pipe,1,173.1
65,PI000064,30.23,PE,Enabled,Default Pipe,1,66.0
66,PI000065,30.98,PE,Enabled,Default Pipe,1,13.1
67,PI000066,30.98,PE,Enabled,Default Pipe,1,41.7
68,PI000067,30.98,PE,Enabled,Default Pipe,1,18.7
69,PI000069,25.81,PE,Enabled,Default Pipe,1,43.2
70,PI000070,25.98,PE,Enabled,Default Pipe,1,29.5
71,PI000071,51.37,PE,Enabled,Default Pipe,1,2.1
72,PI000072,51.37,PE,Enabled,Default Pipe,1,14.7
73,PI000073,32.08,PE,Enabled,Default Pipe,1,46.5
74,PI000074,31.18,PE,Enabled,Default Pipe,1,26.4

Model State: Solved

Generated on 12/03/2015 10:32:39

SynerGEE Gas 4.7.1: ASP
