SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,40.52,PE,Enabled,Default Pipe,1,33.1
2,PI000001,53.58,PE,Enabled,Default Pipe,1,200.7
3,PI000002,58.12,PE,Enabled,Default Pipe,1,73.6
4,PI000003,60.52,PE,Enabled,Default Pipe,1,88.6
5,PI000004,57.36,PE,Enabled,Default Pipe,1,97.8
6,PI000005,48.66,PE,Enabled,Default Pipe,1,111.9
7,PI000006,48.55,PE,Enabled,Default Pipe,1,24.2
8,PI000007,49.14,PE,Enabled,Default Pipe,1,21.1
9,PI000008,49.15,PE,Enabled,Default Pipe,1,107.8
10,PI000009,49.20,PE,Enabled,Default Pipe,1,10.1
11,PI000010,49.12,PE,Enabled,Default Pipe,1,9.5
12,PI000011,49.17,PE,Enabled,Default Pipe,1,63.5
13,PI000012,49.11,PE,Enabled,Default Pipe,1,18.9
14,PI000013,49.12,PE,Enabled,Default Pipe,1,48.6
15,PI000014,38.29,PE,Enabled,Default Pipe,1,112.4
16,PI000015,45.87,PE,Enabled,Default Pipe,1,51.2
17,PI000016,45.77,PE,Enabled,Default Pipe,1,18.2
18,PI000017,46.05,PE,Enabled,Default Pipe,1,31.9
19,PI000018,59.72,PE,Enabled,Default Pipe,1,49.0
20,PI000019,59.69,PE,Enabled,Default Pipe,1,29.6
21,PI000020,55.44,PE,Enabled,Default Pipe,1,47.6
22,PI000021,32.01,PE,Enabled,Default Pipe,1,128.5
23,PI000022,63.88,PE,Enabled,Default Pipe,1,3.2
24,PI000023,63.33,PE,Enabled,Default Pipe,1,95.7
25,PI000024,64.25,PE,Enabled,Default Pipe,1,65.8
26,PI000025,49.21,PE,Enabled,Default Pipe,1,50.9
27,PI000026,33.01,PE,Enabled,Default Pipe,1,44.1
28,PI000027,33.29,PE,Enabled,Default Pipe,1,5.7
29,PI000028,35.11,PE,Enabled,Default Pipe,1,88.7
30,PI000029,30.94,PE,Enabled,Default Pipe,1,18.1
31,PI000030,29.77,PE,Enabled,Default Pipe,1,120.9
32,PI000031,28.57,PE,Enabled,Default Pipe,1,81.3
33,PI000032,31.15,PE,Enabled,Default Pipe,1,21.0
34,PI000033,31.87,PE,Enabled,Default Pipe,1,44.3
35,PI000034,32.65,PE,Enabled,Default Pipe,1,11.6
36,PI000035,48.72,PE,Enabled,Default Pipe,1,16.0
37,PI000036,48.40,PE,Enabled,Default Pipe,1,113.4
38,PI000037,62.17,PE,Enabled,Default Pipe,1,115.5
39,PI000038,33.17,PE,Enabled,Default Pipe,1,17.9
40,PI000039,32.66,PE,Enabled,Default Pipe,1,17.9
41,PI000040,40.59,PE,Enabled,Default Pipe,1,89.5
42,PI000041,32.83,PE,Enabled,Default Pipe,1,28.6
43,PI000042,32.78,PE,Enabled,Default Pipe,1,24.6
44,PI000043,32.96,PE,Enabled,Default Pipe,1,33.6
45,PI000044,33.08,PE,Enabled,Default Pipe,1,21.0
46,PI000045,39.28,PE,Enabled,Default Pipe,1,2.8
47,PI000046,36.76,PE,Enabled,Default Pipe,1,4.2
48,PI000047,48.99,PE,Enabled,Default Pipe,1,37.2
49,PI000048,63.10,PE,Enabled,Default Pipe,1,145.9
50,PI000049,65.64,PE,Enabled,Default Pipe,1,161.0
51,PI000050,55.75,PE,Enabled,Default Pipe,1,135.7
52,PI000051,45.21,PE,Enabled,Default Pipe,1,212.0
53,PI000052,41.80,PE,Enabled,Default Pipe,1,138.0
54,PI000053,35.02,PE,Enabled,Default Pipe,1,45.8
55,PI000054,42.74,PE,Enabled,Default Pipe,1,192.7
56,PI000055,43.98,PE,Enabled,Default Pipe,1,114.0
57,PI000056,40.53,PE,Enabled,Default Pipe,1,6.6
58,PI000057,40.44,PE,Enabled,Default Pipe,1,92.5
59,PI000058,32.91,PE,Enabled,Default Pipe,1,35.0
60,PI000059,32.96,PE,Enabled,Default Pipe,1,0.6
61,PI000060,43.91,PE,Enabled,Default Pipe,1,418.9
62,PI000061,41.06,PE,Enabled,Default Pipe,1,89.2
63,PI000062,46.32,PE,Enabled,Default Pipe,1,66.6
64,PI000063,48.43,PE,Enabled,Default Pipe,1,13.0
65,PI000064,48.15,PE,Enabled,Default Pipe,1,3.9
66,PI000065,40.26,PE,Enabled,Default Pipe,1,307.3
67,PI000066,48.49,PE,Enabled,Default Pipe,1,5.2
68,PI000067,32.81,PE,Enabled,Default Pipe,1,43.8
69,PI000068,46.42,PE,Enabled,Default Pipe,1,267.5
70,PI000069,48.86,PE,Enabled,Default Pipe,1,8.9
71,PI000070,48.57,PE,Enabled,Default Pipe,1,2.2
72,PI000071,48.56,PE,Enabled,Default Pipe,1,2.2
73,PI000072,48.42,PE,Enabled,Default Pipe,1,69.1
74,PI000073,47.97,PE,Enabled,Default Pipe,1,65.0
75,PI000074,49.34,PE,Enabled,Default Pipe,1,290.6
76,PI000075,49.46,PE,Enabled,Default Pipe,1,185.1
77,PI000076,48.79,PE,Enabled,Default Pipe,1,81.3
78,PI000077,48.70,PE,Enabled,Default Pipe,1,67.8
79,PI000078,48.75,PE,Enabled,Default Pipe,1,73.4
80,PI000079,48.31,PE,Enabled,Default Pipe,1,34.4
81,PI000080,48.24,PE,Enabled,Default Pipe,1,21.3
82,PI000081,48.90,PE,Enabled,Default Pipe,1,107.7
83,PI000082,48.84,PE,Enabled,Default Pipe,1,27.2
84,PI000083,50.02,PE,Enabled,Default Pipe,1,205.5
85,PI000084,48.76,PE,Enabled,Default Pipe,1,78.2
86,PI000085,48.08,PE,Enabled,Default Pipe,1,36.6
87,PI000086,48.19,PE,Enabled,Default Pipe,1,95.8
88,PI000087,47.99,PE,Enabled,Default Pipe,1,66.2
89,PI000088,48.04,PE,Enabled,Default Pipe,1,120.9
90,PI000089,47.97,PE,Enabled,Default Pipe,1,27.2
91,PI000090,48.08,PE,Enabled,Default Pipe,1,45.0
92,PI000091,48.14,PE,Enabled,Default Pipe,1,106.9
93,PI000092,48.60,PE,Enabled,Default Pipe,1,42.5
94,PI000093,48.25,PE,Enabled,Default Pipe,1,21.9
95,PI000094,48.23,PE,Enabled,Default Pipe,1,7.8
96,PI000095,48.48,PE,Enabled,Default Pipe,1,27.8
97,PI000096,48.27,PE,Enabled,Default Pipe,1,14.4
