SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,63.54,PE,Enabled,Default Pipe,1,121.8
2,PI000001,62.78,PE,Enabled,Default Pipe,1,152.7
3,PI000002,62.74,PE,Enabled,Default Pipe,1,46.1
4,PI000003,63.66,PE,Enabled,Default Pipe,1,91.0
5,PI000004,62.47,PE,Enabled,Default Pipe,1,67.4
6,PI000005,64.00,PE,Enabled,Default Pipe,1,245.7
7,PI000006,63.37,PE,Enabled,Default Pipe,1,135.0
8,PI000007,64.09,PE,Enabled,Default Pipe,1,6.1
9,PI000008,64.58,PE,Enabled,Default Pipe,1,58.7
10,PI000009,64.97,PE,Enabled,Default Pipe,1,5.3
11,PI000010,61.93,PE,Enabled,Default Pipe,1,18.5
12,PI000011,59.37,PE,Enabled,Default Pipe,1,18.0
13,PI000012,59.30,PE,Enabled,Default Pipe,1,60.7
14,PI000013,56.65,PE,Enabled,Default Pipe,1,137.0
15,PI000014,56.64,PE,Enabled,Default Pipe,1,29.1
16,PI000015,57.53,PE,Enabled,Default Pipe,1,134.7
17,PI000016,61.89,PE,Enabled,Default Pipe,1,83.5
18,PI000018,59.53,PE,Enabled,Default Pipe,1,42.7
19,PI000019,60.12,PE,Enabled,Default Pipe,1,21.0
20,PI000020,61.48,PE,Enabled,Default Pipe,1,8.3
21,PI000021,59.50,PE,Enabled,Default Pipe,1,58.2
22,PI000022,59.72,PE,Enabled,Default Pipe,1,11.0
23,PI000023,59.97,PE,Enabled,Default Pipe,1,43.5
24,PI000024,60.12,PE,Enabled,Default Pipe,1,4.1
25,PI000025,60.44,PE,Enabled,Default Pipe,1,69.0
26,PI000026,60.56,PE,Enabled,Default Pipe,1,34.6
27,PI000027,61.46,PE,Enabled,Default Pipe,1,37.7
28,PI000028,61.46,PE,Enabled,Default Pipe,1,9.8
29,PI000029,61.02,PE,Enabled,Default Pipe,1,109.0
30,PI000030,61.52,PE,Enabled,Default Pipe,1,24.7
31,PI000031,61.60,PE,Enabled,Default Pipe,1,70.0
32,PI000032,59.02,PE,Enabled,Default Pipe,1,56.1
33,PI000033,58.48,PE,Enabled,Default Pipe,1,62.4
34,PI000034,57.57,PE,Enabled,Default Pipe,1,19.1
35,PI000035,57.55,PE,Enabled,Default Pipe,1,8.9
36,PI000036,56.94,PE,Enabled,Default Pipe,1,119.2
37,PI000037,57.79,PE,Enabled,Default Pipe,1,18.2
38,PI000038,57.51,PE,Enabled,Default Pipe,1,66.2
39,PI003413,60.12,PE,Enabled,Default Pipe,1,5.6
40,PI000039,58.98,PE,Enabled,Default Pipe,1,10.1
41,PI000040,58.99,PE,Enabled,Default Pipe,1,41.0
42,PI000041,59.20,PE,Enabled,Default Pipe,1,212.0
43,PI000042,59.35,PE,Enabled,Default Pipe,1,64.3
44,PI000043,60.12,PE,Enabled,Default Pipe,1,1.0
45,PI000044,60.12,PE,Enabled,Default Pipe,1,4.0
46,PI000045,60.12,PE,Enabled,Default Pipe,1,84.3
47,PI000046,60.12,PE,Enabled,Default Pipe,1,10.4
48,PI000047,60.12,PE,Enabled,Default Pipe,1,49.8
49,PI000048,60.20,PE,Enabled,Default Pipe,1,34.2
50,PI000049,60.28,PE,Enabled,Default Pipe,1,8.8
51,PI000050,61.60,PE,Enabled,Default Pipe,1,0.8
52,PI000051,61.60,PE,Enabled,Default Pipe,1,29.0
53,PI000052,61.60,PE,Enabled,Default Pipe,1,17.4
54,PI000053,59.66,PE,Enabled,Default Pipe,1,102.3
55,PI000017,58.64,PE,Enabled,Default Pipe,1,239.3
56,PI000054,59.17,PE,Enabled,Default Pipe,1,7.9
57,PI000055,56.78,PE,Enabled,Default Pipe,1,37.0
58,PI000056,56.94,PE,Enabled,Default Pipe,1,11.5
59,PI000057,56.68,PE,Enabled,Default Pipe,1,1.5
60,PI000058,56.68,PE,Enabled,Default Pipe,1,5.7

Model State: Solved

Generated on 12/03/2015 10:40:19

SynerGEE Gas 4.7.1: ASP
