SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000899,39.50,SI,Enabled,Default Pipe,1,35.3
2,PI000900,35.02,SI,Enabled,Default Pipe,1,37.5
3,PI000901,38.29,PE,Enabled,Default Pipe,1,72.0
4,PI000902,36.15,SI,Enabled,Default Pipe,1,10.7
5,PI000903,36.67,SI,Enabled,Default Pipe,1,14.9
6,PI000904,35.95,SI,Enabled,Default Pipe,1,129.5
7,PI000905,35.90,PE,Enabled,Default Pipe,1,55.4
8,PI000906,38.83,SI,Enabled,Default Pipe,1,5.3
9,PI000907,39.15,SI,Enabled,Default Pipe,1,6.4
10,PI000908,36.23,PE,Enabled,Default Pipe,1,16.7
11,PI000909,37.85,PE,Enabled,Default Pipe,1,33.8
12,PI000910,37.71,PE,Enabled,Default Pipe,3,35.1
13,PI000911,39.95,PE,Enabled,Default Pipe,1,1.3
14,PI000912,37.35,PE,Enabled,Default Pipe,1,2.3
15,PI000914,37.58,PE,Enabled,Default Pipe,1,26.5
16,PI000915,37.90,PE,Enabled,Default Pipe,1,1.7
17,PI000916,37.19,ST,Enabled,Default Pipe,1,1.8
18,PI000917,40.51,PE,Enabled,Default Pipe,1,12.7
19,PI000918,38.62,PE,Enabled,Default Pipe,1,7.5
20,PI000919,44.34,ST,Enabled,Default Pipe,1,15.3
21,PI000920,40.21,PE,Enabled,Default Pipe,1,3.3
22,PI000921,40.43,PE,Enabled,Default Pipe,1,22.0
23,PI000922,40.82,PE,Enabled,Replacement Pipe,1,2.4
24,PI000923,38.64,PE,Enabled,Default Pipe,1,2.3
25,PI000924,44.38,SI,Enabled,Default Pipe,1,20.2
26,PI000925,44.15,PE,Enabled,Replacement Pipe,1,5.4
27,PI000926,41.56,PE,Enabled,Default Pipe,1,22.5
28,PI000928,41.59,PE,Enabled,Default Pipe,1,24.3
29,PI000929,41.53,PE,Enabled,Default Pipe,1,13.6
30,PI000930,38.68,PE,Enabled,Default Pipe,1,19.0
31,PI000931,30.09,DI,Enabled,Default Pipe,1,203.8
32,PI000932,43.23,PE,Enabled,Default Pipe,1,69.1
33,PI000935,42.89,PE,Enabled,Default Pipe,1,125.0
34,PI000936,43.24,PE,Enabled,Default Pipe,1,20.9
35,PI000938,41.27,PE,Enabled,Default Pipe,1,260.9
36,PI000939,39.96,PE,Enabled,Default Pipe,1,170.3
37,PI000941,36.61,PE,Enabled,Default Pipe,1,71.7
38,PI000942,38.64,PE,Enabled,Default Pipe,1,2.8
39,PI000943,36.55,PE,Enabled,Default Pipe,1,13.0
40,PI000945,37.14,PE,Enabled,Default Pipe,1,267.4
41,PI000946,35.65,PE,Enabled,Default Pipe,1,133.6
42,PI000947,35.70,PE,Enabled,Default Pipe,1,8.4
43,PI000948,36.11,PE,Enabled,Default Pipe,1,69.6
44,PI000949,35.09,PE,Enabled,Default Pipe,1,90.2
45,PI000950,34.19,PE,Enabled,Default Pipe,1,166.5
46,PI000951,34.94,PE,Enabled,Default Pipe,1,30.4
47,PI000952,33.36,PE,Enabled,Default Pipe,1,1.8
48,PI000953,33.36,PE,Enabled,Default Pipe,1,2.6
49,PI000954,32.53,PE,Enabled,Default Pipe,1,88.6
50,PI000955,32.62,PE,Enabled,Default Pipe,1,185.4
51,PI000956,32.28,PE,Enabled,Default Pipe,1,70.6
52,PI000957,32.34,PE,Enabled,Default Pipe,1,7.9
53,PI000958,32.26,PE,Enabled,Default Pipe,1,97.5
54,0160305374,27.19,PE,Enabled,Default Pipe,1,79.4
55,0160354861,27.27,PE,Enabled,Default Pipe,1,34.3
56,0160305318,27.36,PE,Enabled,Default Pipe,1,53.6
57,0160354855,27.22,ST,Enabled,Default Pipe,1,7.6
58,0160354856,27.21,PE,Enabled,Default Pipe,1,9.1
59,0160305361,27.20,PE,Enabled,Default Pipe,1,10.5
60,0624581357,27.14,PE,Enabled,Default Pipe,1,38.6
