SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,0160160023,27.60,PE,Enabled,Replacement Upsize Pipe,1,26.2
2,0612882887,41.34,PE,Enabled,Default Pipe,1,10.9
3,0160213620,42.62,PE,Enabled,Default Pipe,1,57.4
4,0160219049,41.14,PE,Enabled,Default Pipe,1,46.9
5,0612823321,41.19,PE,Enabled,Default Pipe,1,5.8
6,0160219052,42.12,PE,Enabled,Default Pipe,1,46.7
7,0160219321,69.95,PE,Enabled,Default Pipe,2,30.7
8,0160219017,41.31,PE,Enabled,Default Pipe,1,4.7
9,0160219095,42.40,PE,Enabled,Default Pipe,1,14.0
10,0160213671,42.40,PE,Enabled,Default Pipe,1,14.0
11,0160219050,41.30,PE,Enabled,Default Pipe,1,36.7
12,0160159545,31.98,PE,Enabled,Default Pipe,1,28.3
13,0612851997,41.49,PE,Enabled,Default Pipe,1,32.9
14,0160216206,42.10,PE,Enabled,Default Pipe,1,16.2
15,0160219051,41.95,PE,Enabled,Default Pipe,1,38.5
16,0160159403,35.65,PE,Enabled,Default Pipe,1,139.0
17,0160213644,41.93,PE,Enabled,Default Pipe,1,14.7
18,0160219315,69.97,PE,Enabled,Default Pipe,2,3.6
19,0160219019,41.27,PE,Enabled,Default Pipe,1,35.1
20,0160216208,41.08,PE,Enabled,Default Pipe,1,64.1
21,0160159546,30.13,PE,Enabled,Default Pipe,1,80.3
22,0160216205,41.63,PE,Enabled,Default Pipe,1,41.3
23,0160219016,41.63,PE,Enabled,Default Pipe,1,54.8
24,0632547367,26.90,PE,Enabled,Default Pipe,1,5.4
25,0160159441,26.55,PE,Enabled,Default Pipe,1,68.3
26,0632547368,26.90,PE,Enabled,Default Pipe,1,22.7
27,0160159374,40.05,ST,Enabled,Default Pipe,1,29.8
28,0601398124,64.63,PE,Enabled,Default Pipe,2,74.9
29,0160219314,66.59,PE,Enabled,Default Pipe,2,2.8
30,0160213666,42.44,PE,Enabled,Default Pipe,1,20.3
31,0160213662,43.29,PE,Enabled,Default Pipe,1,9.7
32,0610053389,64.62,PE,Enabled,Default Pipe,2,21.6
33,0606427638,65.81,PE,Enabled,Default Pipe,2,8.6
34,0160159034,35.12,SI,Enabled,Default Pipe,1,156.6
35,0606420614,65.42,PE,Enabled,Default Pipe,2,39.1
36,0610072133,64.60,PE,Enabled,Default Pipe,2,21.4
37,0160159006,39.72,CI,Enabled,Default Pipe,1,17.2
38,0160159002,39.19,ST,Enabled,Default Pipe,1,63.3
39,0606483875,65.90,PE,Enabled,Default Pipe,2,8.6
40,0160213645,43.04,PE,Enabled,Default Pipe,1,34.3
41,0160219316,68.62,PE,Enabled,Default Pipe,2,14.9
42,0160213661,43.20,PE,Enabled,Default Pipe,1,42.7
43,0160213660,43.08,PE,Enabled,Default Pipe,1,106.7
44,0160219317,68.37,PE,Enabled,Default Pipe,2,11.7
45,0621322686,64.59,PE,Enabled,Default Pipe,2,3.0
46,0160159404,39.28,PE,Enabled,Default Pipe,1,31.4
47,0623195614,64.86,PE,Enabled,Default Pipe,2,1.3
48,0160159373,41.45,PE,Enabled,Default Pipe,1,3.8
49,0160159055,38.92,SI,Enabled,Default Pipe,1,39.5
50,0601509727,64.62,PE,Enabled,Default Pipe,2,14.4
51,0160219318,68.37,PE,Enabled,Default Pipe,2,16.8
52,0160159009,42.75,PE,Enabled,Default Pipe,1,58.7
53,0604418820,67.13,PE,Enabled,Default Pipe,2,72.4
54,0160213663,43.21,PE,Enabled,Default Pipe,1,16.8
55,0609461815,43.36,PE,Enabled,Default Pipe,1,3.6
56,0160158999,41.75,CI,Enabled,Default Pipe,1,2.5
57,0160159013,40.72,SI,Enabled,Default Pipe,1,63.6
58,0160160352,41.05,PE,Enabled,Default Pipe,1,65.2
59,0160160305,41.34,ST,Enabled,Default Pipe,1,28.7
60,0160196051,40.75,PE,Enabled,Default Pipe,1,50.7
61,0160160290,41.22,DI,Enabled,Default Pipe,1,19.5
62,0160160252,36.50,PE,Enabled,Default Pipe,1,293.1
63,0160168118,40.66,PE,Enabled,Default Pipe,1,74.3
64,0160160291,41.20,DI,Enabled,Default Pipe,1,11.4
65,0160160300,41.12,SI,Enabled,Default Pipe,1,1.6
66,0160160328,41.36,SI,Enabled,Default Pipe,1,75.2
67,0160160169,32.27,PE,Enabled,Default Pipe,1,89.4
68,0160168119,41.20,PE,Enabled,Default Pipe,1,57.9
69,0607537999,41.16,PE,Enabled,Default Pipe,1,23.5
70,0160160304,41.43,DI,Enabled,Default Pipe,1,69.6
71,0609491034,41.71,PE,Enabled,Default Pipe,1,1.4
72,0160199636,41.50,PE,Enabled,Default Pipe,1,18.3
73,0160160359,40.85,PE,Enabled,Default Pipe,1,0.7
74,0160160341,41.18,PE,Enabled,Default Pipe,1,67.4
75,0160160251,37.59,ST,Enabled,Default Pipe,1,1.4
76,0160160329,41.35,ST,Enabled,Default Pipe,1,35.8
77,0160160345,41.66,PE,Enabled,Default Pipe,1,75.0
78,0160160311,42.39,DI,Enabled,Default Pipe,1,100.2
79,0160160330,41.38,ST,Enabled,Default Pipe,1,1.0
80,0160160350,41.40,PE,Enabled,Default Pipe,1,74.2
81,0160168491,41.04,DI,Enabled,Default Pipe,1,15.5
82,0160160279,41.55,DI,Enabled,Default Pipe,1,79.8
83,0160160312,42.34,DI,Enabled,Default Pipe,1,125.1
84,0609462132,41.74,PE,Enabled,Default Pipe,1,1.6
85,0160160307,40.76,PE,Enabled,Default Pipe,1,63.1
