SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000005,23.71,CI,Enabled,Default Pipe,5,83.9
2,PI000006,23.40,CI,Enabled,Default Pipe,5,83.7
3,PI000007,23.08,CI,Enabled,Default Pipe,6,56.1
4,PI000008,32.92,PE,Enabled,Default Pipe,2,20.3
5,PI000010,31.87,SI,Enabled,Default Pipe,2,186.0
6,PI000011,31.92,SI,Enabled,Default Pipe,2,10.2
7,PI000012,30.60,PE,Enabled,Default Pipe,2,42.1
8,PI000013,30.18,PE,Enabled,Default Pipe,2,1.0
9,PI000014,31.73,SI,Enabled,Default Pipe,2,104.3
10,PI000015,31.70,SI,Enabled,Default Pipe,2,9.5
11,PI000016,31.91,PE,Enabled,Default Pipe,2,5.1
12,PI000017,24.62,PE,Enabled,Default Pipe,2,2.4
13,PI000018,24.08,PE,Enabled,Default Pipe,3,7.7
14,PI000020,23.94,SI,Enabled,Default Pipe,3,16.3
15,PI000021,23.89,PE,Enabled,Default Pipe,3,32.8
16,PI000022,23.88,SI,Enabled,Default Pipe,3,234.8
17,PI000023,30.60,ST,Enabled,Default Pipe,1,70.7
18,PI000024,25.95,PE,Enabled,Default Pipe,1,2.1
19,PI000025,34.47,PE,Enabled,Default Pipe,1,13.3
20,PI000026,34.45,PE,Enabled,Default Pipe,1,4.3
21,PI000027,31.89,ST,Enabled,Default Pipe,1,64.1
22,PI000028,32.75,SI,Enabled,Default Pipe,1,14.3
23,PI000029,32.79,ST,Enabled,Default Pipe,1,2.3
24,PI000030,30.80,PE,Enabled,Default Pipe,1,3.1
25,PI000031,31.25,PE,Enabled,Default Pipe,1,90.1
26,PI000032,24.56,ST,Enabled,Default Pipe,1,125.1
27,PI000033,27.27,ST,Enabled,Default Pipe,1,49.1
28,PI000034,29.74,SI,Enabled,Default Pipe,1,72.8
29,PI000035,24.96,ST,Enabled,Default Pipe,1,34.4
