SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,39.11,PE,Enabled,Default Pipe,2,13.6
2,PI000002,36.71,PE,Enabled,Default Pipe,2,9.4
3,PI000003,36.71,PE,Enabled,Default Pipe,2,7.0
4,PI000004,46.92,SI,Enabled,Default Pipe,2,158.4
5,PI000005,38.46,PE,Enabled,Default Pipe,2,104.7
6,PI000006,31.63,PE,Enabled,Replacement Pipe,2,2.8
7,PI000007,26.86,PE,Enabled,Default Pipe,2,13.7
8,PI000008,30.53,PE,Enabled,Replacement Pipe,2,149.4
9,PI000009,37.17,PE,Enabled,Replacement Pipe,2,4.1
10,PI000010,27.14,PE,Enabled,Default Pipe,2,8.5
11,PI000012,29.41,PE,Enabled,Default Pipe,2,3.2
12,PI000013,28.86,PE,Enabled,Replacement Pipe,2,66.1
13,PI000015,27.74,PE,Enabled,Replacement Pipe,2,1.4
14,PI000016,41.72,PE,Enabled,Default Pipe,2,0.3
15,PI000017,41.72,PE,Enabled,Default Pipe,2,45.7
16,PI000018,29.98,SI,Enabled,Default Pipe,2,95.6
17,PI000019,29.20,SI,Enabled,Default Pipe,2,2.1
18,PI000020,28.91,PE,Enabled,Default Pipe,2,87.5
19,PI000021,28.51,PE,Enabled,Default Pipe,2,87.3
20,PI000022,28.91,PE,Enabled,Default Pipe,2,66.4
21,PI000023,29.14,SI,Enabled,Default Pipe,2,60.2
22,PI000024,28.51,ST,Enabled,Default Pipe,2,17.2
23,PI000025,28.74,PE,Enabled,Default Pipe,2,109.3
24,PI000026,28.71,PE,Enabled,Default Pipe,2,1.4
25,PI000027,28.87,PE,Enabled,Default Pipe,2,68.5
26,PI000028,30.89,SI,Enabled,Default Pipe,2,1.1
27,PI000029,29.53,SI,Enabled,Default Pipe,2,128.9
28,PI000030,30.86,SI,Enabled,Default Pipe,2,18.1
29,PI000031,32.94,SI,Enabled,Default Pipe,2,80.5
30,PI000032,31.93,SI,Enabled,Default Pipe,2,137.0
31,PI000033,34.82,SI,Enabled,Default Pipe,2,5.6
32,PI000034,35.91,DI,Enabled,Default Pipe,2,74.3
33,PI000035,36.14,DI,Enabled,Default Pipe,2,5.5
34,PI000037,37.07,CI,Enabled,Default Pipe,2,13.8
35,PI000038,40.84,PE,Enabled,Default Pipe,2,92.5
36,PI000039,39.09,CI,Enabled,Default Pipe,2,222.9
37,PI000040,40.76,SI,Enabled,Default Pipe,2,35.4
38,PI000041,40.93,SI,Enabled,Default Pipe,2,56.3
39,PI000042,41.42,SI,Enabled,Default Pipe,2,203.8
40,PI000043,39.94,PE,Enabled,Default Pipe,2,30.6
41,PI000044,36.47,CI,Enabled,Default Pipe,2,162.5
42,PI000045,42.88,PE,Enabled,Default Pipe,2,1.2
43,PI000048,41.46,SI,Enabled,Default Pipe,2,38.2
44,PI000049,33.53,PE,Enabled,Default Pipe,2,3.9
45,PI000050,32.28,PE,Enabled,Replacement Pipe,2,2.1
46,PI000051,32.03,PE,Enabled,Replacement Pipe,2,2.7
47,PI000052,35.55,PE,Enabled,Default Pipe,2,4.1
48,PI000053,32.62,PE,Enabled,Default Pipe,2,3.4
49,PI000054,32.93,PE,Enabled,Default Pipe,2,39.1
50,PI000055,39.33,PE,Enabled,Default Pipe,2,107.5
51,PI000056,33.18,PE,Enabled,Default Pipe,2,22.7
52,PI000057,33.28,PE,Enabled,Default Pipe,2,0.9
53,PI000058,37.25,PE,Enabled,Default Pipe,2,4.3
54,PI000059,31.87,PE,Enabled,Default Pipe,2,143.8
55,PI000060,34.09,CI,Enabled,Default Pipe,2,166.6
56,PI000061,32.03,PE,Enabled,Replacement Pipe,2,11.9
57,PI000062,32.34,PE,Enabled,Replacement Pipe,2,2.3
58,PI000063,33.02,PE,Enabled,Default Pipe,2,36.2
59,PI000064,41.58,SI,Enabled,Default Pipe,2,1.4
60,PI000065,31.75,PE,Enabled,Default Pipe,2,2.6
61,PI000066,41.22,PE,Enabled,Default Pipe,2,75.1
62,PI000067,41.62,SI,Enabled,Default Pipe,2,30.6
63,PI000068,41.48,PE,Enabled,Default Pipe,2,27.6
64,PI000069,32.83,PE,Enabled,Default Pipe,2,6.0
65,PI000070,32.78,PE,Enabled,Default Pipe,2,17.7
66,PI000071,30.01,PE,Enabled,Default Pipe,2,63.7
67,PI000072,33.51,PE,Enabled,Default Pipe,2,18.7
68,PI000074,33.34,PE,Enabled,Default Pipe,2,6.6
69,PI000075,33.33,PE,Enabled,Replacement Pipe,2,108.1
70,PI000076,32.00,PE,Enabled,Default Pipe,2,9.2
71,PI000077,33.97,DI,Enabled,Default Pipe,2,14.1
72,PI000078,34.28,DI,Enabled,Default Pipe,2,64.0
73,PI000079,39.15,PE,Enabled,Replacement Pipe,2,3.2
74,PI000080,34.02,DI,Enabled,Default Pipe,2,17.9
75,PI000081,38.99,PE,Enabled,Replacement Pipe,2,38.5
76,PI000082,33.25,PE,Enabled,Default Pipe,2,90.1
77,PI000083,37.38,CI,Enabled,Default Pipe,2,29.5
78,PI000084,39.40,PE,Enabled,Replacement Pipe,2,64.7
79,PI000085,34.43,PE,Enabled,Default Pipe,2,98.4
80,PI000086,33.50,PE,Enabled,Replacement Pipe,2,42.5
81,PI000087,35.55,PE,Enabled,Default Pipe,2,31.3
82,PI000088,33.45,PE,Enabled,Replacement Pipe,2,8.3
