SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,40.58,PE,Enabled,Default Pipe,2,31.7
2,PI000002,40.26,PE,Enabled,Default Pipe,2,4.7
3,PI000003,41.24,PE,Enabled,Default Pipe,2,28.5
4,PI000004,41.27,DI,Enabled,Default Pipe,2,18.3
5,PI000005,39.01,PE,Enabled,Default Pipe,2,30.0
6,PI000006,40.96,PE,Enabled,Default Pipe,2,111.2
7,PI000007,38.05,PE,Enabled,Default Pipe,2,34.2
8,PI000008,39.90,PE,Enabled,Default Pipe,2,18.4
9,PI000009,40.77,PE,Enabled,Default Pipe,2,30.2
10,PI000010,38.23,PE,Enabled,Default Pipe,2,83.8
11,PI000011,39.34,PE,Enabled,Default Pipe,2,44.0
12,PI000012,37.91,PE,Enabled,Default Pipe,2,2.6
13,PI000013,38.47,PE,Enabled,Default Pipe,2,18.7
14,PI000014,40.17,PE,Enabled,Default Pipe,2,25.1
15,PI000015,40.71,PE,Enabled,Default Pipe,2,29.4
16,PI000016,42.12,DI,Enabled,Default Pipe,2,195.6
17,PI000017,40.07,PE,Enabled,Default Pipe,2,26.4
18,PI000018,40.26,PE,Enabled,Default Pipe,2,31.0
19,PI000019,39.69,PE,Enabled,Default Pipe,2,32.3
20,PI000020,39.03,DI,Enabled,Default Pipe,2,1.6
21,PI000021,39.13,PE,Enabled,Default Pipe,2,14.4
22,PI000022,40.02,PE,Enabled,Default Pipe,2,42.8
23,PI000023,38.79,PE,Enabled,Default Pipe,2,11.0
24,PI000024,39.67,PE,Enabled,Default Pipe,2,56.0
25,PI000025,38.60,PE,Enabled,Default Pipe,2,43.6
26,PI000026,39.30,PE,Enabled,Default Pipe,2,20.3
27,PI000027,40.46,DI,Enabled,Default Pipe,2,96.7
28,PI000028,40.28,PE,Enabled,Default Pipe,2,7.6
29,PI000029,37.81,PE,Enabled,Default Pipe,2,16.3
30,PI000030,39.59,PE,Enabled,Default Pipe,2,60.7
31,PI000031,39.81,DI,Enabled,Default Pipe,2,41.1
32,PI000032,39.44,PE,Enabled,Default Pipe,2,22.0
33,PI000033,40.59,PE,Enabled,Default Pipe,2,5.5
34,PI000034,36.73,PE,Enabled,Default Pipe,2,1.3
35,PI000035,37.62,PE,Enabled,Default Pipe,2,58.8
36,PI000036,40.38,DI,Enabled,Default Pipe,2,5.0
37,PI000037,40.22,DI,Enabled,Default Pipe,2,9.9
38,PI000038,40.64,DI,Enabled,Default Pipe,2,45.5
39,PI000039,40.55,PE,Enabled,Default Pipe,2,27.2
40,PI000040,39.56,PE,Enabled,Default Pipe,2,10.1
41,PI000041,40.25,PE,Enabled,Default Pipe,2,30.5
42,PI000042,39.14,PE,Enabled,Default Pipe,2,6.5
43,PI000043,40.07,DI,Enabled,Default Pipe,2,51.4
44,PI000044,39.47,PE,Enabled,Default Pipe,2,33.5
45,PI000045,37.81,PE,Enabled,Default Pipe,2,14.3
46,PI000046,40.62,PE,Enabled,Default Pipe,2,119.7
47,PI000047,40.37,CI,Enabled,Default Pipe,2,59.7
48,PI000048,37.30,PE,Enabled,Default Pipe,2,15.3
49,PI000049,37.32,PE,Enabled,Default Pipe,2,18.6
50,PI000050,37.45,PE,Enabled,Default Pipe,2,24.1
51,PI000051,40.46,CI,Enabled,Default Pipe,2,11.8
52,PI000052,37.69,DI,Enabled,Default Pipe,2,278.4
53,PI000053,38.94,DI,Enabled,Default Pipe,2,80.1
54,PI000054,40.83,CI,Enabled,Default Pipe,2,12.0
55,PI000055,39.35,DI,Enabled,Default Pipe,2,124.7
56,PI000056,38.48,PE,Enabled,Default Pipe,2,56.3
57,PI000057,37.28,PE,Enabled,Default Pipe,2,24.5
58,PI000058,38.68,DI,Enabled,Default Pipe,2,70.3
59,PI000059,38.19,PE,Enabled,Default Pipe,2,120.0
60,PI000060,38.49,DI,Enabled,Default Pipe,2,81.0
61,PI000061,39.20,DI,Enabled,Default Pipe,2,61.5
62,PI000062,39.53,CI,Enabled,Default Pipe,2,8.9
63,PI000063,39.42,CI,Enabled,Default Pipe,2,30.7
64,PI000064,37.89,PE,Enabled,Default Pipe,2,44.1
65,PI000065,37.86,PE,Enabled,Default Pipe,2,44.8
66,PI000066,39.79,PE,Enabled,Default Pipe,2,148.0
67,PI000067,39.79,PE,Enabled,Default Pipe,2,74.3
68,PI000068,39.40,DI,Enabled,Default Pipe,2,28.6
69,PI000069,39.38,DI,Enabled,Default Pipe,2,48.1
70,PI000070,39.38,DI,Enabled,Default Pipe,2,33.3
71,PI000071,39.39,DI,Enabled,Default Pipe,2,46.1
72,PI000072,39.42,PE,Enabled,Default Pipe,2,27.0
73,PI000073,40.12,ST,Enabled,Default Pipe,2,52.5
74,PI000074,39.77,ST,Enabled,Default Pipe,2,6.3
75,PI000075,63.07,PE,Enabled,Default Pipe,1,77.7
76,PI000076,40.69,PE,Enabled,Default Pipe,2,89.3
77,PI000077,39.36,PE,Enabled,Default Pipe,2,39.4
78,PI000078,38.43,PE,Enabled,Default Pipe,2,49.2
79,PI000079,41.22,PE,Enabled,Default Pipe,2,1.6
80,PI000080,40.43,PE,Enabled,Default Pipe,2,32.8
81,PI000081,41.48,PE,Enabled,Default Pipe,2,22.8
82,PI000082,41.22,PE,Enabled,Default Pipe,2,1.9
83,PI000083,32.35,PE,Enabled,Default Pipe,2,2.5
84,PI000084,32.76,PE,Enabled,Default Pipe,2,3.3
85,PI000085,32.30,PE,Enabled,Default Pipe,2,25.6
86,PI000086,41.00,PE,Enabled,Default Pipe,2,28.0
87,PI000087,41.02,PE,Enabled,Default Pipe,2,60.4
88,PI000088,32.40,PE,Enabled,Default Pipe,2,18.7
89,PI000089,41.13,DI,Enabled,Default Pipe,2,1.6
90,PI000090,41.07,PE,Enabled,Default Pipe,2,25.6
91,PI000091,39.22,DI,Enabled,Default Pipe,2,206.0
92,PI000092,40.31,PE,Enabled,Default Pipe,2,3.3
93,PI000093,42.18,DI,Enabled,Default Pipe,2,43.2
94,PI000094,32.17,PE,Enabled,Default Pipe,2,150.8
95,PI000095,31.95,PE,Enabled,Default Pipe,2,6.4
96,PI000096,32.51,PE,Enabled,Default Pipe,2,30.4
97,PI000097,42.66,DI,Enabled,Default Pipe,2,3.2
98,PI000098,40.77,PE,Enabled,Default Pipe,2,193.7
99,PI000099,36.63,DI,Enabled,Default Pipe,2,1.2
100,PI000100,36.70,DI,Enabled,Default Pipe,2,42.9
101,PI000101,36.76,ST,Enabled,Default Pipe,2,22.0
102,PI000102,35.02,PE,Enabled,Default Pipe,2,2.9
103,PI000103,36.36,DI,Enabled,Default Pipe,2,4.7
104,PI000104,33.20,PE,Enabled,Default Pipe,2,56.6
105,PI000105,33.12,PE,Enabled,Default Pipe,2,55.1
106,PI000106,33.02,PE,Enabled,Default Pipe,2,41.5
107,PI000107,37.87,PE,Enabled,Default Pipe,2,15.4
108,PI000108,35.81,PE,Enabled,Default Pipe,2,135.6
109,PI000109,39.83,PE,Enabled,Default Pipe,2,7.3
110,PI000110,32.74,PE,Enabled,Default Pipe,2,6.8
111,PI000111,35.19,PE,Enabled,Default Pipe,2,67.9
112,PI000112,36.42,DI,Enabled,Default Pipe,2,55.3
113,PI000113,44.42,DI,Enabled,Default Pipe,2,1.2
114,PI000114,36.98,DI,Enabled,Default Pipe,2,123.3
115,PI000115,33.40,PE,Enabled,Default Pipe,2,55.1
116,PI000116,35.52,PE,Enabled,Default Pipe,2,60.6
117,PI000117,36.87,PE,Enabled,Default Pipe,2,41.0
118,PI000118,38.20,DI,Enabled,Default Pipe,2,26.7
119,PI000119,38.36,DI,Enabled,Default Pipe,2,29.5
120,PI000120,29.55,PE,Enabled,Default Pipe,2,72.4
121,PI000121,29.53,PE,Enabled,Default Pipe,2,4.8
122,PI000122,38.06,DI,Enabled,Default Pipe,2,29.9
123,PI000123,37.87,PE,Enabled,Default Pipe,2,29.4
124,PI000124,27.54,PE,Enabled,Default Pipe,2,37.8
125,PI000125,27.35,PE,Enabled,Default Pipe,2,17.7
126,PI000126,38.26,DI,Enabled,Default Pipe,2,33.4
127,PI000127,38.13,DI,Enabled,Default Pipe,2,43.7
128,PI000128,27.67,PE,Enabled,Default Pipe,2,27.8
129,PI000129,36.98,PE,Enabled,Default Pipe,2,40.1
130,PI000130,29.96,PE,Enabled,Default Pipe,2,14.6
131,PI000131,28.79,PE,Enabled,Default Pipe,2,16.8
132,PI000132,27.28,ST,Enabled,Default Pipe,2,43.3
133,PI000133,29.33,PE,Enabled,Default Pipe,2,8.7
134,PI000134,38.02,DI,Enabled,Default Pipe,2,53.1
135,PI000135,37.86,PE,Enabled,Default Pipe,2,76.2
136,PI000136,37.94,PE,Enabled,Default Pipe,2,14.5
137,PI000137,37.02,PE,Enabled,Default Pipe,2,77.3
138,PI000138,36.82,PE,Enabled,Default Pipe,2,1.3
139,PI000139,27.27,ST,Enabled,Default Pipe,2,45.6
140,PI000140,37.98,PE,Enabled,Default Pipe,2,28.5
141,PI000141,36.76,PE,Enabled,Default Pipe,2,18.7
