SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,36.97,PE,Enabled,Default Pipe,1,72.3
2,PI000002,37.28,SI,Enabled,Default Pipe,1,79.5
3,PI000003,32.22,CI,Enabled,Default Pipe,1,1.9
4,PI000004,31.70,PE,Enabled,Default Pipe,1,13.1
5,PI000005,31.75,PE,Enabled,Default Pipe,1,16.3
6,PI000006,37.39,SI,Enabled,Default Pipe,1,198.2
7,PI000007,33.53,SI,Enabled,Default Pipe,1,99.8
8,PI000008,33.70,SI,Enabled,Default Pipe,1,135.9
9,PI000009,37.88,SI,Enabled,Default Pipe,1,21.7
10,PI000010,37.07,SI,Enabled,Default Pipe,1,50.3
11,PI000011,32.96,CI,Enabled,Default Pipe,1,85.1
12,PI000012,36.51,PE,Enabled,Default Pipe,1,2.0
13,PI000013,37.59,PE,Enabled,Default Pipe,1,23.2
14,PI000014,33.37,PE,Enabled,Default Pipe,1,73.8
15,PI000015,31.80,PE,Enabled,Replacement Pipe,1,27.1
16,PI000016,33.63,PE,Enabled,Default Pipe,1,184.4
17,PI000017,36.63,SI,Enabled,Default Pipe,1,122.7
18,PI000018,36.56,PE,Enabled,Default Pipe,1,27.0
19,PI000019,37.71,PE,Enabled,Default Pipe,1,15.7
20,PI000020,37.23,PE,Enabled,Default Pipe,1,6.0
21,PI000021,33.23,PE,Enabled,Default Pipe,1,34.6
22,PI000022,37.22,PE,Enabled,Default Pipe,1,42.6
23,PI000023,36.50,SI,Enabled,Default Pipe,1,54.0
24,PI000024,33.58,PE,Enabled,Default Pipe,1,22.0
25,PI000025,33.30,PE,Enabled,Default Pipe,1,32.5
26,PI000026,33.50,PE,Enabled,Default Pipe,1,28.2
27,PI000027,36.92,PE,Enabled,Default Pipe,1,34.5
28,PI000028,34.36,PE,Enabled,Default Pipe,1,18.0
29,PI000029,36.83,DI,Enabled,Default Pipe,1,202.4
30,PI000030,33.95,PE,Enabled,Default Pipe,1,74.5
31,PI000031,37.30,PE,Enabled,Default Pipe,1,15.5
32,PI000032,33.32,PE,Enabled,Default Pipe,1,1.2
33,PI000033,33.91,PE,Enabled,Default Pipe,1,24.6
34,PI000034,33.29,SI,Enabled,Default Pipe,1,24.1
35,PI000035,30.02,PE,Enabled,Replacement Pipe,1,29.2
36,PI000036,36.73,SI,Enabled,Default Pipe,1,20.3
37,PI000037,33.01,CI,Enabled,Default Pipe,1,25.7
38,PI000038,36.54,PE,Enabled,Default Pipe,1,75.3
39,PI000039,33.27,PE,Enabled,Default Pipe,1,82.0
40,PI000040,33.25,PE,Enabled,Default Pipe,1,22.6
41,PI000041,33.13,PE,Enabled,Default Pipe,1,24.5
42,PI000042,33.06,CI,Enabled,Default Pipe,1,17.4
43,PI000043,30.82,PE,Enabled,Replacement Pipe,1,188.7
44,PI000044,27.27,PE,Enabled,Default Pipe,1,1.8
45,PI000045,26.91,CI,Enabled,Default Pipe,1,186.1
46,PI000046,27.86,PE,Enabled,Default Pipe,1,11.0
47,PI000047,27.28,CI,Enabled,Default Pipe,1,53.1
48,PI000048,26.66,CI,Enabled,Default Pipe,1,39.3
49,PI000049,24.90,PE,Enabled,Default Pipe,1,124.9
50,PI000050,33.74,CI,Enabled,Default Pipe,1,74.4
51,PI000051,36.62,CI,Enabled,Default Pipe,1,162.8
52,PI000052,37.83,CI,Enabled,Default Pipe,1,41.0
53,PI000053,30.97,CI,Enabled,Default Pipe,1,57.9
