SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000328,48.86,PE,Enabled,Default Pipe,1,89.5
2,PI000329,48.71,PE,Enabled,Default Pipe,1,7.6
3,PI000330,48.76,DI,Enabled,Default Pipe,1,2.6
4,PI000331,39.12,PE,Enabled,Default Pipe,1,74.4
5,PI000332,38.99,PE,Enabled,Default Pipe,1,4.0
6,PI000333,40.61,PE,Enabled,Default Pipe,1,70.0
7,PI000334,46.19,SI,Enabled,Default Pipe,1,76.9
8,PI000335,40.99,PE,Enabled,Default Pipe,1,78.4
9,PI000336,45.08,PE,Enabled,Default Pipe,1,8.0
10,PI000337,41.48,PE,Enabled,Default Pipe,1,161.5
11,PI000338,46.51,PE,Enabled,Default Pipe,1,152.3
12,PI000339,47.84,PE,Enabled,Default Pipe,1,24.6
13,PI000340,49.00,PE,Enabled,Default Pipe,1,2.0
14,PI000341,47.37,DI,Enabled,Default Pipe,1,30.1
15,PI000342,40.77,PE,Enabled,Default Pipe,1,39.0
16,PI000343,48.74,PE,Enabled,Default Pipe,1,7.4
17,PI000344,48.38,PE,Enabled,Default Pipe,1,49.2
18,PI000345,49.08,PE,Enabled,Default Pipe,1,72.2
19,PI000346,45.89,PE,Enabled,Default Pipe,1,3.8
20,PI000347,47.55,DI,Enabled,Default Pipe,1,63.0
21,PI000348,48.64,PE,Enabled,Default Pipe,1,4.6
22,PI000349,42.43,ST,Enabled,Default Pipe,1,13.5
23,PI000350,49.93,DI,Enabled,Default Pipe,1,3.7
24,PI000351,39.89,PE,Enabled,Default Pipe,1,33.1
25,PI000352,41.73,PE,Enabled,Default Pipe,1,37.3
26,PI000353,42.31,ST,Enabled,Default Pipe,1,7.8
27,PI000354,42.55,PE,Enabled,Default Pipe,1,44.3
28,PI000355,45.07,PE,Enabled,Default Pipe,1,14.8
29,PI000356,45.06,PE,Enabled,Default Pipe,1,12.3
30,PI000357,30.03,PE,Enabled,Default Pipe,1,56.1
31,PI000358,29.93,PE,Enabled,Default Pipe,1,1.7
32,PI000359,30.26,PE,Enabled,Default Pipe,1,75.0
