SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,46.87,PE,Enabled,Default Pipe,2,78.9
2,PI000002,46.63,PE,Enabled,Default Pipe,2,96.7
3,PI000003,47.35,PE,Enabled,Default Pipe,2,2.6
4,PI000004,44.74,PE,Enabled,Default Pipe,2,18.1
5,PI000005,45.94,PE,Enabled,Default Pipe,2,39.6
6,PI000006,47.72,PE,Enabled,Default Pipe,2,2.5
7,PI000007,42.67,PE,Enabled,Default Pipe,2,123.8
8,PI000008,47.34,PE,Enabled,Default Pipe,2,21.4
9,PI000009,41.69,PE,Enabled,Default Pipe,2,20.8
10,PI000010,45.78,PE,Enabled,Default Pipe,2,35.8
11,PI000011,40.22,PE,Enabled,Default Pipe,2,412.7
12,PI000012,38.06,PE,Enabled,Default Pipe,2,47.6
13,PI000013,39.96,PE,Enabled,Default Pipe,2,8.7
14,PI000014,39.97,PE,Enabled,Default Pipe,2,6.1
15,PI000015,48.88,PE,Enabled,Default Pipe,1,38.4
16,PI000016,48.80,PE,Enabled,Default Pipe,1,19.9
17,PI000017,40.91,PE,Enabled,Default Pipe,1,9.2
18,PI000018,40.84,PE,Enabled,Default Pipe,1,12.3
19,PI000019,43.92,PE,Enabled,Default Pipe,1,3.2
20,PI000020,47.33,PE,Enabled,Default Pipe,1,36.3
21,PI000021,41.02,PE,Enabled,Default Pipe,1,1.5
22,PI000022,47.59,PE,Enabled,Default Pipe,2,2.9
23,PI000023,47.00,PE,Enabled,Default Pipe,2,1.5
24,PI000024,48.63,PE,Enabled,Default Pipe,2,23.6
25,PI000025,47.61,PE,Enabled,Default Pipe,2,88.9
26,PI000026,44.44,PE,Enabled,Default Pipe,2,13.3
27,PI000027,46.74,PE,Enabled,Default Pipe,2,74.6
28,PI000028,48.78,PE,Enabled,Default Pipe,2,6.4
29,PI000029,48.61,PE,Enabled,Default Pipe,2,129.2
30,PI000030,49.03,PE,Enabled,Default Pipe,2,59.6
31,PI000032,49.61,PE,Enabled,Default Pipe,2,116.3
32,PI000034,49.00,PE,Enabled,Default Pipe,1,4.1
33,PI000035,48.63,PE,Enabled,Default Pipe,1,104.6
34,PI000036,48.97,PE,Enabled,Default Pipe,1,81.2
