SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,42.28,PE,Enabled,Default Pipe,1,42.7
2,PI000003,48.83,PE,Enabled,Default Pipe,2,74.5
3,PI000004,42.15,PE,Enabled,Default Pipe,2,212.2
4,PI000005,69.91,PE,Enabled,Default Pipe,1,4.4
5,PI000006,70.00,ST,Enabled,Default Pipe,1,0.5
6,PI000007,61.18,PE,Enabled,Default Pipe,1,93.1
7,PI000008,61.26,PE,Enabled,Default Pipe,1,7.2
8,PI000009,60.26,PE,Enabled,Default Pipe,1,84.5
9,PI000010,39.37,PE,Enabled,Default Pipe,1,90.7
10,PI000011,39.41,PE,Enabled,Default Pipe,1,100.9
11,PI000012,39.41,PE,Enabled,Default Pipe,1,88.0
12,PI000013,52.18,PE,Enabled,Default Pipe,1,39.5
13,PI000014,51.93,PE,Enabled,Default Pipe,1,1.7
14,PI000015,27.57,PE,Enabled,Default Pipe,2,56.3
15,PI000016,27.32,PE,Enabled,Default Pipe,2,50.9
16,PI000017,27.17,PE,Enabled,Default Pipe,2,137.5
17,PI000018,27.75,PE,Enabled,Default Pipe,2,46.4
18,PI000019,57.96,PE,Enabled,Default Pipe,3,149.2
19,PI000020,54.66,PE,Enabled,Default Pipe,3,141.3
20,PI000021,46.96,PE,Enabled,Default Pipe,3,184.0
21,PI000022,46.72,PE,Enabled,Default Pipe,3,152.2
22,PI000023,53.79,PE,Enabled,Default Pipe,3,192.3
23,PI000024,63.87,PE,Enabled,Default Pipe,3,145.7
24,PI000025,30.45,PE,Enabled,Default Pipe,1,163.1
25,PI000026,37.71,PE,Enabled,Default Pipe,1,147.2
26,PI000027,53.64,PE,Enabled,Default Pipe,1,199.8
27,PI000028,52.96,PE,Enabled,Default Pipe,1,58.4
28,PI000029,47.25,PE,Enabled,Default Pipe,1,188.6
29,PI000030,48.37,PE,Enabled,Default Pipe,1,157.2
30,PI000031,52.02,PE,Enabled,Default Pipe,1,248.0
31,PI000032,36.70,PE,Enabled,Default Pipe,1,45.8
32,PI000033,54.31,PE,Enabled,Default Pipe,1,108.0
33,PI000034,67.49,PE,Enabled,Default Pipe,1,145.6
34,PI000035,68.45,PE,Enabled,Default Pipe,1,196.8
35,PI000036,22.86,PE,Enabled,Default Pipe,2,185.2
36,PI000037,25.81,PE,Enabled,Default Pipe,2,163.4
37,PI000038,21.74,PE,Enabled,Default Pipe,2,60.6
38,PI000039,21.78,PE,Enabled,Default Pipe,2,45.7
39,PI000040,36.77,PE,Enabled,Default Pipe,2,12.4
40,PI000041,36.79,PE,Enabled,Default Pipe,2,6.0
41,PI000042,28.45,PE,Enabled,Default Pipe,2,190.0
42,PI000043,27.49,PE,Enabled,Default Pipe,2,63.4
43,PI000044,29.61,PE,Enabled,Default Pipe,2,191.9
44,PI000045,35.64,PE,Enabled,Default Pipe,2,206.6
45,PI000046,36.94,PE,Enabled,Default Pipe,2,203.4
46,PI000047,38.69,PE,Enabled,Default Pipe,2,137.0
47,PI000048,35.93,PE,Enabled,Default Pipe,2,182.4
48,PI000049,36.60,PE,Enabled,Default Pipe,2,212.6
49,PI000050,38.19,PE,Enabled,Default Pipe,2,220.8
50,PI000051,60.03,PE,Enabled,Default Pipe,1,47.3
51,PI000052,63.91,PE,Enabled,Default Pipe,1,209.5
52,PI000053,58.32,PE,Enabled,Default Pipe,1,69.9
53,PI000054,51.31,PE,Enabled,Default Pipe,1,28.8
54,PI000055,51.18,PE,Enabled,Default Pipe,1,11.1
55,PI000056,49.74,ST,Enabled,Default Pipe,2,1.4
56,PI000057,49.47,ST,Enabled,Default Pipe,2,113.3
57,PI000059,49.69,PE,Enabled,Default Pipe,2,13.2
58,PI000060,43.28,PE,Enabled,Default Pipe,2,47.8
59,PI000061,42.87,PE,Enabled,Default Pipe,2,43.1
60,PI000062,65.53,PE,Enabled,Default Pipe,1,28.8
61,PI000063,64.41,PE,Enabled,Default Pipe,1,21.6
62,PI000064,45.02,PE,Enabled,Default Pipe,2,311.1
63,PI000065,43.15,PE,Enabled,Default Pipe,1,1.8
64,PI000066,43.94,PE,Enabled,Default Pipe,2,110.4
65,PI000067,25.32,PE,Enabled,Default Pipe,1,82.3
66,PI000068,25.37,PE,Enabled,Default Pipe,1,23.4
67,PI000069,26.59,PE,Enabled,Default Pipe,1,72.9
68,PI000070,25.52,PE,Enabled,Default Pipe,1,81.0
69,PI000071,27.58,PE,Enabled,Default Pipe,1,31.3
70,PI000072,42.29,PE,Enabled,Default Pipe,1,70.5
71,PI000073,41.90,PE,Enabled,Default Pipe,1,136.1
72,PI000074,42.26,PE,Enabled,Default Pipe,1,3.0
73,PI000075,42.78,PE,Enabled,Default Pipe,1,236.9
74,PI000076,43.13,PE,Enabled,Default Pipe,1,4.2
75,PI000077,42.84,PE,Enabled,Default Pipe,1,240.3
76,PI000078,45.89,PE,Enabled,Default Pipe,1,120.1
77,PI000079,52.65,PE,Enabled,Default Pipe,1,177.1
78,PI000080,54.16,PE,Enabled,Default Pipe,1,234.9
79,PI000081,59.17,PE,Enabled,Default Pipe,1,14.7
80,PI000082,57.09,PE,Enabled,Default Pipe,1,32.9
81,PI000083,57.55,PE,Enabled,Default Pipe,1,126.4
82,PI000084,56.94,PE,Enabled,Default Pipe,1,102.7
83,PI000085,58.55,PE,Enabled,Default Pipe,1,111.1
84,PI000086,58.64,PE,Enabled,Default Pipe,1,22.2
85,PI000087,54.18,PE,Enabled,Default Pipe,1,38.2
86,PI000088,54.90,PE,Enabled,Default Pipe,1,89.9
87,PI000089,56.32,PE,Enabled,Default Pipe,1,105.9
88,PI000090,57.64,PE,Enabled,Default Pipe,1,55.8
89,PI000091,58.57,PE,Enabled,Default Pipe,1,42.8
90,PI000092,58.83,PE,Enabled,Default Pipe,1,59.2
