SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,32.97,PE,Enabled,Default Pipe,1,4.6
2,PI000002,29.75,PE,Enabled,Default Pipe,1,41.0
3,PI000003,31.95,PE,Enabled,Default Pipe,1,115.5
4,PI000004,29.11,PE,Enabled,Default Pipe,1,73.4
5,PI000005,32.92,PE,Enabled,Default Pipe,1,3.5
6,PI000006,28.52,PE,Enabled,Default Pipe,1,42.3
7,PI000007,29.73,PE,Enabled,Default Pipe,1,36.6
8,PI000008,30.56,PE,Enabled,Default Pipe,1,74.6
9,PI000009,24.75,PE,Enabled,Default Pipe,1,9.9
10,PI000010,23.98,PE,Enabled,Default Pipe,1,18.8
11,PI000011,24.91,PE,Enabled,Default Pipe,1,21.1
12,PI000012,26.28,PE,Enabled,Default Pipe,1,8.5
13,PI000013,27.67,PE,Enabled,Default Pipe,1,90.8
14,PI000014,26.06,PE,Enabled,Default Pipe,1,150.2
15,PI000015,26.26,PE,Enabled,Default Pipe,1,43.7
16,PI000016,27.12,SI,Enabled,Default Pipe,1,81.1
17,PI000017,28.27,PE,Enabled,Default Pipe,1,13.8
18,PI000018,29.75,ST,Enabled,Default Pipe,1,52.3
19,PI000019,29.84,ST,Enabled,Default Pipe,1,68.4
20,PI000020,29.92,ST,Enabled,Default Pipe,1,24.6
21,PI000021,26.38,PE,Enabled,Default Pipe,1,69.2
22,PI000022,26.92,PE,Enabled,Default Pipe,1,51.3
23,PI000023,22.39,ST,Enabled,Default Pipe,1,14.1
24,PI000024,26.70,PE,Enabled,Default Pipe,1,49.4
25,PI000025,23.04,ST,Enabled,Default Pipe,1,0.5
26,PI000026,22.44,ST,Enabled,Default Pipe,1,108.9
27,PI000027,26.24,PE,Enabled,Default Pipe,1,18.8
28,PI000028,22.44,ST,Enabled,Default Pipe,1,28.5
29,PI000029,22.99,ST,Enabled,Default Pipe,1,16.2
30,PI000030,24.48,ST,Enabled,Default Pipe,1,7.2
31,PI000031,23.99,ST,Enabled,Default Pipe,1,100.7
32,PI000032,23.48,ST,Enabled,Default Pipe,1,132.5
33,PI000033,26.03,PE,Enabled,Default Pipe,1,35.0
34,PI000034,27.56,CI,Enabled,Default Pipe,1,101.9
35,PI000035,29.98,ST,Enabled,Default Pipe,1,26.5
36,PI000036,22.71,ST,Enabled,Default Pipe,1,143.6
37,PI000037,24.87,PE,Enabled,Default Pipe,1,15.3
38,PI000038,29.21,PE,Enabled,Default Pipe,1,149.2
39,0160128475,22.52,PE,Enabled,Default Pipe,1,115.9
40,0160128742,32.49,PE,Enabled,Default Pipe,1,60.4
41,0160128633,32.87,PE,Enabled,Default Pipe,1,9.8
42,0160128741,32.94,CI,Enabled,Default Pipe,1,111.5
43,0160128631,28.29,PE,Enabled,Default Pipe,1,3.4
44,0160168332,29.48,PE,Enabled,Default Pipe,1,12.9
45,0160128714,29.62,PE,Enabled,Default Pipe,1,135.6
