SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,24.86,ST,Enabled,Default Pipe,1,1.8
2,PI000001,47.61,PE,Enabled,Default Pipe,1,128.9
3,PI000002,45.24,ST,Enabled,Default Pipe,1,141.8
4,PI000003,45.25,PE,Enabled,Default Pipe,1,113.9
5,PI000004,45.64,PE,Enabled,Default Pipe,1,57.8
6,PI000005,21.84,PE,Enabled,Default Pipe,1,36.7
7,PI000006,46.47,ST,Enabled,Default Pipe,1,239.7
8,PI000007,42.73,PE,Enabled,Default Pipe,1,93.3
9,PI000008,41.52,PE,Enabled,Default Pipe,1,8.4
10,PI000009,47.96,PE,Enabled,Default Pipe,1,9.6
11,PI000010,47.91,ST,Enabled,Default Pipe,1,1.9
12,PI000011,40.55,ST,Enabled,Default Pipe,1,241.1
13,PI000012,45.51,ST,Enabled,Default Pipe,1,225.7
14,PI000013,25.00,ST,Enabled,Default Pipe,1,268.2
15,PI000014,24.83,ST,Enabled,Default Pipe,1,272.7
16,PI000015,25.53,ST,Enabled,Default Pipe,1,254.3
17,PI000016,26.34,ST,Enabled,Default Pipe,1,326.6
18,PI000017,37.49,ST,Enabled,Default Pipe,1,157.1
19,PI000018,33.28,ST,Enabled,Default Pipe,1,231.7
20,PI000019,42.68,ST,Enabled,Default Pipe,1,250.6
21,PI000020,41.39,ST,Enabled,Default Pipe,1,261.5
22,PI000021,42.74,ST,Enabled,Default Pipe,1,302.6
23,PI000022,46.90,PE,Enabled,Default Pipe,1,15.0
24,PI000023,46.97,PE,Enabled,Default Pipe,1,14.6
25,PI000024,44.95,ST,Enabled,Default Pipe,1,258.3
26,PI000025,47.29,PE,Enabled,Default Pipe,1,7.9
27,PI000026,47.32,PE,Enabled,Default Pipe,1,7.9
28,PI000027,47.46,PE,Enabled,Default Pipe,1,44.6
29,PI000028,24.86,PE,Enabled,Default Pipe,1,1.8
30,PI000029,27.55,ST,Enabled,Default Pipe,1,422.4
31,PI000030,28.49,ST,Enabled,Default Pipe,1,136.0
32,PI000031,28.67,PE,Enabled,Default Pipe,1,111.3
33,PI000032,28.82,ST,Enabled,Default Pipe,1,73.8
34,PI000033,29.86,ST,Enabled,Default Pipe,1,202.3
35,PI000034,30.67,ST,Enabled,Default Pipe,1,164.5
36,PI000035,30.55,ST,Enabled,Default Pipe,1,1.6
37,PI000036,30.54,DI,Enabled,Default Pipe,1,102.8
38,PI000037,30.44,ST,Enabled,Default Pipe,1,272.1
39,PI000038,30.27,ST,Enabled,Default Pipe,1,51.9
40,PI000039,30.11,CI,Enabled,Default Pipe,1,23.8
41,PI000040,47.54,ST,Enabled,Default Pipe,1,138.3
42,PI000041,45.42,PE,Enabled,Default Pipe,1,29.3
43,PI000042,46.72,PE,Enabled,Default Pipe,1,89.3
44,PI000043,46.49,PE,Enabled,Default Pipe,1,24.6
45,PI000044,45.91,PE,Enabled,Default Pipe,1,6.0
46,PI000045,46.55,PE,Enabled,Default Pipe,1,17.9
47,PI000046,46.86,PE,Enabled,Default Pipe,1,21.2
48,PI000047,45.17,PE,Enabled,Default Pipe,1,23.6
49,PI000048,45.17,PE,Enabled,Default Pipe,1,9.4
50,PI000049,45.20,PE,Enabled,Default Pipe,1,18.9
51,PI000050,45.20,PE,Enabled,Default Pipe,1,34.4
52,PI000051,45.21,PE,Enabled,Default Pipe,1,75.4
53,PI000052,45.24,PE,Enabled,Default Pipe,1,21.6
54,PI000053,45.99,PE,Enabled,Default Pipe,1,178.6
55,PI000054,46.59,PE,Enabled,Default Pipe,1,30.3
56,PI000055,46.16,PE,Enabled,Default Pipe,1,39.4
57,PI000056,45.86,PE,Enabled,Default Pipe,1,27.7
58,PI000057,45.91,PE,Enabled,Default Pipe,1,17.6
59,PI000058,46.68,PE,Enabled,Default Pipe,1,20.2
60,PI000059,46.84,PE,Enabled,Default Pipe,1,40.1
61,PI000060,46.81,PE,Enabled,Default Pipe,1,16.6
62,PI000061,46.79,PE,Enabled,Default Pipe,1,29.7
63,PI000062,45.38,PE,Enabled,Default Pipe,1,22.0
64,PI000063,46.93,PE,Enabled,Default Pipe,1,20.7
65,PI000064,47.09,PE,Enabled,Default Pipe,1,49.5
66,PI000065,45.39,PE,Enabled,Default Pipe,1,28.6
67,PI000066,46.83,PE,Enabled,Default Pipe,1,16.8
68,PI000067,47.07,PE,Enabled,Default Pipe,1,34.0
69,PI000068,47.21,PE,Enabled,Default Pipe,1,39.5
70,PI000069,47.61,PE,Enabled,Default Pipe,1,1.5
71,PI000070,45.46,PE,Enabled,Default Pipe,1,8.3
72,PI000071,45.38,PE,Enabled,Default Pipe,1,44.2
73,PI000072,46.92,PE,Enabled,Default Pipe,1,29.3
74,PI000073,47.24,PE,Enabled,Default Pipe,1,46.6
75,PI000074,46.92,PE,Enabled,Default Pipe,1,17.7
76,PI000075,46.90,PE,Enabled,Default Pipe,1,26.7
77,PI000076,46.25,PE,Enabled,Default Pipe,1,102.6
78,PI000077,46.98,PE,Enabled,Default Pipe,1,7.1
79,PI000078,46.94,PE,Enabled,Default Pipe,1,27.0
80,PI000079,47.19,PE,Enabled,Default Pipe,1,10.2
81,PI000080,47.63,PE,Enabled,Default Pipe,1,15.7
82,PI000081,47.59,PE,Enabled,Default Pipe,1,2.4
83,PI000082,47.85,PE,Enabled,Default Pipe,1,15.1
84,PI000083,46.92,PE,Enabled,Default Pipe,1,10.9
85,PI000084,47.47,ST,Enabled,Default Pipe,1,203.2
86,PI000085,47.69,ST,Enabled,Default Pipe,1,26.1
87,PI000086,47.89,PE,Enabled,Default Pipe,1,47.5
88,PI000087,44.37,PE,Enabled,Default Pipe,1,1.4
89,PI000088,44.45,PE,Enabled,Default Pipe,1,7.9
90,PI000089,44.95,PE,Enabled,Default Pipe,1,15.4
91,PI000090,44.14,ST,Enabled,Default Pipe,1,91.5
92,PI000091,43.87,PE,Enabled,Default Pipe,1,68.5
93,PI000092,43.88,PE,Enabled,Default Pipe,1,75.5
94,PI000093,44.43,PE,Enabled,Default Pipe,1,2.6
95,PI000094,44.40,PE,Enabled,Default Pipe,1,12.3
96,PI000095,44.13,PE,Enabled,Default Pipe,1,68.0
97,PI000096,44.71,PE,Enabled,Default Pipe,1,34.8
98,PI000097,44.95,PE,Enabled,Default Pipe,1,6.9
99,PI000098,45.16,PE,Enabled,Default Pipe,1,30.2
100,PI000099,44.95,PE,Enabled,Default Pipe,1,7.4
101,PI000100,43.72,PE,Enabled,Default Pipe,1,32.5
102,PI000101,43.58,PE,Enabled,Default Pipe,1,49.4
103,PI000102,43.72,PE,Enabled,Default Pipe,1,10.3
104,PI000103,43.80,PE,Enabled,Default Pipe,1,24.8
105,PI000104,44.13,PE,Enabled,Default Pipe,1,6.7
106,PI000105,44.01,PE,Enabled,Default Pipe,1,33.4
107,PI000106,44.10,PE,Enabled,Default Pipe,1,47.9
108,PI000107,44.13,PE,Enabled,Default Pipe,1,9.2
109,PI000108,44.08,PE,Enabled,Default Pipe,1,73.9
110,PI000109,43.90,ST,Enabled,Default Pipe,1,206.0
111,PI000110,43.67,ST,Enabled,Default Pipe,1,244.5
112,PI000111,44.23,PE,Enabled,Default Pipe,1,54.9
113,PI000112,37.89,PE,Enabled,Default Pipe,1,174.1
114,PI000113,40.24,ST,Enabled,Default Pipe,1,164.3
115,PI000114,40.23,ST,Enabled,Default Pipe,1,106.7
116,PI000115,39.89,ST,Enabled,Default Pipe,1,158.3
117,PI000116,40.60,ST,Enabled,Default Pipe,1,297.4
118,PI000117,34.77,ST,Enabled,Default Pipe,1,336.6
119,PI000118,26.20,PE,Enabled,Default Pipe,1,1.4
120,PI000119,23.91,ST,Enabled,Default Pipe,1,2.0
121,PI000120,29.12,ST,Enabled,Default Pipe,1,277.3
122,PI000121,26.46,ST,Enabled,Default Pipe,1,34.8
123,PI000122,25.89,ST,Enabled,Default Pipe,1,4.2
124,PI000123,25.87,PE,Enabled,Default Pipe,1,25.7
125,PI000124,25.20,ST,Enabled,Default Pipe,1,122.7
126,PI000125,24.52,PE,Enabled,Default Pipe,1,28.5
127,PI000126,24.31,ST,Enabled,Default Pipe,1,47.5
128,PI000127,23.96,PE,Enabled,Default Pipe,1,91.4
129,PI000128,24.08,ST,Enabled,Default Pipe,1,3.2
130,PI000129,24.07,PE,Enabled,Default Pipe,1,13.9
131,PI000130,23.99,ST,Enabled,Default Pipe,1,43.1
132,PI000131,23.78,PE,Enabled,Default Pipe,1,2.6
133,PI000132,23.78,PE,Enabled,Default Pipe,1,10.4
134,PI000133,37.34,PE,Enabled,Default Pipe,1,116.6
135,PI000134,38.99,PE,Enabled,Default Pipe,1,119.0
136,PI000135,39.83,ST,Enabled,Default Pipe,1,41.0
137,PI000136,40.33,ST,Enabled,Default Pipe,1,491.4
138,PI000137,38.16,PE,Enabled,Default Pipe,1,181.6
139,PI000138,38.67,PE,Enabled,Default Pipe,1,3.9
140,PI000139,38.67,PE,Enabled,Default Pipe,1,4.6
141,PI000140,37.99,PE,Enabled,Default Pipe,1,151.9
142,PI000141,38.73,PE,Enabled,Default Pipe,1,38.2
143,PI000142,39.34,PE,Enabled,Default Pipe,1,28.5
144,PI000143,39.93,PE,Enabled,Default Pipe,1,3.6
145,PI000144,39.85,PE,Enabled,Default Pipe,1,1.9
146,PI000145,39.82,ST,Enabled,Default Pipe,1,217.5
147,PI000146,40.03,DI,Enabled,Default Pipe,1,47.4
148,PI000147,40.10,DI,Enabled,Default Pipe,1,2.7
149,PI000148,40.10,PE,Enabled,Default Pipe,1,9.9
150,PI000149,39.97,PE,Enabled,Default Pipe,1,55.6
151,PI000150,40.10,PE,Enabled,Default Pipe,1,6.3
152,PI000151,40.11,PE,Enabled,Default Pipe,1,2.3
153,PI000152,40.15,PE,Enabled,Default Pipe,1,10.5
154,PI000153,22.11,ST,Enabled,Default Pipe,1,77.8
155,PI000154,23.03,PE,Enabled,Default Pipe,1,2.7
156,PI000155,23.02,ST,Enabled,Default Pipe,1,3.1
157,PI000156,23.02,PE,Enabled,Default Pipe,1,3.3
158,PI000157,23.31,PE,Enabled,Default Pipe,1,92.6
159,PI000158,23.69,PE,Enabled,Default Pipe,1,24.0
160,PI000159,23.45,PE,Enabled,Default Pipe,1,140.1
161,PI000160,21.90,ST,Enabled,Default Pipe,1,197.6
162,PI000161,36.17,PE,Enabled,Default Pipe,1,295.5
163,PI000162,31.41,PE,Enabled,Default Pipe,1,67.1
164,PI000163,31.28,PE,Enabled,Default Pipe,1,53.2
165,PI000164,45.41,SI,Enabled,Default Pipe,1,436.7
166,PI000165,32.00,PE,Enabled,Default Pipe,1,73.9
167,PI000166,41.50,SI,Enabled,Default Pipe,1,250.4
168,PI000167,33.08,PE,Enabled,Default Pipe,1,88.7
169,PI000168,21.86,ST,Enabled,Default Pipe,1,17.5
170,PI000169,69.67,PE,Enabled,Default Pipe,2,96.1
171,PI000170,69.67,PE,Enabled,Default Pipe,2,39.5
172,PI000171,69.83,PE,Enabled,Default Pipe,2,30.2
