SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,29.70,DI,Enabled,Default Pipe,1,108.6
2,PI000003,29.38,DI,Enabled,Default Pipe,1,3.1
3,PI000004,29.72,DI,Enabled,Default Pipe,1,101.7
4,PI000005,29.96,SI,Enabled,Default Pipe,1,20.0
5,PI000006,30.07,SI,Enabled,Default Pipe,1,31.2
6,PI000007,29.45,DI,Enabled,Default Pipe,1,32.6
7,PI000008,29.42,DI,Enabled,Default Pipe,1,48.7
8,PI000009,29.53,DI,Enabled,Default Pipe,1,98.1
9,PI000010,32.35,PE,Enabled,Default Pipe,1,48.1
10,PI000011,29.46,DI,Enabled,Default Pipe,1,105.1
11,PI000012,30.29,SI,Enabled,Default Pipe,1,63.9
12,PI000013,30.48,SI,Enabled,Default Pipe,1,22.6
13,PI000014,30.12,SI,Enabled,Default Pipe,1,59.7
14,PI000016,29.69,PE,Enabled,Default Pipe,1,21.7
15,PI000017,31.99,SI,Enabled,Default Pipe,1,2.2
16,PI000019,32.22,SI,Enabled,Default Pipe,1,7.2
17,PI000020,32.40,PE,Enabled,Default Pipe,1,6.6
18,PI000021,29.49,PE,Enabled,Default Pipe,1,66.4
19,PI000022,29.55,DI,Enabled,Default Pipe,1,16.2
20,PI000023,30.26,SI,Enabled,Default Pipe,1,19.3
21,PI000026,31.70,SI,Enabled,Default Pipe,1,14.2
22,PI000027,30.01,SI,Enabled,Default Pipe,1,52.9
23,PI000028,29.26,DI,Enabled,Default Pipe,1,22.2
24,PI000030,29.82,SI,Enabled,Default Pipe,1,110.5
25,PI000031,32.40,PE,Enabled,Default Pipe,1,15.3
26,PI000033,32.13,SI,Enabled,Default Pipe,1,10.2
27,PI000034,29.64,PE,Enabled,Default Pipe,1,1.9
28,0160343571,29.96,SI,Enabled,Default Pipe,1,94.3
29,0160343337,29.60,DI,Enabled,Default Pipe,1,142.1
30,0160343588,29.36,DI,Enabled,Default Pipe,1,44.4
31,0160343572,29.93,SI,Enabled,Default Pipe,1,26.5
32,0160343659,29.81,DI,Enabled,Default Pipe,1,178.5
33,0160343761,29.28,DI,Enabled,Default Pipe,1,37.8
34,0160343842,29.77,SI,Enabled,Default Pipe,1,174.7
35,0160343762,29.43,SI,Enabled,Default Pipe,1,17.5
36,0160343760,29.35,SI,Enabled,Default Pipe,1,38.2
37,0160343687,29.45,DI,Enabled,Default Pipe,1,39.0
38,0160387916,32.35,PE,Enabled,Default Pipe,1,11.2
39,0160343954,30.62,SI,Enabled,Default Pipe,1,52.1
40,0160343911,30.09,SI,Enabled,Default Pipe,1,16.6
41,0607368069,29.68,PE,Enabled,Default Pipe,1,49.2
42,0160391622,29.16,PE,Enabled,Default Pipe,1,43.3
43,0160344013,29.69,PE,Enabled,Default Pipe,1,59.9
44,PI000045,30.50,SI,Enabled,Default Pipe,1,42.8
45,0160343583,29.25,DI,Enabled,Default Pipe,1,94.5
46,0607162293,29.71,PE,Enabled,Default Pipe,1,107.3
47,0160343578,29.85,DI,Enabled,Default Pipe,1,42.1
48,0160343575,30.02,SI,Enabled,Default Pipe,1,17.1
49,0160343844,30.13,SI,Enabled,Default Pipe,1,82.5
50,0650681163,32.35,PE,Enabled,Default Pipe,1,15.9
51,0650681149,32.40,PE,Enabled,Default Pipe,1,22.6
52,0160343570,29.98,SI,Enabled,Default Pipe,1,117.4
53,0160343581,29.35,DI,Enabled,Default Pipe,1,27.4
54,0160356708,29.10,PE,Enabled,Default Pipe,1,35.3
55,0160343584,32.38,PE,Enabled,Default Pipe,1,69.2
56,0160343955,30.32,SI,Enabled,Default Pipe,1,79.6
57,0160343336,29.70,DI,Enabled,Default Pipe,1,81.0
58,0606702542,29.36,DI,Enabled,Default Pipe,1,2.0
59,0160343576,29.97,SI,Enabled,Default Pipe,1,141.4
60,0160343577,29.38,DI,Enabled,Default Pipe,1,31.1
61,0630508704,31.15,PE,Enabled,Default Pipe,1,122.1
62,0160343569,29.83,DI,Enabled,Default Pipe,1,105.7
