SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,49.62,PE,Enabled,Default Pipe,1,32.4
2,PI000001,49.76,PE,Enabled,Default Pipe,1,7.1
3,PI000002,49.14,PE,Enabled,Default Pipe,1,12.7
4,PI000003,49.15,PE,Enabled,Default Pipe,1,21.4
5,PI000004,49.15,PE,Enabled,Default Pipe,1,13.7
6,PI000005,49.15,PE,Enabled,Default Pipe,1,4.5
7,PI000006,49.62,PE,Enabled,Default Pipe,1,11.7
8,PI000007,49.62,PE,Enabled,Default Pipe,1,3.2
9,PI000008,49.62,PE,Enabled,Default Pipe,1,1.9
10,PI000009,49.60,PE,Enabled,Default Pipe,1,31.7
11,PI000010,49.61,PE,Enabled,Default Pipe,1,12.9
12,PI000011,49.61,PE,Enabled,Default Pipe,1,17.2
13,PI000012,49.61,PE,Enabled,Default Pipe,1,16.4
14,PI000013,49.62,PE,Enabled,Default Pipe,1,6.8
15,PI000014,49.62,PE,Enabled,Default Pipe,1,9.6
16,PI000015,49.61,PE,Enabled,Default Pipe,1,16.6
17,PI000016,49.49,PE,Enabled,Default Pipe,1,49.4
18,PI000017,49.66,PE,Enabled,Default Pipe,1,45.1
19,PI000018,49.73,PE,Enabled,Default Pipe,1,1.8
20,PI000019,49.75,PE,Enabled,Default Pipe,1,6.9
21,PI000020,49.73,PE,Enabled,Default Pipe,1,12.7
22,PI000021,49.20,PE,Enabled,Default Pipe,1,22.1
23,PI000022,49.18,PE,Enabled,Default Pipe,1,25.7
24,PI000023,49.19,PE,Enabled,Default Pipe,1,7.7
25,PI000024,49.22,PE,Enabled,Default Pipe,1,18.4
26,PI000025,49.21,PE,Enabled,Default Pipe,1,41.7
27,PI000026,49.15,PE,Enabled,Default Pipe,1,44.6
28,PI000027,49.18,PE,Enabled,Default Pipe,1,31.8
29,PI000028,49.12,PE,Enabled,Default Pipe,1,8.2
30,PI000029,49.14,PE,Enabled,Default Pipe,1,27.0
31,PI000030,49.12,PE,Enabled,Default Pipe,1,21.1
32,PI000031,49.13,PE,Enabled,Default Pipe,1,11.6
33,PI000032,49.13,PE,Enabled,Default Pipe,1,6.4
34,PI000033,49.20,PE,Enabled,Default Pipe,1,63.8
35,PI000034,49.24,PE,Enabled,Default Pipe,1,47.9
36,PI000035,49.27,PE,Enabled,Default Pipe,1,8.1
37,PI000036,49.38,PE,Enabled,Default Pipe,1,6.1
38,PI000037,49.36,PE,Enabled,Default Pipe,1,24.5
39,PI000038,49.29,PE,Enabled,Default Pipe,1,23.0
40,PI000039,49.27,PE,Enabled,Default Pipe,1,7.3
41,PI000040,49.32,PE,Enabled,Default Pipe,1,34.8
42,PI000041,49.24,PE,Enabled,Default Pipe,1,5.9
43,PI000042,49.25,PE,Enabled,Default Pipe,1,7.7
44,PI000043,49.30,PE,Enabled,Default Pipe,1,74.5
45,PI000044,49.33,PE,Enabled,Default Pipe,1,14.6
46,PI000045,49.26,PE,Enabled,Default Pipe,1,2.8
47,PI000046,49.15,PE,Enabled,Default Pipe,1,13.7
48,PI000047,49.21,PE,Enabled,Default Pipe,1,53.9
49,PI000048,49.16,PE,Enabled,Default Pipe,1,12.7
50,PI000049,49.17,PE,Enabled,Default Pipe,1,0.5
51,PI000050,49.15,PE,Enabled,Default Pipe,1,5.7
52,PI000051,49.15,PE,Enabled,Default Pipe,1,7.8
53,PI000052,49.08,PE,Enabled,Default Pipe,1,3.9
54,PI000053,49.08,PE,Enabled,Default Pipe,1,7.8
55,PI000054,49.12,PE,Enabled,Default Pipe,1,0.5
56,PI000055,49.14,PE,Enabled,Default Pipe,1,20.1
57,PI000056,49.11,PE,Enabled,Default Pipe,1,8.7
58,PI000057,49.09,PE,Enabled,Default Pipe,1,18.9
59,PI000058,49.10,PE,Enabled,Default Pipe,1,6.6
60,PI000059,49.09,PE,Enabled,Default Pipe,1,19.3
61,PI000060,49.08,PE,Enabled,Default Pipe,1,53.3
62,PI000061,49.08,PE,Enabled,Default Pipe,1,13.1
63,PI000062,49.07,PE,Enabled,Default Pipe,1,3.7
64,PI000063,49.10,PE,Enabled,Default Pipe,1,34.0
65,PI000064,49.11,PE,Enabled,Default Pipe,1,34.3
66,PI000065,49.13,PE,Enabled,Default Pipe,1,1.6
67,PI000066,49.10,PE,Enabled,Default Pipe,1,36.3
68,PI000067,49.11,PE,Enabled,Default Pipe,1,65.2
69,PI000068,48.59,PE,Enabled,Default Pipe,1,18.0
70,PI000069,48.57,PE,Enabled,Default Pipe,1,37.3
71,PI000070,48.64,PE,Enabled,Default Pipe,1,36.0
72,PI000071,48.58,PE,Enabled,Default Pipe,1,56.1
73,PI000072,48.62,PE,Enabled,Default Pipe,1,3.8
74,PI000073,48.65,PE,Enabled,Default Pipe,1,9.5
75,PI000074,48.75,PE,Enabled,Default Pipe,1,31.1
76,PI000075,48.67,PE,Enabled,Default Pipe,1,39.3
77,PI000076,48.72,PE,Enabled,Default Pipe,1,30.8
78,PI000077,48.76,PE,Enabled,Default Pipe,1,21.6
79,PI000078,49.84,PE,Enabled,Default Pipe,1,46.1
80,PI000079,49.18,PE,Enabled,Default Pipe,1,10.1
81,PI000080,49.17,PE,Enabled,Default Pipe,1,48.7
82,PI000081,49.08,PE,Enabled,Default Pipe,1,40.7
83,PI000082,49.18,PE,Enabled,Default Pipe,1,31.0
84,PI000083,48.92,PE,Enabled,Default Pipe,1,4.7
85,PI000084,49.96,PE,Enabled,Default Pipe,1,19.3
86,PI000085,49.84,PE,Enabled,Default Pipe,1,17.6
87,PI000086,49.64,PE,Enabled,Default Pipe,1,27.8
88,PI000087,49.76,PE,Enabled,Default Pipe,1,28.2
89,PI000088,49.41,PE,Enabled,Default Pipe,1,37.1
90,PI000089,49.24,PE,Enabled,Default Pipe,1,68.4
91,PI000090,49.28,PE,Enabled,Default Pipe,1,74.6
92,PI000091,49.27,PE,Enabled,Default Pipe,1,8.0
93,PI000092,49.16,PE,Enabled,Default Pipe,1,52.9
94,PI000093,49.16,PE,Enabled,Default Pipe,1,17.3
95,PI000094,49.16,PE,Enabled,Default Pipe,1,15.2
96,PI000095,49.03,PE,Enabled,Default Pipe,1,56.9
97,PI000096,49.01,PE,Enabled,Default Pipe,1,99.7
98,PI000097,48.94,PE,Enabled,Default Pipe,1,33.2
99,PI000098,48.90,PE,Enabled,Default Pipe,1,12.9
100,PI000099,48.88,PE,Enabled,Default Pipe,1,63.9
101,PI000100,48.91,PE,Enabled,Default Pipe,1,27.4
102,PI000101,48.90,PE,Enabled,Default Pipe,1,32.5
103,PI000102,48.83,PE,Enabled,Default Pipe,1,2.9
104,PI000103,48.84,PE,Enabled,Default Pipe,1,10.0
105,PI000104,48.81,PE,Enabled,Default Pipe,1,35.0
106,PI000105,48.83,PE,Enabled,Default Pipe,1,5.2
107,PI000106,48.83,PE,Enabled,Default Pipe,1,2.3
108,PI000107,48.78,PE,Enabled,Default Pipe,1,39.8
109,PI000108,48.92,PE,Enabled,Default Pipe,1,1.4
110,PI000109,48.79,PE,Enabled,Default Pipe,1,14.4
111,PI000110,48.90,PE,Enabled,Default Pipe,1,11.5
112,PI000111,48.90,PE,Enabled,Default Pipe,1,11.3
113,PI000112,48.88,PE,Enabled,Default Pipe,1,13.5
114,PI000113,48.85,PE,Enabled,Default Pipe,1,31.3
115,PI000114,48.74,PE,Enabled,Default Pipe,1,5.4
116,PI000115,48.77,PE,Enabled,Default Pipe,1,21.5
117,PI000116,48.80,PE,Enabled,Default Pipe,1,29.8
118,PI000117,48.84,PE,Enabled,Default Pipe,1,26.0
119,PI000118,49.91,PE,Enabled,Default Pipe,1,48.9
120,PI000119,48.86,PE,Enabled,Default Pipe,1,48.7
121,PI000120,48.68,PE,Enabled,Default Pipe,1,34.0
122,PI000121,48.02,PE,Enabled,Default Pipe,1,7.3
123,PI000122,48.74,PE,Enabled,Default Pipe,1,6.4
124,PI000123,48.53,PE,Enabled,Default Pipe,1,79.9
125,PI000124,48.49,PE,Enabled,Default Pipe,1,16.8
126,PI000125,48.76,PE,Enabled,Default Pipe,1,12.2
127,PI000126,48.81,PE,Enabled,Default Pipe,1,17.7
128,PI000127,48.86,PE,Enabled,Default Pipe,1,31.1
129,PI000128,48.64,PE,Enabled,Default Pipe,1,43.4
130,PI000129,48.03,PE,Enabled,Default Pipe,1,12.8
131,PI000130,48.65,PE,Enabled,Default Pipe,1,61.1
132,PI000131,48.88,PE,Enabled,Default Pipe,1,7.0
133,PI000132,48.84,PE,Enabled,Default Pipe,1,9.4
134,PI000133,48.80,PE,Enabled,Default Pipe,1,6.9
135,PI000134,48.09,PE,Enabled,Default Pipe,1,60.9
136,PI000135,49.09,PE,Enabled,Default Pipe,1,84.7
137,PI000136,49.11,PE,Enabled,Default Pipe,1,43.4
138,PI000137,49.72,PE,Enabled,Default Pipe,1,37.6
139,PI000138,48.87,PE,Enabled,Default Pipe,1,56.4
140,PI000139,48.94,PE,Enabled,Default Pipe,1,6.7
141,PI000140,48.59,PE,Enabled,Default Pipe,1,79.3
142,PI000141,49.81,PE,Enabled,Default Pipe,1,7.8
143,PI000142,49.45,PE,Enabled,Default Pipe,1,102.5
144,PI000143,49.64,PE,Enabled,Default Pipe,1,4.3
145,PI000144,49.50,PE,Enabled,Default Pipe,1,54.7
146,PI000145,48.47,PE,Enabled,Default Pipe,1,37.4
147,PI000146,48.79,PE,Enabled,Default Pipe,1,6.9
148,PI000147,48.55,PE,Enabled,Default Pipe,1,1.4
149,PI000148,48.42,PE,Enabled,Default Pipe,1,74.2
150,PI000149,48.47,PE,Enabled,Default Pipe,1,7.9
151,PI000150,48.74,PE,Enabled,Default Pipe,1,74.8
152,PI000151,48.45,PE,Enabled,Default Pipe,1,23.3
153,PI000152,48.18,PE,Enabled,Default Pipe,1,68.1
154,PI000153,48.89,PE,Enabled,Default Pipe,1,27.4
155,PI000154,48.70,PE,Enabled,Default Pipe,1,9.9
156,PI000155,48.71,PE,Enabled,Default Pipe,1,7.2
157,PI000156,48.69,PE,Enabled,Default Pipe,1,63.5
158,PI000157,48.68,PE,Enabled,Default Pipe,1,24.6
159,PI000158,48.95,PE,Enabled,Default Pipe,1,35.8
160,PI000159,48.71,PE,Enabled,Default Pipe,1,25.2
161,PI000160,48.87,PE,Enabled,Default Pipe,1,48.0
162,PI000161,48.78,PE,Enabled,Default Pipe,1,14.4
163,PI000162,48.82,PE,Enabled,Default Pipe,1,43.1
164,PI000163,48.91,PE,Enabled,Default Pipe,1,56.3
165,PI000164,48.89,PE,Enabled,Default Pipe,1,22.4
166,PI000165,48.89,PE,Enabled,Default Pipe,1,13.5
167,PI000166,48.95,PE,Enabled,Default Pipe,1,7.9
168,PI000167,48.61,PE,Enabled,Default Pipe,1,60.1
169,PI000168,48.62,PE,Enabled,Default Pipe,1,7.3
170,PI000169,48.83,PE,Enabled,Default Pipe,1,15.3
171,PI000170,48.80,PE,Enabled,Default Pipe,1,65.7
172,PI000171,48.60,PE,Enabled,Default Pipe,1,38.0
173,PI000172,48.62,PE,Enabled,Default Pipe,1,24.5
174,PI000173,48.59,PE,Enabled,Default Pipe,1,45.9
175,PI000174,48.73,PE,Enabled,Default Pipe,1,44.0
176,PI000175,48.65,PE,Enabled,Default Pipe,1,28.9
177,PI000176,48.65,PE,Enabled,Default Pipe,1,33.5
178,PI000177,48.62,PE,Enabled,Default Pipe,1,1.7
179,PI000178,48.57,PE,Enabled,Default Pipe,1,14.6
180,PI000179,48.75,PE,Enabled,Default Pipe,1,36.1
181,PI000180,48.71,PE,Enabled,Default Pipe,1,0.6
182,PI000181,48.68,PE,Enabled,Default Pipe,1,24.7
183,PI000182,48.65,PE,Enabled,Default Pipe,1,34.9
184,PI000183,47.96,PE,Enabled,Default Pipe,1,33.6
185,PI000184,47.89,PE,Enabled,Default Pipe,1,23.9
186,PI000185,48.97,PE,Enabled,Default Pipe,1,17.2
187,PI000186,48.95,PE,Enabled,Default Pipe,1,47.2
188,PI000187,48.70,PE,Enabled,Default Pipe,1,67.8
189,PI000188,48.72,PE,Enabled,Default Pipe,1,12.1
190,PI000189,48.72,PE,Enabled,Default Pipe,1,28.6
191,PI000190,48.74,PE,Enabled,Default Pipe,1,18.2
192,PI000191,48.64,PE,Enabled,Default Pipe,1,8.0
193,PI000192,48.36,PE,Enabled,Default Pipe,1,41.0
194,PI000193,48.59,PE,Enabled,Default Pipe,1,11.4
195,PI000194,48.86,PE,Enabled,Default Pipe,1,71.1
196,PI000195,48.84,PE,Enabled,Default Pipe,1,19.6
197,PI000196,48.09,PE,Enabled,Default Pipe,1,7.9
198,PI000197,48.12,PE,Enabled,Default Pipe,1,14.9

Model State: Solved

Generated on 12/03/2015 12:10:25

SynerGEE Gas 4.7.1: ASP
