SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,0115906261,58.09,PE,Enabled,Default Pipe,1,8.4
2,0115902474,58.67,PE,Enabled,Default Pipe,1,38.3
3,0115908634,58.65,PE,Enabled,Default Pipe,1,11.1
4,0115899264,57.75,PE,Enabled,Default Pipe,1,116.4
5,0115902551,57.82,PE,Enabled,Default Pipe,1,2.2
6,0115906794,57.79,PE,Enabled,Default Pipe,1,50.9
7,0115903799,58.64,PE,Enabled,Default Pipe,1,9.9
8,0115903295,57.64,PE,Enabled,Default Pipe,1,50.9
9,0115906285,57.74,PE,Enabled,Default Pipe,1,44.9
10,0115910538,57.59,PE,Enabled,Default Pipe,1,9.6
11,0115906808,57.71,PE,Enabled,Default Pipe,1,16.5
12,0115903301,57.34,PE,Enabled,Default Pipe,1,101.0
13,0115905742,59.31,PE,Enabled,Default Pipe,1,32.9
14,0115903798,58.73,PE,Enabled,Default Pipe,1,33.8
15,0115899251,57.73,PE,Enabled,Default Pipe,1,58.0
16,0115906795,57.83,PE,Enabled,Default Pipe,1,82.1
17,PI0000010000001,58.49,PE,Enabled,Default Pipe,1,43.6
18,0115903800,58.54,PE,Enabled,Default Pipe,1,39.5
19,PI0000020000002,58.19,PE,Enabled,Default Pipe,1,74.8
20,0115903333,58.09,PE,Enabled,Default Pipe,1,39.0
21,0115902554,57.82,PE,Enabled,Default Pipe,1,8.6
22,0115910533,57.56,PE,Enabled,Default Pipe,1,17.4
23,0115908632,58.72,PE,Enabled,Default Pipe,1,26.7
24,0115913106,58.54,PE,Enabled,Default Pipe,1,25.6
25,0115906813,57.87,PE,Enabled,Default Pipe,1,18.9
26,0115903797,58.82,PE,Enabled,Default Pipe,1,69.1
27,0115903316,59.06,PE,Enabled,Default Pipe,1,25.4
28,0115899249,57.88,PE,Enabled,Default Pipe,1,35.3
29,0627729199,58.38,PE,Enabled,Default Pipe,1,26.1
30,0115908364,58.32,PE,Enabled,Default Pipe,1,20.4
31,0115903326,59.14,PE,Enabled,Default Pipe,1,27.0
32,0115913113,58.39,PE,Enabled,Default Pipe,1,38.8
33,0115906267,58.12,PE,Enabled,Default Pipe,1,19.8
34,0115899262,57.82,PE,Enabled,Default Pipe,1,24.1
35,0115903336,57.97,PE,Enabled,Default Pipe,1,51.3
36,0115902545,57.77,PE,Enabled,Default Pipe,1,57.9
37,0115908626,58.15,PE,Enabled,Default Pipe,1,25.3
38,0115910535,57.61,PE,Enabled,Default Pipe,1,53.3
39,0115906812,57.73,PE,Enabled,Default Pipe,1,17.5
40,0115908377,57.79,PE,Enabled,Default Pipe,1,21.7
41,0115903804,58.52,PE,Enabled,Default Pipe,1,11.2
42,PI0000030000003,58.76,PE,Enabled,Default Pipe,1,76.9
43,0115922085,58.48,PE,Enabled,Default Pipe,1,19.2
44,0115902418,58.35,PE,Enabled,Default Pipe,1,14.0
45,PI0000040000004,57.83,PE,Enabled,Default Pipe,1,9.7
46,0115908371,57.89,PE,Enabled,Default Pipe,1,92.1
47,0115903323,58.70,PE,Enabled,Default Pipe,1,24.5
48,0115902411,58.45,PE,Enabled,Default Pipe,1,79.1
49,0115902548,57.81,PE,Enabled,Default Pipe,1,56.3
50,PI0000050000005,57.82,PE,Enabled,Default Pipe,1,5.8
51,0115902550,57.82,PE,Enabled,Default Pipe,1,57.0
52,0115906266,57.81,PE,Enabled,Default Pipe,1,14.1
53,0115902552,57.67,PE,Enabled,Default Pipe,1,24.1
54,PI0000060000006,58.48,PE,Enabled,Default Pipe,1,33.5
55,0115902419,58.42,PE,Enabled,Default Pipe,1,17.5
56,0115903298,57.99,PE,Enabled,Default Pipe,1,4.4
57,0115902549,57.84,PE,Enabled,Default Pipe,1,37.0
58,0115906290,57.95,PE,Enabled,Default Pipe,1,38.9
59,PI0000070000007,59.12,PE,Enabled,Default Pipe,1,47.2
60,0115899250,58.99,PE,Enabled,Default Pipe,1,31.7
61,0115902544,57.71,PE,Enabled,Default Pipe,1,54.2
62,0115906268,58.17,PE,Enabled,Default Pipe,1,86.5
63,0115902416,58.97,PE,Enabled,Default Pipe,1,44.3
64,0115903294,57.80,PE,Enabled,Default Pipe,1,31.7
