SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,36.30,DI,Enabled,Default Pipe,1,30.3
2,PI000002,30.12,PE,Enabled,Default Pipe,1,6.8
3,PI000003,27.56,CI,Enabled,Replacement Pipe,1,74.5
4,PI000004,24.68,CI,Enabled,Default Pipe,1,10.2
5,PI000005,30.87,PE,Enabled,Default Pipe,1,86.9
6,PI000006,24.82,CI,Enabled,Default Pipe,1,10.6
7,PI000007,35.90,DI,Enabled,Default Pipe,1,9.2
8,PI000008,33.09,PE,Enabled,Default Pipe,1,2.2
9,PI000009,29.17,DI,Enabled,Default Pipe,1,12.4
10,PI000010,35.35,DI,Enabled,Default Pipe,1,4.4
11,PI000011,30.91,DI,Enabled,Default Pipe,1,16.9
12,PI000012,31.53,PE,Enabled,Default Pipe,1,6.8
13,PI000013,30.17,PE,Enabled,Default Pipe,1,8.8
14,PI000014,30.21,PE,Enabled,Default Pipe,1,9.1
15,PI000015,34.82,DI,Enabled,Default Pipe,1,23.2
16,PI000016,30.35,PE,Enabled,Default Pipe,1,21.9
17,PI000019,27.68,PE,Enabled,Default Pipe,1,315.2
18,PI000020,30.57,PE,Enabled,Reinforcement Pipe,1,55.5
19,PI000021,30.38,SI,Enabled,Default Pipe,1,28.5
20,PI000022,35.18,PE,Enabled,Default Pipe,1,8.4
21,PI000023,27.55,PE,Enabled,Default Pipe,1,49.3
22,PI000024,25.15,PE,Enabled,Default Pipe,1,8.8
23,PI000025,26.95,DI,Enabled,Default Pipe,1,153.8
24,PI000026,27.01,DI,Enabled,Default Pipe,1,155.0
25,PI000027,27.02,PE,Enabled,Default Pipe,1,5.2
26,PI000028,27.22,CI,Enabled,Default Pipe,1,9.8
27,PI000029,27.82,SI,Enabled,Default Pipe,1,20.3
28,PI000030,27.25,CI,Enabled,Default Pipe,1,11.6
29,PI000031,27.33,CI,Enabled,Default Pipe,1,11.3
30,PI000032,29.99,PE,Enabled,Replacement Pipe,1,33.4
31,PI000033,29.91,PE,Enabled,Replacement Pipe,1,102.3
32,PI000034,27.22,CI,Enabled,Default Pipe,1,4.3
33,PI000035,30.29,PE,Enabled,Default Pipe,1,17.3
34,PI000036,34.07,PE,Enabled,Default Pipe,1,7.2
35,PI000037,39.42,PE,Enabled,Replacement Pipe,1,57.0
36,PI000038,30.42,PE,Enabled,Replacement Pipe,1,74.7
37,PI000039,35.07,PE,Enabled,Default Pipe,1,18.5
38,PI000040,34.12,PE,Enabled,Default Pipe,1,13.0
39,PI000041,33.85,PE,Enabled,Default Pipe,1,76.1
40,PI000043,30.36,SI,Enabled,Default Pipe,1,75.8
41,PI000044,38.84,PE,Enabled,Replacement Pipe,1,11.2
42,PI000045,32.95,PE,Enabled,Default Pipe,1,73.7
43,PI000046,40.74,PE,Enabled,Default Pipe,1,8.3
44,PI000047,27.78,PE,Enabled,Default Pipe,1,9.6
45,PI000048,38.52,PE,Enabled,Replacement Pipe,1,69.2
46,PI000049,27.28,CI,Enabled,Default Pipe,1,93.0
47,PI000050,30.79,PE,Enabled,Default Pipe,1,42.9
48,PI000051,27.66,PE,Enabled,Default Pipe,1,29.4
49,PI000052,28.82,PE,Enabled,Default Pipe,1,158.4
50,PI000053,27.54,PE,Enabled,Replacement Pipe,1,11.6
51,PI000054,26.85,DI,Enabled,Default Pipe,1,4.5
52,PI000055,26.98,DI,Enabled,Default Pipe,1,220.2
53,PI000056,26.90,DI,Enabled,Default Pipe,1,67.6
54,PI000057,26.83,DI,Enabled,Default Pipe,1,31.7
55,PI000058,26.83,DI,Enabled,Default Pipe,1,35.5
56,PI000059,30.22,SI,Enabled,Default Pipe,1,73.9
57,PI000060,26.83,DI,Enabled,Default Pipe,1,30.7
58,PI000061,26.92,DI,Enabled,Default Pipe,1,9.3
59,PI000062,26.82,DI,Enabled,Default Pipe,1,74.8
60,PI000063,26.82,DI,Enabled,Default Pipe,1,67.9
61,PI000064,26.88,DI,Enabled,Default Pipe,1,59.7
62,PI000065,27.22,CI,Enabled,Default Pipe,1,71.9
63,PI000066,27.23,CI,Enabled,Default Pipe,1,72.4
64,PI000067,27.22,PE,Enabled,Default Pipe,1,102.6
65,PI000068,26.83,DI,Enabled,Default Pipe,1,14.3
66,PI000069,26.89,DI,Enabled,Default Pipe,1,23.7
67,PI000070,26.87,DI,Enabled,Default Pipe,1,37.3
68,PI000071,26.84,DI,Enabled,Default Pipe,1,47.9
69,PI000072,26.88,DI,Enabled,Default Pipe,1,54.3
70,PI000073,26.93,DI,Enabled,Default Pipe,1,6.3
71,PI000074,26.83,DI,Enabled,Default Pipe,1,86.2
72,PI000075,26.83,DI,Enabled,Default Pipe,1,6.3
73,PI000076,26.82,DI,Enabled,Default Pipe,1,7.7
74,PI000077,30.31,DI,Enabled,Default Pipe,1,72.3
75,PI000078,26.83,DI,Enabled,Default Pipe,1,4.2
76,PI000079,26.83,DI,Enabled,Default Pipe,1,16.3
77,PI000080,26.82,DI,Enabled,Default Pipe,1,29.8
78,PI000081,26.83,DI,Enabled,Default Pipe,1,73.8
79,PI000082,21.96,DI,Enabled,Default Pipe,2,70.6
80,PI000083,21.77,DI,Enabled,Default Pipe,2,5.6
81,PI000084,37.51,SI,Enabled,Default Pipe,1,1.1
82,PI000085,37.28,PE,Enabled,Default Pipe,1,7.8
83,PI000086,34.68,PE,Enabled,Replacement Pipe,1,4.0
84,PI000087,35.02,PE,Enabled,Replacement Pipe,1,36.9
85,PI000088,37.11,SI,Enabled,Default Pipe,1,28.8
86,PI000089,37.13,SI,Enabled,Default Pipe,1,99.4
87,PI000090,35.43,PE,Enabled,Default Pipe,1,192.9
88,PI000091,31.31,PE,Enabled,Default Pipe,1,2.1
89,PI000092,30.29,SI,Enabled,Default Pipe,1,38.7
90,PI000093,28.33,CI,Enabled,Default Pipe,1,23.4
91,PI000094,35.40,DI,Enabled,Default Pipe,1,43.9
92,PI000095,36.23,DI,Enabled,Default Pipe,1,51.7
93,PI000096,29.74,DI,Enabled,Default Pipe,1,98.3
94,PI000097,29.30,PE,Enabled,Default Pipe,1,88.3
95,PI000098,28.52,PE,Enabled,Default Pipe,1,8.8
96,PI000099,34.15,DI,Enabled,Default Pipe,1,116.6
97,PI000100,33.09,PE,Enabled,Default Pipe,1,2.6
98,PI000101,32.75,PE,Enabled,Default Pipe,1,28.7
99,PI000102,27.18,DI,Enabled,Default Pipe,1,196.0
100,PI000103,38.79,PE,Enabled,Replacement Pipe,1,49.0
101,PI000104,40.57,PE,Enabled,Replacement Pipe,1,1.4
102,PI000106,37.93,PE,Enabled,Default Pipe,1,25.0
103,PI000107,28.68,PE,Enabled,Default Pipe,1,128.4
