SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,22.89,PE,Enabled,Default Pipe,1,11.1
2,PI000002,22.67,PE,Enabled,Replacement Pipe,1,72.6
3,PI000003,22.51,PE,Enabled,Replacement Pipe,1,55.1
4,PI000004,24.78,PE,Enabled,Default Pipe,1,1.5
5,PI000005,24.77,PE,Enabled,Default Pipe,1,66.8
6,PI000006,27.97,PE,Enabled,Default Pipe,1,50.0
7,PI000007,24.23,PE,Enabled,Default Pipe,1,84.1
8,PI000008,22.49,PE,Enabled,Default Pipe,1,31.9
9,PI000009,24.48,PE,Enabled,Default Pipe,1,29.5
10,PI000010,31.81,PE,Enabled,Default Pipe,1,5.4
11,PI000011,24.80,ST,Enabled,Default Pipe,1,68.1
12,PI000013,24.70,PE,Enabled,Default Pipe,1,17.9
13,PI000014,23.36,PE,Enabled,Replacement Pipe,1,60.7
14,PI000015,22.49,PE,Enabled,Default Pipe,1,119.4
15,PI000016,22.72,PE,Enabled,Default Pipe,1,30.8
16,PI000017,22.90,PE,Enabled,Replacement Pipe,1,50.7
17,PI000018,24.69,PE,Enabled,Default Pipe,1,36.7
18,PI000019,23.47,PE,Enabled,Default Pipe,1,215.6
19,PI000020,29.67,CI,Enabled,Default Pipe,1,1.9
20,PI000021,29.56,PE,Enabled,Default Pipe,1,87.6
21,PI000022,32.49,CI,Enabled,Default Pipe,1,161.6
22,PI000023,31.26,DI,Enabled,Default Pipe,1,36.6
23,PI000024,34.08,CI,Enabled,Default Pipe,1,8.4
24,PI000027,23.35,PE,Enabled,Default Pipe,1,5.8
25,PI000028,22.45,PE,Enabled,Replacement Pipe,1,20.3
26,PI000029,23.36,PE,Enabled,Default Pipe,1,29.8
27,PI000030,22.47,PE,Enabled,Replacement Pipe,1,46.2
28,PI000031,22.49,PE,Enabled,Replacement Pipe,1,38.6
29,PI000033,36.10,PE,Enabled,Default Pipe,1,1.9
30,PI000034,35.23,PE,Enabled,Default Pipe,1,1.4
31,PI000035,31.82,PE,Enabled,Default Pipe,1,70.7
32,PI000036,32.91,PE,Enabled,Default Pipe,1,157.3
33,PI000037,34.29,PE,Enabled,Default Pipe,1,15.5
34,PI000038,24.62,PE,Enabled,Default Pipe,1,4.6
35,PI000039,24.47,PE,Enabled,Default Pipe,1,82.4
36,PI000040,24.93,PE,Enabled,Default Pipe,1,7.5
37,PI000041,24.64,PE,Enabled,Default Pipe,1,42.7
38,PI000042,25.05,PE,Enabled,Default Pipe,1,27.5
39,PI000043,25.51,CI,Enabled,Default Pipe,1,13.9
40,PI000044,24.60,PE,Enabled,Default Pipe,1,53.5
41,PI000045,24.64,PE,Enabled,Default Pipe,1,6.1
42,PI000046,24.61,PE,Enabled,Default Pipe,1,22.7
43,PI000047,24.66,PE,Enabled,Default Pipe,1,136.7
44,PI000048,24.17,PE,Enabled,Default Pipe,1,27.6
45,PI000049,22.43,PE,Enabled,Replacement Pipe,1,105.6
46,PI000050,24.90,PE,Enabled,Default Pipe,1,88.5
47,PI000051,22.96,PE,Enabled,Default Pipe,1,14.5
48,PI000052,24.66,PE,Enabled,Default Pipe,1,7.4
49,PI000053,22.96,PE,Enabled,Default Pipe,1,43.3
50,PI000054,24.63,PE,Enabled,Default Pipe,1,66.2
51,PI000055,24.78,PE,Enabled,Default Pipe,1,14.2
52,PI000056,32.61,CI,Enabled,Default Pipe,1,5.3
53,PI000057,27.26,PE,Enabled,Default Pipe,1,20.6
54,PI000058,25.94,PE,Enabled,Default Pipe,1,127.6
55,PI000059,22.82,PE,Enabled,Default Pipe,1,7.9
56,PI000060,24.01,PE,Enabled,Default Pipe,1,30.8
57,PI000061,22.58,PE,Enabled,Default Pipe,1,2.5
58,PI000062,23.12,PE,Enabled,Default Pipe,1,26.5
59,PI000063,24.33,PE,Enabled,Default Pipe,1,34.8
60,PI000064,23.95,PE,Enabled,Default Pipe,1,64.5
61,PI000065,24.49,PE,Enabled,Default Pipe,1,0.1
62,PI000066,24.48,PE,Enabled,Default Pipe,1,1.0
63,PI000067,22.54,PE,Enabled,Default Pipe,1,3.7
64,PI000068,22.39,PE,Enabled,Default Pipe,1,49.9
65,PI000069,30.88,PE,Enabled,Default Pipe,1,263.1
66,PI000070,30.97,PE,Enabled,Default Pipe,1,1.0
67,PI000071,25.00,PE,Enabled,Default Pipe,1,11.0
68,PI000072,22.72,PE,Enabled,Default Pipe,1,25.9
69,PI000073,25.02,PE,Enabled,Default Pipe,1,14.8
70,PI000074,22.22,PE,Enabled,Default Pipe,1,6.0
71,PI000075,24.97,PE,Enabled,Default Pipe,1,1.5
72,PI000076,22.23,PE,Enabled,Default Pipe,1,9.3
73,PI000077,34.61,PE,Enabled,Default Pipe,1,1.6
74,PI000078,22.65,PE,Enabled,Replacement Pipe,1,32.8
75,PI000079,23.36,PE,Enabled,Replacement Pipe,1,7.7
76,PI000080,24.35,PE,Enabled,Default Pipe,1,54.5
77,PI000081,24.35,PE,Enabled,Default Pipe,1,1.8
78,PI000082,24.67,PE,Enabled,Default Pipe,1,1.3
79,PI000083,24.60,PE,Enabled,Default Pipe,1,1.5
80,PI000084,24.79,PE,Enabled,Default Pipe,1,4.1
81,PI000085,24.65,PE,Enabled,Default Pipe,1,2.5
82,PI000086,25.10,CI,Enabled,Default Pipe,1,307.3
83,PI000087,33.19,CI,Enabled,Default Pipe,1,193.4
84,PI000088,31.95,PE,Enabled,Default Pipe,1,58.8
85,PI000089,34.19,PE,Enabled,Default Pipe,1,75.9
86,PI000090,25.33,CI,Enabled,Default Pipe,1,328.9
87,PI000091,33.59,CI,Enabled,Default Pipe,1,273.0
88,PI000092,24.80,PE,Enabled,Default Pipe,1,71.3
89,0115478838,23.83,PE,Enabled,Default Pipe,1,70.7
90,0115478802,23.27,PE,Enabled,Default Pipe,1,7.4
91,0115917468,24.49,PE,Enabled,Default Pipe,1,53.5
92,0115478827,23.41,PE,Enabled,Default Pipe,1,66.1
93,0115479008,22.29,PE,Enabled,Replacement Pipe,1,79.6
94,0115844945,23.73,PE,Enabled,Default Pipe,1,60.2
95,0115479067,24.55,PE,Enabled,Default Pipe,1,73.5
96,0115478801,22.91,PE,Enabled,Default Pipe,1,10.0
97,0115917482,24.08,PE,Enabled,Default Pipe,1,72.1
98,0115908110,31.36,PE,Enabled,Default Pipe,1,6.8
99,0115478634,22.30,PE,Enabled,Replacement Pipe,1,103.5
100,0115478815,23.77,PE,Enabled,Default Pipe,1,68.0
101,0115479045,24.74,ST,Enabled,Default Pipe,1,13.7
102,0115478810,22.48,PE,Enabled,Default Pipe,1,54.1
103,0115479016,24.77,PE,Enabled,Default Pipe,1,123.7
104,0600953526,22.40,PE,Enabled,Default Pipe,1,23.1
105,0115479007,22.52,PE,Enabled,Replacement Pipe,1,9.6
106,0115478808,22.95,PE,Enabled,Default Pipe,1,43.1
107,0115478666,24.57,PE,Enabled,Default Pipe,1,81.1
108,0115478627,23.19,PE,Enabled,Replacement Pipe,1,60.7
109,0115908111,31.33,PE,Enabled,Default Pipe,1,73.3
110,0115478512,27.45,ST,Enabled,Default Pipe,1,43.3
111,0115478744,29.89,CI,Enabled,Default Pipe,1,121.9
112,0115478795,23.76,PE,Enabled,Replacement Pipe,1,43.5
113,0115908109,31.48,PE,Enabled,Default Pipe,1,47.4
114,0115478637,22.54,PE,Enabled,Replacement Pipe,1,15.6
115,0115478800,23.05,PE,Enabled,Default Pipe,1,30.6
116,0115478527,26.35,PE,Enabled,Default Pipe,1,77.4
117,0115478787,24.34,PE,Enabled,Default Pipe,1,27.1
118,0115479006,22.77,PE,Enabled,Replacement Pipe,1,4.7
119,0115478816,23.76,PE,Enabled,Default Pipe,1,66.4
120,0115478687,24.73,PE,Enabled,Default Pipe,1,30.0
121,0115479009,29.74,CI,Enabled,Default Pipe,1,86.9
122,0115479032,24.62,PE,Enabled,Default Pipe,1,62.7
123,0115478636,22.57,PE,Enabled,Replacement Pipe,1,110.0
124,0115478534,29.71,PE,Enabled,Default Pipe,1,119.8
125,0115900963,22.70,PE,Enabled,Default Pipe,1,129.4
126,0115917469,24.12,PE,Enabled,Default Pipe,1,4.8
127,0115478809,22.97,ST,Enabled,Default Pipe,1,13.0
128,0115478847,24.80,PE,Enabled,Default Pipe,1,8.8
129,0115478612,28.47,PE,Enabled,Default Pipe,1,23.1
130,0115917473,24.09,PE,Enabled,Default Pipe,1,67.1
131,0115478791,23.90,PE,Enabled,Default Pipe,1,19.8
132,0115478798,23.58,PE,Enabled,Default Pipe,1,37.5
133,0622405414,24.72,PE,Enabled,Default Pipe,1,1.1
134,0115478905,22.52,PE,Enabled,Replacement Pipe,1,91.6
135,0115478781,24.78,PE,Enabled,Default Pipe,1,2.3
136,0115478811,22.47,PE,Enabled,Default Pipe,1,10.9
137,0115900967,24.33,PE,Enabled,Default Pipe,1,28.0
138,0115478814,22.47,PE,Enabled,Default Pipe,1,8.4
139,0115478733,28.56,CI,Enabled,Default Pipe,1,139.2
140,0115478730,26.71,CI,Enabled,Default Pipe,1,66.5
141,0115478804,22.92,PE,Enabled,Default Pipe,1,3.7
142,0115478613,28.42,PE,Enabled,Default Pipe,1,25.7
143,0115478756,25.28,PE,Enabled,Default Pipe,1,84.5
144,0115478617,31.59,DI,Enabled,Default Pipe,1,3.3
145,0115478799,23.24,PE,Enabled,Default Pipe,1,40.9
146,0115921801,24.54,PE,Enabled,Default Pipe,1,58.3
147,0115478813,22.64,PE,Enabled,Default Pipe,1,75.4
148,0115478630,23.51,PE,Enabled,Replacement Pipe,1,45.1
149,0115921802,24.33,PE,Enabled,Default Pipe,1,39.8
150,0115478614,28.37,PE,Enabled,Default Pipe,1,24.8
151,0115478812,22.82,PE,Enabled,Default Pipe,1,30.3
152,0115478803,22.89,PE,Enabled,Default Pipe,1,58.2
153,0115478726,26.04,CI,Enabled,Default Pipe,1,45.2
154,0115478632,23.36,PE,Enabled,Replacement Pipe,1,20.2
155,0607241812,24.66,PE,Enabled,Default Pipe,1,2.2
156,0115478631,23.36,PE,Enabled,Replacement Pipe,1,1.0
157,0607241810,22.40,PE,Enabled,Default Pipe,1,4.1
158,0607458702,22.52,PE,Enabled,Default Pipe,1,2.0
159,0622405413,24.72,PE,Enabled,Default Pipe,1,4.6
160,0607241809,22.58,PE,Enabled,Default Pipe,1,1.7
161,0115478750,33.18,CI,Enabled,Default Pipe,1,1.8
162,0115479014,29.61,PE,Enabled,Default Pipe,1,54.4
163,0115478400,29.54,PE,Enabled,Default Pipe,1,5.6
164,0115478432,29.56,PE,Enabled,Default Pipe,1,61.9
165,0115478393,29.44,PE,Enabled,Default Pipe,1,46.0
166,0115478389,29.53,PE,Enabled,Default Pipe,1,45.3
167,0115478741,29.97,CI,Enabled,Default Pipe,1,10.6
168,0115478433,29.53,PE,Enabled,Default Pipe,1,33.4
169,0115478410,29.47,PE,Enabled,Default Pipe,1,32.3
170,0115478755,35.90,CI,Enabled,Default Pipe,1,3.9
171,0607458700,31.81,CI,Enabled,Default Pipe,1,2.5
172,0115478659,23.96,PE,Enabled,Default Pipe,1,68.6
173,0115851116,22.41,PE,Enabled,Default Pipe,1,17.3
174,0115478915,22.44,PE,Enabled,Replacement Pipe,1,17.3
175,0115478918,22.47,PE,Enabled,Replacement Pipe,1,26.9
176,0115478640,23.43,PE,Enabled,Default Pipe,1,2.4
177,0115478913,22.45,PE,Enabled,Replacement Pipe,1,32.8
178,0115851111,22.37,ST,Enabled,Default Pipe,1,13.8
179,0115478919,22.54,PE,Enabled,Default Pipe,1,4.7
180,0115478762,27.32,PE,Enabled,Default Pipe,1,251.3
181,0115478643,23.24,PE,Enabled,Default Pipe,1,65.3
182,0115479048,24.93,PE,Enabled,Default Pipe,1,60.0
183,0115478877,27.98,PE,Enabled,Default Pipe,1,101.6
184,0115478665,22.79,PE,Enabled,Default Pipe,1,77.7
185,0115478766,30.00,PE,Enabled,Default Pipe,1,3.8
