SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI001040,31.06,PE,Enabled,Default Pipe,2,2.5
2,PI001041,28.45,PE,Enabled,Default Pipe,2,26.9
3,PI001042,23.34,PE,Enabled,Default Pipe,2,82.9
4,PI001043,30.66,PE,Enabled,Default Pipe,2,313.0
5,PI001044,30.70,PE,Enabled,Default Pipe,2,53.5
6,PI001045,29.57,PE,Enabled,Replacement Pipe,1,104.7
7,PI001046,23.68,PE,Enabled,Default Pipe,1,38.7
8,PI001047,23.61,PE,Enabled,Replacement Pipe,1,35.2
9,PI001048,24.11,PE,Enabled,Replacement Pipe,1,291.1
10,PI001049,30.61,CI,Enabled,Default Pipe,1,97.0
11,PI001050,24.40,CI,Enabled,Default Pipe,1,134.1
12,PI001051,24.06,CI,Enabled,Default Pipe,1,73.4
13,PI001052,23.55,SI,Enabled,Default Pipe,1,55.7
14,PI001053,23.57,SI,Enabled,Default Pipe,1,71.5
15,PI001054,25.07,SI,Enabled,Default Pipe,1,20.8
16,PI001055,24.89,CI,Enabled,Default Pipe,1,100.0
17,PI001056,23.57,SI,Enabled,Default Pipe,1,9.6
18,PI001057,25.20,CI,Enabled,Default Pipe,1,9.5
19,PI001058,23.74,CI,Enabled,Default Pipe,1,20.1
20,PI001059,23.65,PE,Enabled,Default Pipe,1,63.0
21,PI001060,25.35,PE,Enabled,Default Pipe,1,1.0
22,PI001061,25.92,CI,Enabled,Default Pipe,1,140.7
23,PI001062,23.55,SI,Enabled,Default Pipe,1,8.6
24,PI001063,25.26,PE,Enabled,Default Pipe,1,145.7
25,PI001064,24.17,SI,Enabled,Default Pipe,1,61.9
26,PI001065,28.57,CI,Enabled,Default Pipe,1,9.8
27,PI001066,24.19,PE,Enabled,Default Pipe,1,11.1
28,PI001067,28.96,CI,Enabled,Default Pipe,1,16.7
29,PI001068,29.27,CI,Enabled,Default Pipe,1,10.1
30,PI001069,27.47,CI,Enabled,Default Pipe,1,13.6
31,PI001071,27.79,CI,Enabled,Default Pipe,1,169.6
32,PI001072,24.07,PE,Enabled,Default Pipe,1,81.1
33,PI001073,24.25,PE,Enabled,Default Pipe,1,40.8
34,PI001074,24.16,PE,Enabled,Default Pipe,1,3.5
35,PI001075,27.34,CI,Enabled,Default Pipe,1,168.5
36,PI001076,23.31,CI,Enabled,Default Pipe,1,58.6
37,PI001077,23.30,CI,Enabled,Default Pipe,1,74.0
38,PI001078,22.93,PE,Enabled,Default Pipe,1,54.0
39,PI001079,23.29,ST,Enabled,Default Pipe,1,150.1
40,PI001080,26.40,SI,Enabled,Default Pipe,1,108.0
41,PI001081,25.10,CI,Enabled,Default Pipe,1,40.3
42,PI001082,27.27,PE,Enabled,Default Pipe,1,2.4
43,PI001083,26.47,CI,Enabled,Default Pipe,1,42.1
44,PI001084,26.33,SI,Enabled,Default Pipe,1,13.6
45,PI001085,26.06,PE,Enabled,Default Pipe,1,121.3
46,PI001086,27.21,SI,Enabled,Default Pipe,1,30.7
47,PI001087,26.84,SI,Enabled,Default Pipe,1,65.3
48,PI001088,26.82,PE,Enabled,Default Pipe,1,40.8
49,PI001089,28.21,CI,Enabled,Default Pipe,1,145.2
50,PI001090,27.04,SI,Enabled,Default Pipe,1,9.2
51,PI001091,26.58,SI,Enabled,Default Pipe,1,2.0
52,PI001092,26.53,PE,Enabled,Default Pipe,1,16.9
53,PI001093,30.62,CI,Enabled,Default Pipe,1,113.7
54,PI001094,27.36,PE,Enabled,Default Pipe,1,7.5
55,PI001095,29.05,PE,Enabled,Default Pipe,1,1.7
56,PI001096,27.65,CI,Enabled,Default Pipe,1,53.0
57,PI001097,28.39,CI,Enabled,Default Pipe,1,97.7
58,PI001098,27.78,CI,Enabled,Default Pipe,1,3.0
59,PI001099,27.43,PE,Enabled,Default Pipe,1,59.8
60,PI001100,27.02,PE,Enabled,Default Pipe,1,2.5
61,PI001101,31.24,SI,Enabled,Default Pipe,1,29.5
62,PI001102,27.27,CI,Enabled,Default Pipe,1,188.4
63,PI001103,29.09,PE,Enabled,Default Pipe,1,8.5
