SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,21.63,DI,Enabled,Default Pipe,1,106.6
2,PI000001,21.65,DI,Enabled,Default Pipe,1,159.2
3,PI000002,21.66,DI,Enabled,Default Pipe,1,7.5
4,PI000003,21.66,DI,Enabled,Default Pipe,1,113.2
5,PI000004,21.64,DI,Enabled,Default Pipe,1,19.0
6,PI000005,21.66,SI,Enabled,Default Pipe,1,6.3
7,PI000006,21.65,SI,Enabled,Default Pipe,1,65.9
8,PI000007,21.93,DI,Enabled,Default Pipe,1,46.7
9,PI000008,21.85,DI,Enabled,Default Pipe,1,1.1
10,PI000009,21.66,DI,Enabled,Default Pipe,1,9.8
11,PI000010,21.66,DI,Enabled,Default Pipe,1,42.2
12,PI000011,21.64,DI,Enabled,Default Pipe,1,100.7
13,PI000012,21.65,DI,Enabled,Default Pipe,1,8.6
14,PI000013,21.68,DI,Enabled,Default Pipe,1,6.8
15,PI000014,21.66,DI,Enabled,Default Pipe,1,35.6
16,PI000015,21.63,DI,Enabled,Default Pipe,1,188.8
17,PI000016,21.68,DI,Enabled,Default Pipe,1,33.7
18,PI000017,21.64,DI,Enabled,Default Pipe,1,17.2
19,PI000018,21.65,DI,Enabled,Default Pipe,1,18.1
20,PI000019,21.60,DI,Enabled,Default Pipe,1,14.0
21,PI000020,21.60,DI,Enabled,Default Pipe,1,31.8
22,PI000021,21.66,DI,Enabled,Default Pipe,1,67.8
23,PI000022,21.71,DI,Enabled,Default Pipe,1,110.2
24,PI000023,21.71,DI,Enabled,Default Pipe,1,81.8
25,PI000024,21.80,DI,Enabled,Default Pipe,1,74.0
26,PI000025,21.76,DI,Enabled,Default Pipe,1,75.1
27,PI000026,21.65,DI,Enabled,Default Pipe,1,10.3
28,PI000027,21.65,DI,Enabled,Default Pipe,1,7.9
29,PI000028,21.65,DI,Enabled,Default Pipe,1,30.3
30,PI000029,21.63,DI,Enabled,Default Pipe,1,65.7
31,PI000030,21.60,DI,Enabled,Default Pipe,1,8.1
32,PI000031,21.60,DI,Enabled,Default Pipe,1,25.3
33,PI000032,21.60,PE,Enabled,Default Pipe,1,150.4
34,PI000033,21.62,DI,Enabled,Default Pipe,1,278.3
35,PI000034,21.65,SI,Enabled,Default Pipe,1,230.3

Model State: Solved

Generated on 12/03/2015 12:57:35

SynerGEE Gas 4.7.1: ASP
