SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,26.40,CI,Enabled,Default Pipe,1,2.5
2,PI000002,23.35,PE,Enabled,Replacement Pipe,1,6.9
3,PI000003,24.32,PE,Enabled,Default Pipe,1,103.2
4,PI000004,23.33,PE,Enabled,Replacement Pipe,1,69.3
5,PI000005,25.20,PE,Enabled,Replacement Pipe,1,88.1
6,PI000006,25.57,PE,Enabled,Default Pipe,1,9.1
7,PI000007,22.26,SI,Enabled,Default Pipe,1,18.1
8,PI000008,22.26,SI,Enabled,Default Pipe,1,19.1
9,PI000009,26.63,PE,Enabled,Default Pipe,1,7.5
10,PI000010,22.32,SI,Enabled,Default Pipe,1,87.1
11,PI000011,22.20,SI,Enabled,Default Pipe,1,23.0
12,PI000013,26.63,DI,Enabled,Default Pipe,1,7.9
13,PI000014,22.20,SI,Enabled,Default Pipe,1,21.8
14,PI000015,25.45,PE,Enabled,Default Pipe,1,12.4
15,PI000016,22.18,SI,Enabled,Default Pipe,1,47.8
16,PI000017,23.57,PE,Enabled,Default Pipe,1,33.0
17,PI000018,22.99,PE,Enabled,Default Pipe,1,144.4
18,PI000019,26.59,DI,Enabled,Default Pipe,1,51.9
19,PI000020,26.57,DI,Enabled,Default Pipe,1,2.3
20,PI000021,22.94,SI,Enabled,Default Pipe,1,31.3
21,PI000022,26.58,DI,Enabled,Default Pipe,1,9.6
22,PI000023,26.54,PE,Enabled,Default Pipe,1,41.5
23,PI000024,26.49,PE,Enabled,Default Pipe,1,24.8
24,PI000025,26.57,DI,Enabled,Default Pipe,1,72.5
25,PI000026,23.15,CI,Enabled,Default Pipe,1,73.9
26,PI000027,26.57,PE,Enabled,Default Pipe,1,99.2
27,PI000028,22.91,PE,Enabled,Default Pipe,1,26.4
28,PI000029,26.55,PE,Enabled,Default Pipe,1,51.7
29,PI000030,26.38,PE,Enabled,Default Pipe,1,24.0
30,PI000031,23.30,SI,Enabled,Default Pipe,1,151.0
31,PI000032,22.98,SI,Enabled,Default Pipe,1,55.2
32,PI000033,23.55,CI,Enabled,Default Pipe,1,51.5
33,PI000034,22.98,SI,Enabled,Default Pipe,1,98.2
34,PI000035,25.76,PE,Enabled,Default Pipe,1,15.1
35,PI000036,25.74,PE,Enabled,Default Pipe,1,21.1
36,PI000037,25.74,PE,Enabled,Default Pipe,1,9.7
37,PI000040,22.96,PE,Enabled,Replacement Pipe,1,4.7
38,PI000041,26.98,PE,Enabled,Default Pipe,1,0.7
39,PI000042,23.10,PE,Enabled,Default Pipe,1,30.0
40,PI000043,23.88,PE,Enabled,Replacement Pipe,1,77.2
41,PI000044,26.74,CI,Enabled,Default Pipe,1,31.2
42,PI000045,26.76,CI,Enabled,Default Pipe,1,38.6
43,PI000046,26.37,PE,Enabled,Replacement Pipe,1,15.5
44,PI000047,26.29,PE,Enabled,Default Pipe,1,55.8
45,PI000048,22.41,PE,Enabled,Replacement Pipe,1,24.7
46,PI000049,22.55,PE,Enabled,Default Pipe,1,29.4
47,PI000050,23.91,PE,Enabled,Replacement Pipe,1,51.1
48,PI000051,26.83,CI,Enabled,Default Pipe,1,238.9
49,PI000052,26.78,PE,Enabled,Default Pipe,1,15.4
50,PI000053,26.91,PE,Enabled,Default Pipe,1,4.5
51,PI000054,26.60,PE,Enabled,Default Pipe,1,37.1
52,PI000055,26.48,PE,Enabled,Default Pipe,1,86.5
53,PI000056,24.47,PE,Enabled,Default Pipe,1,53.8
54,PI000057,23.79,PE,Enabled,Default Pipe,1,46.5
55,PI000058,25.74,PE,Enabled,Default Pipe,1,4.9
56,PI000059,23.49,CI,Enabled,Default Pipe,1,23.5
57,PI000060,24.80,PE,Enabled,Default Pipe,1,27.3
58,PI000061,25.49,PE,Enabled,Default Pipe,1,47.9
59,PI000062,25.09,PE,Enabled,Default Pipe,1,33.9
60,PI000063,23.42,PE,Enabled,Default Pipe,1,47.1
61,PI000064,23.26,PE,Enabled,Default Pipe,1,21.6
62,PI000065,23.47,PE,Enabled,Default Pipe,1,33.0
63,PI000066,23.13,PE,Enabled,Default Pipe,1,23.6
64,PI000067,25.71,PE,Enabled,Default Pipe,1,1.9
65,PI000068,24.90,PE,Enabled,Default Pipe,1,8.9
66,PI000069,23.20,PE,Enabled,Default Pipe,1,2.0
67,PI000070,25.28,PE,Enabled,Default Pipe,1,4.5
68,PI000071,25.24,PE,Enabled,Default Pipe,1,75.2
69,PI000072,23.14,CI,Enabled,Default Pipe,1,4.0
70,PI000073,22.88,SI,Enabled,Default Pipe,1,6.4
71,PI000074,22.23,SI,Enabled,Default Pipe,1,14.9
72,PI000075,26.83,PE,Enabled,Default Pipe,1,21.8
73,PI000078,24.67,PE,Enabled,Default Pipe,1,44.6
