SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,0114480765,27.96,PE,Enabled,Default Pipe,2,50.0
2,0114480769,27.34,PE,Enabled,Default Pipe,2,56.5
3,0114480629,25.46,PE,Enabled,Default Pipe,2,87.0
4,0114480554,27.89,PE,Enabled,Default Pipe,2,75.1
5,0114480755,29.94,DI,Enabled,Default Pipe,2,31.9
6,0626385039,28.04,PE,Enabled,Default Pipe,2,8.6
7,PI0000090000009,27.75,PE,Enabled,Default Pipe,2,3.2
8,0114480559,27.79,PE,Enabled,Default Pipe,2,105.6
9,0114480567,27.70,PE,Enabled,Default Pipe,2,66.9
10,0114480572,28.03,PE,Enabled,Default Pipe,2,46.5
11,PI0000100000010,25.62,PE,Enabled,Default Pipe,2,46.8
12,0114480903,27.44,PE,Enabled,Default Pipe,2,352.0
13,0114480577,28.02,PE,Enabled,Default Pipe,2,47.3
14,PI0000110000011,28.79,PE,Enabled,Default Pipe,2,34.9
15,0114480552,28.18,PE,Enabled,Default Pipe,2,87.1
16,0114480756,29.57,PE,Enabled,Default Pipe,2,97.3
17,0114480767,27.53,PE,Enabled,Default Pipe,2,22.9
18,0626385041,28.06,PE,Enabled,Default Pipe,2,9.1
19,0114480595,26.45,PE,Enabled,Default Pipe,2,337.8
20,PI0000120000012,27.59,PE,Enabled,Default Pipe,2,2.9
21,0114480801,27.55,PE,Enabled,Default Pipe,2,123.9
22,0114480582,27.21,PE,Enabled,Default Pipe,2,140.4
23,0114485701,24.29,PE,Enabled,Default Pipe,4,64.7
24,0115852116,24.21,PE,Enabled,Default Pipe,4,35.2
25,0114485577,24.41,PE,Enabled,Default Pipe,4,57.5
26,0115852114,24.15,PE,Enabled,Default Pipe,4,68.7
27,0114485832,23.16,PE,Enabled,Default Pipe,4,78.6
28,PI0000130000013,23.26,PE,Enabled,Default Pipe,4,53.3
29,0114485750,23.06,PE,Enabled,Default Pipe,4,6.4
30,0114485831,23.61,PE,Enabled,Default Pipe,4,45.3
31,0114485830,23.85,PE,Enabled,Default Pipe,4,41.2
32,0114485710,25.40,PE,Enabled,Default Pipe,4,59.2
33,0114485829,23.78,PE,Enabled,Default Pipe,4,11.8
34,0114485690,24.07,PE,Enabled,Default Pipe,4,150.7
35,0114485652,24.03,PE,Enabled,Default Pipe,4,114.9
36,0114485586,23.40,PE,Enabled,Default Pipe,4,136.2
37,0114485740,23.26,PE,Enabled,Default Pipe,4,9.7
38,0114485840,23.44,PE,Enabled,Default Pipe,4,55.7
39,0114485727,23.21,PE,Enabled,Default Pipe,4,83.2
40,0114485833,23.32,PE,Enabled,Default Pipe,4,49.4
41,0115694871,30.05,PE,Enabled,Default Pipe,3,87.8
42,0114480741,25.62,PE,Enabled,Default Pipe,1,97.1
43,0115694840,30.02,PE,Enabled,Default Pipe,3,122.6
44,0115694922,29.91,PE,Enabled,Default Pipe,3,55.9
45,0115694748,29.89,PE,Enabled,Default Pipe,3,206.9
46,0115694912,30.04,PE,Enabled,Default Pipe,3,216.7
47,0115694707,29.86,PE,Enabled,Default Pipe,3,161.4
48,0115694919,29.94,PE,Enabled,Default Pipe,3,102.6
49,0115694802,30.07,PE,Enabled,Default Pipe,3,60.4
50,0115694656,29.94,PE,Enabled,Default Pipe,3,142.1
51,0625074150,29.81,PE,Enabled,Default Pipe,3,77.0
52,0115694908,30.05,PE,Enabled,Default Pipe,3,93.2
53,0114480648,25.57,PE,Enabled,Default Pipe,1,57.9
54,0115694888,30.00,PE,Enabled,Default Pipe,3,103.9
55,0114480650,25.62,PE,Enabled,Default Pipe,1,25.5
56,0625074151,29.83,PE,Enabled,Default Pipe,3,115.1
57,0115694743,29.96,PE,Enabled,Default Pipe,3,29.1
58,PI0000140000014,29.98,PE,Enabled,Default Pipe,3,9.8
59,0115694767,30.05,PE,Enabled,Default Pipe,3,114.3
60,0115694796,30.11,PE,Enabled,Default Pipe,3,138.0
61,0114485681,24.28,PE,Enabled,Default Pipe,4,121.0
62,0115870663,25.06,PE,Enabled,Default Pipe,4,8.0
63,0114485802,24.80,PE,Enabled,Default Pipe,4,30.0
64,0114485788,26.04,PE,Enabled,Default Pipe,4,8.7
65,0114485614,30.04,PE,Enabled,Default Pipe,4,3.4
66,0114485615,33.85,PE,Enabled,Default Pipe,4,87.8
67,0114485639,25.50,PE,Enabled,Default Pipe,4,185.0
68,0114485666,24.95,PE,Enabled,Default Pipe,4,71.0
