SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,23.54,PE,Enabled,Default Pipe,1,25.9
2,PI000002,23.38,PE,Enabled,Default Pipe,1,329.5
3,PI000003,23.26,PE,Enabled,Default Pipe,1,1.2
4,PI000004,24.92,PE,Enabled,Default Pipe,1,111.8
5,PI000005,25.14,PE,Enabled,Default Pipe,1,82.2
6,PI000006,26.78,PE,Enabled,Default Pipe,1,589.1
7,PI000007,35.16,PE,Enabled,Default Pipe,1,1.1
8,PI000008,23.60,PE,Enabled,Default Pipe,1,11.1
9,PI000009,23.58,PE,Enabled,Default Pipe,1,21.5
10,PI000010,23.94,PE,Enabled,Default Pipe,1,68.8
11,PI000011,23.90,PE,Enabled,Default Pipe,1,44.0
12,PI000012,23.92,PE,Enabled,Default Pipe,1,8.6
13,PI000013,24.01,PE,Enabled,Default Pipe,1,10.1
14,PI000014,23.70,PE,Enabled,Default Pipe,1,125.5
15,PI000015,25.29,PE,Enabled,Replacement Pipe,1,29.2
16,PI000016,26.53,CI,Enabled,Default Pipe,1,119.6
17,PI000017,35.98,PE,Enabled,Replacement Pipe,1,11.9
18,PI000018,24.80,PE,Enabled,Replacement Pipe,1,42.3
19,PI000019,31.55,PE,Enabled,Default Pipe,1,64.3
20,PI000020,26.56,CI,Enabled,Default Pipe,1,15.5
21,PI000021,40.70,CI,Enabled,Default Pipe,1,16.6
22,PI000022,38.58,PE,Enabled,Default Pipe,1,65.1
23,PI000023,26.22,PE,Enabled,Replacement Pipe,1,94.0
24,PI000024,24.38,PE,Enabled,Default Pipe,1,16.9
25,PI000025,32.27,PE,Enabled,Default Pipe,1,12.6
26,PI000026,24.02,PE,Enabled,Replacement Pipe,1,7.4
27,PI000027,32.27,PE,Enabled,Default Pipe,1,4.6
28,PI000028,25.33,PE,Enabled,Replacement Pipe,1,39.4
29,PI000029,23.76,PE,Enabled,Replacement Pipe,1,47.2
30,PI000030,40.48,CI,Enabled,Default Pipe,1,51.2
31,PI000031,33.85,PE,Enabled,Default Pipe,1,56.8
32,PI000032,28.01,CI,Enabled,Default Pipe,1,3.2
33,PI000033,24.12,PE,Enabled,Default Pipe,1,41.4
34,PI000034,31.23,PE,Enabled,Default Pipe,1,61.8
35,PI000035,31.11,PE,Enabled,Default Pipe,1,17.2
36,PI000036,32.16,PE,Enabled,Default Pipe,1,29.0
37,PI000037,24.20,PE,Enabled,Replacement Pipe,1,167.2
38,PI000038,36.04,CI,Enabled,Default Pipe,1,2.4
39,PI000039,25.54,PE,Enabled,Replacement Pipe,1,30.0
40,PI000040,38.39,PE,Enabled,Default Pipe,1,6.3
41,PI000041,34.92,PE,Enabled,Default Pipe,1,50.4
42,PI000042,42.33,CI,Enabled,Default Pipe,1,1.8
43,PI000043,46.29,CI,Enabled,Default Pipe,1,91.9
44,PI000044,42.65,CI,Enabled,Default Pipe,1,39.0
45,PI000045,36.76,PE,Enabled,Default Pipe,2,17.4
46,PI000046,46.59,PE,Enabled,Default Pipe,1,11.3
47,PI000047,41.99,PE,Enabled,Default Pipe,1,36.6
48,PI000048,42.13,PE,Enabled,Default Pipe,1,31.3
49,PI000049,36.76,PE,Enabled,Default Pipe,2,92.7
50,PI000050,37.05,PE,Enabled,Replacement Pipe,1,39.3
51,PI000051,36.72,PE,Enabled,Default Pipe,1,17.3
52,PI000052,44.58,CI,Enabled,Default Pipe,1,41.8
53,PI000053,44.63,PE,Enabled,Default Pipe,1,29.9
54,PI000054,44.63,PE,Enabled,Default Pipe,1,4.2
55,PI000055,44.55,PE,Enabled,Default Pipe,1,102.5
56,PI000056,36.98,PE,Enabled,Replacement Pipe,1,36.0
57,PI000057,45.75,PE,Enabled,Default Pipe,1,22.5
58,PI000058,41.75,CI,Enabled,Default Pipe,1,70.1
59,PI000059,46.44,CI,Enabled,Default Pipe,1,132.8
60,PI000060,47.20,CI,Enabled,Default Pipe,1,1.2
61,PI000061,40.87,PE,Enabled,Default Pipe,1,69.0
62,PI000062,40.89,PE,Enabled,Default Pipe,1,9.7
63,PI000063,46.48,PE,Enabled,Default Pipe,1,8.5
64,PI000064,38.03,PE,Enabled,Default Pipe,2,36.9
65,PI000065,47.84,CI,Enabled,Default Pipe,1,5.5
66,PI000066,37.21,PE,Enabled,Default Pipe,2,47.7
67,PI000067,39.50,PE,Enabled,Default Pipe,2,39.5
68,PI000068,40.89,PE,Enabled,Default Pipe,1,24.0
69,PI000069,45.98,PE,Enabled,Default Pipe,1,104.8
70,PI000070,47.02,CI,Enabled,Default Pipe,1,50.2
71,PI000071,47.03,CI,Enabled,Default Pipe,1,50.1
72,PI000072,41.20,PE,Enabled,Default Pipe,1,92.6
73,PI000073,45.92,DI,Enabled,Default Pipe,1,3.3
74,PI000074,38.74,PE,Enabled,Default Pipe,2,36.0
