SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI004107,28.76,PE,Enabled,Default Pipe,1,55.7
2,PI004108,26.92,PE,Enabled,Default Pipe,1,28.1
3,PI004109,26.92,PE,Enabled,Default Pipe,1,18.3
4,PI004110,27.78,PE,Enabled,Default Pipe,1,113.4
5,PI004111,28.65,PE,Enabled,Default Pipe,1,10.5
6,PI004112,28.67,PE,Enabled,Default Pipe,1,32.6
7,PI004113,28.86,PE,Enabled,Default Pipe,1,2.2
8,PI004114,29.21,PE,Enabled,Default Pipe,1,50.7
9,PI004115,29.67,PE,Enabled,Default Pipe,1,52.0
10,PI004116,29.84,PE,Enabled,Default Pipe,1,7.3
11,PI004117,29.79,PE,Enabled,Default Pipe,1,43.7
12,PI004118,29.91,PE,Enabled,Default Pipe,1,29.7
13,PI004119,29.96,PE,Enabled,Default Pipe,1,46.5
14,PI004120,29.15,PE,Enabled,Default Pipe,1,61.4
15,PI004121,28.06,PE,Enabled,Default Pipe,1,16.4
16,PI004122,28.11,PE,Enabled,Default Pipe,1,24.9
17,PI004123,28.33,PE,Enabled,Default Pipe,1,26.3
18,PI004124,28.60,PE,Enabled,Default Pipe,1,14.3
19,PI004130,27.48,PE,Enabled,Default Pipe,1,141.8
20,PI004135,29.54,PE,Enabled,Default Pipe,1,51.1
21,PI004136,29.54,PE,Enabled,Default Pipe,1,2.7
22,PI004137,29.54,PE,Enabled,Default Pipe,1,7.8
23,PI004138,29.52,PE,Enabled,Default Pipe,1,67.7
24,PI004139,29.54,PE,Enabled,Default Pipe,1,10.5
25,PI004140,29.56,PE,Enabled,Default Pipe,1,33.0
26,PI004141,29.54,PE,Enabled,Default Pipe,1,32.4
27,PI004142,29.59,PE,Enabled,Default Pipe,1,3.1
28,PI004680,29.87,PE,Enabled,Default Pipe,3,69.0
29,PI004681,29.90,PE,Enabled,Default Pipe,3,79.7
30,PI004682,30.07,PE,Enabled,Default Pipe,3,106.9
31,PI004683,29.94,PE,Enabled,Default Pipe,3,96.3
32,PI004684,30.00,PE,Enabled,Default Pipe,3,28.6
33,PI004685,30.36,PE,Enabled,Default Pipe,3,42.0
34,PI004686,30.29,PE,Enabled,Default Pipe,3,124.2
35,PI004687,30.19,PE,Enabled,Default Pipe,3,219.8
36,PI004688,30.15,PE,Enabled,Default Pipe,3,43.0
37,PI004689,30.12,PE,Enabled,Default Pipe,3,123.4
38,PI004690,30.17,PE,Enabled,Default Pipe,3,75.9
39,PI000001,23.11,PE,Enabled,Default Pipe,2,5.4
40,PI000002,23.27,PE,Enabled,Default Pipe,2,12.9
41,PI000003,24.04,CI,Enabled,Default Pipe,2,23.8
42,PI000004,23.95,CI,Enabled,Default Pipe,2,37.3
43,PI000005,24.06,CI,Enabled,Default Pipe,2,1.8
44,PI000006,22.91,CI,Enabled,Default Pipe,2,98.9
45,PI000007,22.73,PE,Enabled,Default Pipe,2,0.8
46,PI000008,21.07,PE,Enabled,Default Pipe,2,3.2
47,PI000009,21.66,PE,Enabled,Default Pipe,2,3.5
48,PI000010,24.47,CI,Enabled,Default Pipe,2,25.2
49,PI000011,24.96,CI,Enabled,Default Pipe,2,185.1
50,PI000012,33.48,SI,Enabled,Default Pipe,2,1.7
51,PI000013,33.48,PE,Enabled,Default Pipe,2,50.9
52,PI000014,39.98,PE,Enabled,Default Pipe,2,54.6
53,PI000015,38.80,CI,Enabled,Default Pipe,2,87.6
54,PI000016,21.84,PE,Enabled,Default Pipe,2,10.2
55,PI000017,21.88,PE,Enabled,Default Pipe,2,22.5
56,PI000018,29.88,CI,Enabled,Default Pipe,2,17.6
57,PI000019,32.59,CI,Enabled,Default Pipe,2,23.9
58,PI000020,21.82,DI,Enabled,Default Pipe,2,2.4
59,PI000021,30.04,CI,Enabled,Default Pipe,2,299.5
60,PI000022,21.81,PE,Enabled,Default Pipe,2,19.9
61,PI000023,30.19,CI,Enabled,Default Pipe,2,21.8
62,PI000024,32.60,CI,Enabled,Default Pipe,2,42.4
63,PI000025,32.65,SI,Enabled,Default Pipe,2,38.2
64,PI000026,32.75,CI,Enabled,Default Pipe,2,59.7
65,PI000027,32.76,SI,Enabled,Default Pipe,2,64.7
66,PI000028,32.70,CI,Enabled,Default Pipe,2,71.3
67,PI000029,32.60,CI,Enabled,Default Pipe,2,3.5
68,PI000030,32.57,CI,Enabled,Default Pipe,2,6.0
69,PI000031,26.53,PE,Enabled,Replacement Pipe,2,135.4
70,PI000032,28.00,SI,Enabled,Default Pipe,2,3.8
71,PI000033,32.66,CI,Enabled,Default Pipe,2,95.2
72,PI000034,32.78,SI,Enabled,Default Pipe,2,69.8
73,PI000035,32.63,CI,Enabled,Default Pipe,2,155.1
74,PI000036,32.60,CI,Enabled,Default Pipe,2,2.1
75,PI000037,32.46,CI,Enabled,Default Pipe,2,52.1
76,PI000038,32.98,DI,Enabled,Default Pipe,2,60.7
77,PI000039,32.27,CI,Enabled,Default Pipe,2,3.5
78,PI000040,26.55,PE,Enabled,Default Pipe,2,19.4
79,PI000041,32.32,CI,Enabled,Default Pipe,2,55.8
80,PI000042,26.86,SI,Enabled,Default Pipe,2,9.3
81,PI000043,27.84,CI,Enabled,Default Pipe,2,75.8
82,PI000045,32.61,CI,Enabled,Default Pipe,2,107.7
83,PI000046,27.67,PE,Enabled,Default Pipe,2,6.7
84,PI000047,28.05,SI,Enabled,Default Pipe,2,3.9
85,PI000048,32.59,CI,Enabled,Default Pipe,2,1.1
86,PI000049,27.67,PE,Enabled,Default Pipe,2,7.8
87,PI000050,27.67,PE,Enabled,Default Pipe,2,7.3
88,PI000051,28.33,PE,Enabled,Default Pipe,2,92.7
89,PI000052,28.14,PE,Enabled,Default Pipe,2,19.4
90,PI000053,29.92,PE,Enabled,Replacement Pipe,2,128.8
91,PI000054,28.51,PE,Enabled,Replacement Pipe,2,55.2
92,PI000055,28.55,PE,Enabled,Replacement Pipe,2,6.7
93,PI000056,28.88,PE,Enabled,Replacement Pipe,2,227.4
94,PI000057,29.77,PE,Enabled,Replacement Pipe,2,8.2
95,PI000058,29.76,PE,Enabled,Default Pipe,2,23.1
96,PI000059,36.11,CI,Enabled,Default Pipe,2,1.3
97,PI000060,36.17,CI,Enabled,Default Pipe,2,19.7
98,PI000061,34.54,CI,Enabled,Default Pipe,2,186.2
99,PI000062,32.79,CI,Enabled,Default Pipe,2,19.7
100,PI000063,32.97,CI,Enabled,Default Pipe,2,32.5
101,PI000064,36.50,CI,Enabled,Default Pipe,2,13.4
102,PI000065,24.77,DI,Enabled,Default Pipe,2,204.3
103,PI000066,27.31,SI,Enabled,Default Pipe,2,48.0
104,PI000067,36.57,SI,Enabled,Default Pipe,2,22.1
105,PI000068,27.31,SI,Enabled,Default Pipe,2,21.6
106,PI000069,32.08,SI,Enabled,Default Pipe,2,94.6
107,PI000070,26.27,PE,Enabled,Replacement Pipe,2,8.6
108,PI000071,27.24,PE,Enabled,Replacement Pipe,2,206.8
109,PI000072,26.26,PE,Enabled,Replacement Pipe,2,47.1
110,PI000073,26.24,SI,Enabled,Default Pipe,2,8.2
111,PI000074,26.53,SI,Enabled,Default Pipe,2,97.2
112,PI000075,26.63,PE,Enabled,Replacement Pipe,2,91.7
113,PI000076,27.94,PE,Enabled,Default Pipe,2,30.4
114,PI000077,30.85,PE,Enabled,Default Pipe,2,1.5
115,PI000079,26.34,PE,Enabled,Replacement Pipe,2,146.7
116,PI000080,23.32,PE,Enabled,Default Pipe,2,40.2
117,PI000081,26.76,PE,Enabled,Default Pipe,2,53.6
118,PI000082,26.61,PE,Enabled,Default Pipe,2,5.8
119,PI000083,29.83,PE,Enabled,Replacement Pipe,2,4.9
120,PI000084,29.56,CI,Enabled,Default Pipe,2,100.9
121,PI000085,31.95,PE,Enabled,Default Pipe,2,5.8
122,PI000086,29.85,CI,Enabled,Default Pipe,2,19.7
123,PI000087,29.91,CI,Enabled,Default Pipe,2,163.8
124,PI000088,31.89,PE,Enabled,Default Pipe,2,7.6
125,PI000089,30.00,PE,Enabled,Default Pipe,2,1.7
126,PI000090,29.82,CI,Enabled,Default Pipe,2,22.7
127,PI000091,30.11,PE,Enabled,Default Pipe,2,12.5
128,PI000092,30.11,PE,Enabled,Replacement Pipe,2,35.8
129,PI000094,31.07,PE,Enabled,Default Pipe,2,174.9
130,PI000095,32.59,CI,Enabled,Default Pipe,2,200.7
131,PI000097,32.44,CI,Enabled,Default Pipe,2,74.2
