SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,27.19,CI,Enabled,Default Pipe,1,138.0
2,PI000002,26.32,CI,Enabled,Default Pipe,1,16.9
3,PI000003,25.41,CI,Enabled,Default Pipe,1,3.1
4,PI000004,28.83,CI,Enabled,Default Pipe,1,60.1
5,PI000005,28.92,CI,Enabled,Default Pipe,1,32.6
6,PI000006,28.17,PE,Enabled,Default Pipe,1,239.5
7,PI000007,27.91,CI,Enabled,Default Pipe,1,1.2
8,PI000008,29.65,DI,Enabled,Default Pipe,1,1.2
9,PI000009,28.93,PE,Enabled,Default Pipe,1,277.6
10,PI000010,28.00,SI,Enabled,Default Pipe,1,39.6
11,PI000011,27.89,SI,Enabled,Default Pipe,1,55.7
12,PI000012,29.43,PE,Enabled,Default Pipe,1,71.8
13,PI000013,27.17,DI,Enabled,Default Pipe,1,69.7
14,PI000014,30.47,PE,Enabled,Default Pipe,1,28.3
15,PI000015,30.58,PE,Enabled,Default Pipe,1,115.1
16,PI000016,31.11,PE,Enabled,Default Pipe,1,24.1
17,PI000017,31.13,PE,Enabled,Default Pipe,1,7.4
18,PI000018,31.15,PE,Enabled,Default Pipe,1,56.1
19,PI000019,32.18,PE,Enabled,Default Pipe,1,28.2
20,PI000020,32.39,PE,Enabled,Default Pipe,1,29.5
21,PI000021,32.36,PE,Enabled,Default Pipe,1,6.7
22,PI000022,32.06,PE,Enabled,Default Pipe,1,30.6
23,PI000023,31.86,PE,Enabled,Default Pipe,1,4.1
24,PI000024,32.36,PE,Enabled,Default Pipe,1,23.0
25,PI000025,36.44,CI,Enabled,Default Pipe,1,268.4
26,PI000026,31.58,CI,Enabled,Default Pipe,1,2.9
27,PI000027,35.17,PE,Enabled,Default Pipe,1,37.3
28,PI000028,33.03,PE,Enabled,Default Pipe,1,18.4
29,PI000029,32.67,PE,Enabled,Default Pipe,1,69.3
30,PI000030,47.31,PE,Enabled,Default Pipe,1,7.8
