SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,24.14,PE,Enabled,Default Pipe,1,66.3
2,PI000001,24.82,PE,Enabled,Default Pipe,1,12.6
3,PI000002,24.55,PE,Enabled,Default Pipe,1,258.4
4,PI000003,26.48,PE,Enabled,Default Pipe,1,12.0
5,PI000004,26.22,PE,Enabled,Default Pipe,1,45.4
6,PI000005,23.96,PE,Enabled,Default Pipe,1,467.6
7,PI000006,24.22,PE,Enabled,Default Pipe,1,133.2
8,PI000007,27.62,PE,Enabled,Default Pipe,1,62.1
9,PI000008,26.42,PE,Enabled,Default Pipe,1,80.0
10,PI000009,23.85,PE,Enabled,Default Pipe,1,2.0
11,PI000010,26.54,PE,Enabled,Default Pipe,1,24.2
12,PI000011,26.90,PE,Enabled,Default Pipe,1,78.1
13,PI000012,26.56,PE,Enabled,Default Pipe,1,3.3
14,PI000013,27.24,PE,Enabled,Default Pipe,1,8.8
15,PI000014,25.43,PE,Enabled,Default Pipe,1,268.0
16,PI000015,24.82,PE,Enabled,Default Pipe,1,8.9
17,PI000016,24.78,PE,Enabled,Default Pipe,1,1.4
18,PI000017,24.30,PE,Enabled,Default Pipe,1,69.3
19,PI000018,24.46,PE,Enabled,Default Pipe,1,147.7
20,PI000019,23.83,PE,Enabled,Default Pipe,1,8.1
21,PI000020,23.90,PE,Enabled,Default Pipe,1,164.3
22,PI000021,25.71,PE,Enabled,Default Pipe,1,343.2
23,PI000022,23.66,PE,Enabled,Default Pipe,1,85.8
24,PI000023,23.68,PE,Enabled,Default Pipe,1,174.3
25,PI000024,23.43,PE,Enabled,Default Pipe,1,26.2
26,PI000025,24.13,PE,Enabled,Default Pipe,1,7.9
27,PI000026,24.13,PE,Enabled,Default Pipe,1,71.6

Model State: Solved

Generated on 12/03/2015 13:38:25

SynerGEE Gas 4.7.1: ASP
