"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-15707.190000","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-3599.129969","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-365.520000","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-1449.889992","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-1853.719990","0.000000","1.000000","Volumetric","-1.000000"
"DH","Flow Categories","-241.800000","0.000000","1.000000","Volumetric","0"
"C3","Flow Categories","-229.190003","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-1005.800001","0.000000","1.000000","Volumetric","-1.000000"
"PL-AF","Flow Categories","-1105.780008","0.000000","1.000000","Volumetric","-1.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"DM","Flow Categories","-203.110002","0.000000","1.000000","Volumetric","0"
"CM","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0"
"PL-DC","Flow Categories","-270.460000","0.000000","1.000000","Volumetric","0"
"PL-CC","Flow Categories","-64.620002","0.000000","1.000000","Volumetric","0"
"CC","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0.000000"
