"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"602006-1463068","Nodes","-1463068","21.000000","27.435580","Default Known Flow Node","Known Flow","361806.125000","740451.375000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000147","Nodes","147","21.000000","27.435580","DDS","Known Flow","361775.250000","740431.875000","","0.000000","","","","","-10.835999","","","","","","","","-9.689743","-10.835999","","","","","","","D1 PROFILE","","","","","","",""
"60200600001233","Nodes","1233","21.000000","38.137741","Default Known Flow Node","Known Flow","363133.781250","740738.812500","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600001270","Nodes","Logger 9154, Catheter, Salisbury Place","21.000000","38.249041","Val Log Cath","Known Flow","363154.875000","740753.562500","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"602006-580","Nodes","-580","21.000000","38.055434","Default Known Flow Node","Known Flow","363118.250000","740727.812500","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"602006-28","Nodes","-28","21.000000","33.521315","Default Known Flow Node","Known Flow","362165.125000","740559.625000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600001194","Nodes","Logger 9311, Catheter, Gerard Place","21.000000","33.478306","Val Log Cath","Known Flow","362144.375000","740520.875000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000060","Nodes","60","21.000000","33.478306","Default Known Flow Node","Known Flow","362094.125000","740546.125000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600001191","Nodes","Logger 9230, Catheter, Viewfield Road","21.000000","37.880300","Val Log Cath","Known Flow","363149.093750","740693.437500","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"602006-542","Nodes","-542","21.000000","37.442689","Default Known Flow Node","Known Flow","363218.875000","740611.125000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
