"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-2406.540002","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-364.000003","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-38.519999","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-366.059998","0.000000","1.000000","Volumetric","-1.000000"
"C3","Flow Categories","-41.549999","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-65.310000","0.000000","1.000000","Volumetric","-1.000000"
"DH","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0"
"DC","Flow Categories","-166.195001","0.000000","1.000000","Volumetric","-1.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"CC","Flow Categories","-467.420003","0.000000","1.000000","Volumetric","-1.000000"
"CT","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
