"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60200800001837","Nodes","P08120267, LOCHSIDE ROAD, FY1(-11.91)&FY5(-23.82)","24.000000","43.673177","CSEP DDS Matched","Known Flow","345417.292147","751132.611600","","0.000000","","","","","","","-9.379999","","","","","","","-8.387763","-9.379999","","","","","","","","","DC PROFILE","","","","","",""
"60200800003810","Nodes","-1643928","21.000000","38.199895","Default Known Flow Node","Known Flow","344725.125000","751193.375000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800000331","Nodes","331","21.000000","38.759527","Default Known Flow Node","Known Flow","344752.937500","751137.062500","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800000325","Nodes","325","21.000000","39.275569","DDS demands","Known Flow","344797.000000","751048.000000","","0.000000","","","","","","-12.270000","","","","","","","","-10.972053","-12.270000","","","","","","","","D1 PROFILE","","","","","","",""
"60200800000292","Nodes","292","21.000000","38.062207","DDS demands","Known Flow","344682.375000","751286.000000","","0.000000","","","","","","-11.360000","","","","","","","","-10.158315","-11.360000","","","","","","","","D1 PROFILE","","","","","","",""
"60200800003832","Nodes","-309648","21.000000","41.749517","Default Known Flow Node","Known Flow","345462.750000","751372.750000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800004344","Nodes","-3404532","21.000000","38.958534","Default Known Flow Node","Known Flow","345258.294837","751366.543449","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800001008","Nodes","1008, P09121285, DON STREET, -16.34SCMH","24.000000","47.988105","CSEP DDS Matched","Known Flow","345861.121045","751144.060371","","0.000000","","","","","","","-16.339999","","","","","","","-14.611520","-16.339999","","","","","","","","","DC PROFILE","","","","","",""
"60200800003946","Nodes","-313967","21.000000","43.943794","Default Known Flow Node","Known Flow","345870.274031","751029.090902","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800001002","Nodes","1002","21.000000","39.687650","Default Known Flow Node","Known Flow","345100.326736","749659.109179","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800003775","Nodes","-1556732","21.000000","38.462194","Default Known Flow Node","Known Flow","345164.283403","751374.744417","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800000282","Nodes","282","21.000000","39.630174","DDS demands","Known Flow","345062.293208","749696.163359","","0.000000","","","","","","-39.239999","","","","","","","","-35.089112","-39.239999","","","","","","","","D1 PROFILE","","","","","","",""
