"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"602012-97687","Nodes","-97687","21.000000","42.385801","Default Known Flow Node","Known Flow","325156.750000","698986.125000","","0.000000","","","","","","","-9.999999","","","","","","","-8.942178","-9.999999","","","","","","","","","D1 PROFILE","","","","","",""
"60201200001847","Nodes","1847, P10124238/CP2, WAVERLEY DRIVE, -6.83SCMH","22.999998","31.594907","CSEP Unmatched","Known Flow","325598.040987","700424.808682","","0.000000","","","","","","","","-6.829999","","","","","","-6.107508","-6.829999","","","","","","","","","","DC PROFILE","","","","",""
"60201200001696","Nodes","1696, P08119904, FARADAY ROAD, -FY1(-33.23)&FY5(-66.46)","24.000000","49.573274","CSEP Unmatched","Known Flow","326178.410596","699324.102134","","0.000000","","","","","","","","","","-33.229999","","","","-29.714860","-33.229999","","","","","","","","","","","","PL-AF PROFILE","","",""
"60201200001695","Nodes","1695","21.000000","28.111501","Default Known Flow Node","Known Flow","326531.812500","701027.812500","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200001692","Nodes","1692","21.000000","28.163753","Default Known Flow Node","Known Flow","326515.312500","701027.250000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200000234","Nodes","234","21.000000","27.955922","DDS demands","Known Flow","326632.125000","701010.000000","","0.000000","","","","","","","-18.860000","","","","","","","-16.864950","-18.860000","","","","","","","","","D1 PROFILE","","","","","",""
"60201200001694","Nodes","1694","21.000000","28.163753","Default Known Flow Node","Known Flow","326510.031250","701021.625000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200001693","Nodes","1693,P08119624, SITA PLOTS1-7 THE HENGE, -17.91","24.000000","44.907342","CSEP Unmatched","Known Flow","328128.053643","703190.225877","","0.000000","","","","","","","","","","-17.909999","","","","-16.015442","-17.909999","","","","","","","","","","","","PL-AF PROFILE","","",""
"60201200001683","Nodes","1683","21.000000","28.173116","Default Known Flow Node","Known Flow","326489.125000","701030.000000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200001691","Nodes","1691","21.000000","28.173116","Default Known Flow Node","Known Flow","326502.781250","701031.125000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200001690","Nodes","1690","21.000000","28.225452","Default Known Flow Node","Known Flow","326467.500000","701031.125000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200001687","Nodes","1687","21.000000","28.236975","Default Known Flow Node","Known Flow","326437.218750","701029.562500","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200001688","Nodes","1688","21.000000","28.236975","Default Known Flow Node","Known Flow","326447.562500","701025.062500","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200001684","Nodes","1684","21.000000","28.334494","Default Known Flow Node","Known Flow","326413.468750","701024.062500","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200001689","Nodes","1689","21.000000","28.225452","Default Known Flow Node","Known Flow","326457.437500","701041.187500","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200001685","Nodes","1685","21.000000","28.334494","Default Known Flow Node","Known Flow","326421.343750","701019.437500","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200001653","Nodes","1653","21.000000","28.389667","Default Known Flow Node","Known Flow","326385.027532","701017.656934","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200001686","Nodes","1686,P08119309(CP2),PHASE 3 (PLOTS1-36) ELGIN DRIVE,-24.19","22.999998","35.451508","CSEP Unmatched","Known Flow","325293.875000","700677.250000","","0.000000","","","","","","","","","","-24.190001","","","","-21.631131","-24.190001","","","","","","","","","","","","PL-AF PROFILE","","",""
