"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)"
"60204300000126","Nodes","126","21.000000","34.140366","DDS demands","Known Flow","302982.266257","742190.074695","","0.000000","","","","","-1.290000","","","-1.153541","-1.290000","","","","","","","D1 PROFILE","",""
"60204300000134","Nodes","134","21.000000","31.009939","DDS demands","Known Flow","303032.248613","742083.459137","","0.000000","","","","","-12.420000","","","-11.106186","-12.420000","","","","","","","D1 PROFILE","",""
"60204300000036","Nodes","36","21.000000","36.388434","DDS demands","Known Flow","302599.462496","742152.666156","","0.000000","","","","","-3.660000","","","-3.272837","-3.660000","","","","","","","D1 PROFILE","",""
"60204300000065","Nodes","65","21.000000","23.650151","DDS demands","Known Flow","303393.356981","741589.558750","","0.000000","","","","","-6.599999","","","-5.901837","-6.599999","","","","","","","D1 PROFILE","",""
"60204300002313","Nodes","-367311","21.000000","34.630682","Default Known Flow Node","Known Flow","302655.365511","742793.034330","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60204300002274","Nodes","-2949048","21.000000","34.866339","Default Known Flow Node","Known Flow","302668.418514","742595.109276","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60204300000067","Nodes","67","21.000000","22.710003","DDS demands","Known Flow","303724.178196","741416.998218","","0.000000","","","","","-13.609999","","","-12.170305","-13.609999","","","","","","","D1 PROFILE","",""
"60204300000041","Nodes","41","21.000000","34.177891","DDS demands","Known Flow","302970.650597","742208.591171","","0.000000","","","","","-1.450000","","","-1.296616","-1.450000","","","","","","","D1 PROFILE","",""
"60204300000026","Nodes","26","21.000000","32.954717","Default Known Flow Node","Known Flow","303050.866619","742570.422270","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60204300000105","Nodes","105","21.000000","31.560654","DDS demands","Known Flow","303312.496644","742439.130346","","0.000000","","","","","-2.819999","","","-2.521694","-2.819999","","","","","","","D1 PROFILE","",""
"60204300000096","Nodes","96","21.000000","34.473480","DDS demands","Known Flow","302630.866033","742877.211518","","0.000000","","","","","-1.510000","","","-1.350269","-1.510000","","","","","","","D1 PROFILE","",""
"60204300002314","Nodes","-367317","21.000000","34.416091","Default Known Flow Node","Known Flow","302561.755485","742956.222375","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60204300000116","Nodes","116","21.000000","21.775021","DDS demands","Known Flow","303924.489856","741318.175929","","0.000000","","","","","-7.420000","","","-6.635097","-7.420000","","","","","","","D1 PROFILE","",""
"60204300000115","Nodes","115","21.000000","22.296797","DDS demands","Known Flow","303863.423840","741399.629951","","0.000000","","","","","-4.869999","","","-4.354840","-4.869999","","","","","","","D1 PROFILE","",""
"60204300000101","Nodes","101","21.000000","30.801665","DDS demands","Known Flow","302931.318586","741977.495108","","0.000000","","","","","-12.669999","","","-11.329740","-12.669999","","","","","","","D1 PROFILE","",""
"60204300000229","Nodes","229","21.000000","30.410916","DDS demands","Known Flow","302848.816564","741967.898106","","0.000000","","","","","-4.900000","","","-4.381668","-4.900000","","","","","","","D1 PROFILE","",""
"60204300002288","Nodes","-367212","21.000000","30.405241","Default Known Flow Node","Known Flow","302850.105564","741964.098105","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60204300000226","Nodes","226","21.000000","29.781380","DDS demands","Known Flow","302916.009582","741921.098093","","0.000000","","","","","-12.449999","","","-11.133012","-12.449999","","","","","","","D1 PROFILE","",""
"60204300000102","Nodes","102","21.000000","27.913712","DDS demands","Known Flow","303178.018653","741905.128089","","0.000000","","","","","-7.849999","","","-7.019610","-7.849999","","","","","","","D1 PROFILE","",""
"60204300000092","Nodes","92","21.000000","28.443680","DDS demands","Known Flow","303156.796502","741880.664064","","0.000000","","","-12.729999","","-8.930000","","","-19.368760","-21.659998","","","","","C3 PROFILE","","D1 PROFILE","",""
"60204300000103","Nodes","P00069917, Murthly Terrace, -11.26","22.999998","27.408004","CSEP DDS Matched","Known Flow","303241.121670","741858.282076","","0.000000","","","","","","-11.260000","","-10.068893","-11.260000","","","","","","","","DC PROFILE",""
"60204300000093","Nodes","93","21.000000","28.465161","DDS demands","Known Flow","303180.136654","741853.063074","","0.000000","-7.340000","","-2.259999","","-11.570000","","","-18.930592","-21.170001","","","C1 PROFILE","","C3 PROFILE","","D1 PROFILE","",""
"60204300002285","Nodes","-367208","21.000000","29.461458","Default Known Flow Node","Known Flow","303082.628627","741940.037098","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60204300000051","Nodes","51","21.000000","28.430159","DDS demands","Known Flow","303168.712361","741842.085050","","0.000000","","","","","-2.170000","","","-1.940452","-2.170000","","","","","","","D1 PROFILE","",""
"60204300000058","Nodes","58","21.000000","27.973304","DDS demands","Known Flow","303145.053644","741762.268050","","0.000000","-3.010000","","-4.719999","","-15.630000","","","-20.888930","-23.359999","","","C1 PROFILE","","C3 PROFILE","","D1 PROFILE","",""
"60204300002279","Nodes","-367190","21.000000","27.782043","Default Known Flow Node","Known Flow","303132.434108","741715.493195","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60204300000061","Nodes","61","21.000000","27.780989","DDS demands","Known Flow","303254.547615","741682.379377","","0.000000","","","","","-6.809999","","","-6.089623","-6.809999","","","","","","","D1 PROFILE","",""
"60204300000062","Nodes","62","21.000000","27.693391","Default Known Flow Node","Known Flow","303297.325532","741632.394335","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60204300000113","Nodes","113","21.000000","23.438098","DDS demands","Known Flow","303463.193731","741538.595989","","0.000000","","","","","-6.569999","","","-5.875011","-6.569999","","","","","","","D1 PROFILE","",""
"60204300000120","Nodes","120","21.000000","23.462901","DDS demands","Known Flow","303396.728575","741591.985449","","0.000000","","","","","-1.230000","","","-1.099888","-1.230000","","","","","","","D1 PROFILE","",""
"60204300000117","Nodes","117","21.000000","22.734120","DDS demands","Known Flow","303395.336712","741700.454033","","0.000000","","","","","-9.220000","","","-8.244689","-9.220000","","","","","","","D1 PROFILE","",""
"60204300002278","Nodes","-367189","21.000000","22.711928","Default Known Flow Node","Known Flow","303400.725714","741701.607033","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60204300002344","Nodes","-614640","21.000000","22.734120","Default Known Flow Node","Known Flow","303398.618713","741703.328034","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60204300000118","Nodes","118","21.000000","21.839849","DDS demands","Known Flow","303452.074728","741812.493063","","0.000000","","","","","-11.960000","","","-10.694846","-11.960000","","","","","","","D1 PROFILE","",""
"60204300002281","Nodes","","21.000000","22.102935","DDS demands","Known Flow","303432.119979","741797.424354","","0.000000","","","","","-1.999999","","","-1.788435","-1.999999","","","","","","","D1 PROFILE","",""
"60204300000112","Nodes","112","21.000000","26.086221","DDS demands","Known Flow","303031.538613","741570.834998","","0.000000","","","","","-17.129999","","","-15.317952","-17.129999","","","","","","","D1 PROFILE","",""
"60204300000109","Nodes","109","21.000000","28.045333","DDS demands","Known Flow","303149.890756","741779.282807","","0.000000","","","","","-2.039999","","","-1.824204","-2.039999","","","","","","","D1 PROFILE","",""
"60204300000072","Nodes","72","21.000000","27.524187","DDS demands","Known Flow","303043.057616","741643.612017","","0.000000","","","","","-1.999999","","","-1.788435","-1.999999","","","","","","","D1 PROFILE","",""
"60204300002280","Nodes","-367192","21.000000","27.859230","Default Known Flow Node","Known Flow","303178.846071","741731.982234","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60204300002343","Nodes","-614636","21.000000","27.859230","Default Known Flow Node","Known Flow","303183.637459","741727.190200","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60204300002284","Nodes","-367203","21.000000","21.751127","Default Known Flow Node","Known Flow","303480.056735","741852.897074","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60204300000140","Nodes","140","21.000000","22.862200","DDS demands","Known Flow","303646.216502","741508.114411","","0.000000","","","","","-8.109999","","","-7.252106","-8.109999","","","","","","","D1 PROFILE","",""
"60204300000119","Nodes","119","21.000000","21.568183","DDS demands","Known Flow","303515.232745","741851.560074","","0.000000","","","","","-4.949999","","","-4.426378","-4.949999","","","","","","","D1 PROFILE","",""
"60204300000141","Nodes","141","21.000000","22.509605","DDS demands","Known Flow","303723.679802","741450.886965","","0.000000","","","","","-7.050000","","","-6.304236","-7.050000","","","","","","","D1 PROFILE","",""
"60204300000230","Nodes","230","21.000000","30.856867","Default Known Flow Node","Known Flow","302934.902587","741935.463097","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60204300000227","Nodes","227","21.000000","30.445643","DDS demands","Known Flow","302767.243541","742015.279119","","0.000000","","","","","-2.809999","","","-2.512752","-2.809999","","","","","","","D1 PROFILE","",""
"60204300000128","Nodes","128","21.000000","36.642041","DDS demands","Known Flow","302671.199515","742331.082205","","0.000000","","","","","-17.770000","","","-15.890252","-17.770000","","","","","","","D1 PROFILE","",""
"60204300000129","Nodes","129","21.000000","37.912453","DDS demands","Known Flow","302742.967535","742353.900211","","0.000000","","","","","-0.810000","","","-0.724316","-0.810000","","","","","","","D1 PROFILE","",""
"60204300002316","Nodes","-614268","21.000000","37.912453","Default Known Flow Node","Known Flow","302744.687535","742353.053211","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60204300000001","Nodes","Dunkeld DG, Tel, Constant, Site ID 1825","21.000000","38.000000","Default Known Pressure Node","Known Pressure","302740.391534","742346.711209","","999998.967025","","","","","","","","714.793098","799.349984","","","","","","","","",""
"60204300000035","Nodes","35","21.000000","36.388923","DDS demands","Known Flow","302672.179074","742253.328191","","0.000000","","","","","-1.679999","","","-1.502286","-1.679999","","","","","","","D1 PROFILE","",""
"60204300000147","Nodes","147","21.000000","35.912469","DDS demands","Known Flow","302757.745539","742252.286183","","0.000000","","","","","-10.560000","","","-9.442941","-10.560000","","","","","","","D1 PROFILE","",""
"60204300000038","Nodes","38","21.000000","35.506938","DDS demands","Known Flow","302860.902567","742223.841175","","0.000000","-4.010000","","","","","","","-3.585814","-4.010000","","","C1 PROFILE","","","","","",""
"60204300002292","Nodes","-367242","21.000000","35.504526","Default Known Flow Node","Known Flow","302863.146567","742223.478175","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60204300000130","Nodes","130","21.000000","35.498090","Default Known Flow Node","Known Flow","302865.425343","742220.984909","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60204300000046","Nodes","46","21.000000","34.541841","DDS demands","Known Flow","302954.771592","742128.234149","","0.000000","","","","","-8.380000","","","-7.493546","-8.380000","","","","","","","D1 PROFILE","",""
"60204300000132","Nodes","132","21.000000","35.153020","Default Known Flow Node","Known Flow","302847.398563","742107.087144","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60204300002319","Nodes","-614281","21.000000","35.153020","Default Known Flow Node","Known Flow","302846.013563","742107.564144","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60204300000133","Nodes","133","21.000000","31.558513","DDS demands","Known Flow","302992.526603","742043.580126","","0.000000","","","","-0.589999","-4.810000","","","-4.828776","-5.400000","","","","","","C4 PROFILE","D1 PROFILE","",""
"60204300002295","Nodes","-367258","21.000000","36.585966","Default Known Flow Node","Known Flow","302669.928515","742337.311206","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60204300000127","Nodes","127","21.000000","36.585966","Default Known Flow Node","Known Flow","302669.914515","742334.623206","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60204300002294","Nodes","-367254","21.000000","35.912095","Default Known Flow Node","Known Flow","302757.118539","742255.935184","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60204300000149","Nodes","149","21.000000","35.854548","DDS demands","Known Flow","302761.732540","742287.573193","","0.000000","","","","","-2.549999","","","-2.280255","-2.549999","","","","","","","D1 PROFILE","",""
