"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)"
"60204800000104","Nodes","104","21.000000","25.530145","DDS demands","Known Flow","328422.105522","706416.344432","","0.000000","","","","","-9.890000","","-8.843815","-9.890000","","","","","","","D1 PROFILE",""
"60204800000044","Nodes","44","21.000000","25.404404","DDS demands","Known Flow","328426.355523","706384.344423","","0.000000","","","","","-6.489999","","-5.803474","-6.489999","","","","","","","D1 PROFILE",""
"60204800000034","Nodes","34","21.000000","38.374787","DDS demands","Known Flow","328468.862976","706749.547137","","0.000000","","","","","-8.510000","","-7.609794","-8.510000","","","","","","","D1 PROFILE",""
"60204800009420","Nodes","Logger 9535, Airlie Cottage","21.000000","36.113531","Val Log Cath","Known Flow","328594.435419","706730.484271","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000051","Nodes","51","21.000000","35.396772","DDS demands","Known Flow","328631.480579","706708.594511","","0.000000","","","","","-14.500000","","-12.966160","-14.500000","","","","","","","D1 PROFILE",""
"60204800000117","Nodes","117","21.000000","35.167408","Default Known Flow Node","Known Flow","328751.230612","706689.219506","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000037","Nodes","37","21.000000","35.134034","DDS demands","Known Flow","328788.020410","706696.188835","","0.000000","","","","","-7.550000","","-6.751345","-7.550000","","","","","","","D1 PROFILE",""
"60204800009422","Nodes","-11","21.000000","25.264860","Default Known Flow Node","Known Flow","328372.355509","706434.469437","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000103","Nodes","103","21.000000","26.117963","DDS demands","Known Flow","328479.616734","706428.095189","","0.000000","","","","","-3.059999","","-2.736306","-3.059999","","","","","","","D1 PROFILE",""
"60204800009425","Nodes","-1462469","21.000000","26.117963","Default Known Flow Node","Known Flow","328483.105539","706396.094426","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000042","Nodes","42","21.000000","26.278772","DDS demands","Known Flow","328419.480522","706443.594439","","0.000000","","","","","-16.229999","","-14.513155","-16.229999","","","","","","","D1 PROFILE",""
"60204800009465","Nodes","-8","21.000000","26.194393","Default Known Flow Node","Known Flow","328463.230534","706427.844435","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000041","Nodes","41","21.000000","27.206868","DDS demands","Known Flow","328414.480520","706492.594453","","0.000000","","","","","-2.740000","","-2.450157","-2.740000","","","","","","","D1 PROFILE",""
"60204800009423","Nodes","-13","21.000000","26.323145","Default Known Flow Node","Known Flow","328419.105522","706446.969440","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800009469","Nodes","-9","21.000000","26.139787","Default Known Flow Node","Known Flow","328479.480538","706429.344435","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
