"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"60207900000008","Nodes","8","21.000000","40.984100","DDS demands","Known Flow","297882.961328","715344.017909","","0.000000","","","-4.709999","","-4.211766","-4.709999","","","","","D1 PROFILE",""
"60207900000006","Nodes","6","21.000000","40.941435","DDS demands","Known Flow","297850.269560","715324.964090","","0.000000","","","-0.589999","","-0.527588","-0.589999","","","","","D1 PROFILE",""
"60207900000014","Nodes","-1497707","21.000000","38.554890","DDS demands","Known Flow","297955.801204","715466.138921","","0.000000","","","-2.259999","","-2.020932","-2.259999","","","","","D1 PROFILE",""
"60207900001000","Nodes","1000","21.000000","38.278869","DDS demands","Known Flow","297997.444888","715560.069952","","0.000000","","","-2.349999","","-2.101411","-2.349999","","","","","D1 PROFILE",""
"60207900000015","Nodes","-56711","21.000000","26.531298","DDS demands","Known Flow","297709.490000","715317.625000","","0.000000","","","-6.719999","","-6.009144","-6.719999","","","","","D1 PROFILE",""
"60207900000016","Nodes","-56712","21.000000","26.706151","DDS demands","Known Flow","297717.365000","715320.000000","","0.000000","","","-2.859999","","-2.557463","-2.859999","","","","","D1 PROFILE",""
"60207900000005","Nodes","5","21.000000","27.019275","DDS demands","Known Flow","297725.615000","715322.375000","","0.000000","","","-5.290000","","-4.730413","-5.290000","","","","","D1 PROFILE",""
"60207900000018","Nodes","-56714","21.000000","28.926658","Default Known Flow Node","Known Flow","297770.866027","715353.910882","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60207900000003","Nodes","3","21.000000","29.095603","DDS demands","Known Flow","297774.736647","715356.971749","","0.000000","","","-2.970000","","-2.655827","-2.970000","","","","","D1 PROFILE",""
"60207900000011","Nodes","11","21.000000","32.383031","DDS demands","Known Flow","297832.240000","715403.250000","","0.000000","","","-1.269999","","-1.135656","-1.269999","","","","","D1 PROFILE",""
"60207900000004","Nodes","4","21.000000","28.752522","DDS demands","Known Flow","297763.865000","715285.625000","","0.000000","","","-5.219999","","-4.667817","-5.219999","","","","","D1 PROFILE",""
"60207900000009","Nodes","9","21.000000","40.986685","DDS demands","Known Flow","297914.766726","715372.173988","","0.000000","","","-2.309999","","-2.065643","-2.309999","","","","","D1 PROFILE",""
"60207900000007","Nodes","7","21.000000","39.233220","DDS demands","Known Flow","297986.096926","715430.821882","","0.000000","","","-2.119999","","-1.895741","-2.119999","","","","","D1 PROFILE",""
"60207900000028","Nodes","-56729","21.000000","39.910177","Default Known Flow Node","Known Flow","297954.708516","715402.534700","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60207900000012","Nodes","P07111894, Main Road CSEP, 53.1","22.999998","23.764194","CSEP DDS Matched","Known Flow","297680.898544","715309.795184","","0.000000","","","","-53.099996","-47.482969","-53.099996","","","","","","DC PROFILE"
"60207900000021","Nodes","-56719","21.000000","35.876670","DDS demands","Known Flow","297883.615000","715446.000000","","0.000000","","","-3.309999","","-2.959861","-3.309999","","","","","D1 PROFILE",""
"60207900000020","Nodes","-56717","21.000000","32.351143","Default Known Flow Node","Known Flow","297847.865000","715382.750000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60207900000019","Nodes","-56715","21.000000","32.319351","DDS demands","Known Flow","297827.490000","715370.500000","","0.000000","","-4.269999","","","-3.818310","-4.269999","","","","C3 PROFILE","",""
"60207900000024","Nodes","-56725","21.000000","40.750717","Default Known Flow Node","Known Flow","297924.469789","715375.919396","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60207900000025","Nodes","-56726","21.000000","40.670555","Default Known Flow Node","Known Flow","297928.134226","715378.880806","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60207900000001","Nodes","Aberuthven DG, Tel, Site ID 1520","21.000000","41.000000","Default Known Pressure Node","Known Pressure","297914.655187","715373.168271","","99999995.516501","","","","","123.178512","137.749994","","","","","",""
"60207900000026","Nodes","-56727","21.000000","40.670555","Default Known Flow Node","Known Flow","297930.240000","715380.750000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60207900000027","Nodes","-56728","21.000000","39.910177","Default Known Flow Node","Known Flow","297952.990000","715401.000000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60207900000002","Nodes","2","21.000000","37.511985","DDS demands","Known Flow","297898.872335","715448.560214","","0.000000","","","-3.720000","","-3.326490","-3.720000","","","","","D1 PROFILE",""
"60207900000022","Nodes","-56720","21.000000","37.512055","DDS demands","Known Flow","297900.481968","715446.823324","","0.000000","","","-1.659999","","-1.484401","-1.659999","","","","","D1 PROFILE",""
"60207900000023","Nodes","","21.000000","37.883579","DDS demands","Known Flow","297923.995268","715423.480893","","0.000000","-4.500000","","","","-4.023980","-4.500000","","","C2 PROFILE","","",""
"60207900000029","Nodes","-56730","21.000000","38.624432","DDS demands","Known Flow","297962.220751","715458.746715","","0.000000","","","-2.660000","","-2.378619","-2.660000","","","","","D1 PROFILE",""
"60207900001001","Nodes","1001","21.000000","26.684582","DDS demands","Known Flow","297721.083750","715308.625000","","0.000000","","","-2.419999","","-2.164007","-2.419999","","","","","D1 PROFILE",""
"60207900000017","Nodes","-56713","21.000000","26.763071","DDS demands","Known Flow","297726.615000","715291.750000","","0.000000","","","-2.720000","","-2.432272","-2.720000","","","","","D1 PROFILE",""
