"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)"
"60210700000016","Nodes","16","21.000000","66.577018","DDS demands","Known Flow","345073.466053","718877.597823","","0.000000","","","","","-12.579999","","-11.249261","-12.579999","","","","","","","D1 PROFILE",""
"60210700000013","Nodes","13","21.000000","66.717768","DDS demands","Known Flow","345105.445062","718879.821823","","0.000000","-2.049999","","","","-25.120000","","-24.295901","-27.170000","","","C1 PROFILE","","","","D1 PROFILE",""
"60210700000015","Nodes","15","21.000000","66.726217","DDS demands","Known Flow","345325.307122","718871.883821","","0.000000","","","","-5.189999","-11.490000","","-14.915554","-16.679999","","","","","","C4 PROFILE","D1 PROFILE",""
"60210700000025","Nodes","25","21.000000","66.594891","DDS demands","Known Flow","345422.933148","718941.068840","","0.000000","","","","","-0.710000","","-0.634894","-0.710000","","","","","","","D1 PROFILE",""
"60210700000011","Nodes","11","21.000000","70.714559","DDS demands","Known Flow","344975.508495","719338.190742","","0.000000","","","","","-27.879998","","-24.930793","-27.879998","","","","","","","D1 PROFILE",""
"60210700000006","Nodes","6","21.000000","70.453082","DDS demands","Known Flow","344816.141983","719814.411078","","0.000000","-5.379999","","","","-5.749999","","-9.952644","-11.130000","","","C1 PROFILE","","","","D1 PROFILE",""
"60210700000007","Nodes","7","21.000000","71.106976","DDS demands","Known Flow","344920.517012","719804.113075","","0.000000","","","-2.259999","","-10.159999","","-11.106186","-12.419999","","","","","C3 PROFILE","","D1 PROFILE",""
"60210700000027","Nodes","27","21.000000","74.638680","Default Known Flow Node","Known Flow","344975.429027","719758.860062","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60210700000005","Nodes","5","21.000000","72.082380","DDS demands","Known Flow","344885.167002","719653.874034","","0.000000","","-15.999999","","-0.399999","-3.960000","","-18.206276","-20.360000","","","","C2 PROFILE","","C4 PROFILE","D1 PROFILE",""
"60210700000008","Nodes","8","21.000000","70.016856","DDS demands","Known Flow","344814.705983","719694.812045","","0.000000","","","","","-13.600000","","-12.161363","-13.600000","","","","","","","D1 PROFILE",""
"60210700000003","Nodes","3","21.000000","73.578100","DDS demands","Known Flow","344930.686015","719711.944050","","0.000000","","","","","-20.690000","","-18.501368","-20.690000","","","","","","","D1 PROFILE",""
"60210700000004","Nodes","4","21.000000","72.902590","DDS demands","Known Flow","344839.661990","719650.192033","","0.000000","","","","","-11.680000","","-10.444465","-11.680000","","","","","","","D1 PROFILE",""
"60210700000002","Nodes","2","21.000000","74.611853","Default Known Flow Node","Known Flow","344972.410026","719755.166061","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60210700000026","Nodes","26","21.000000","74.830606","Default Known Flow Node","Known Flow","344984.640029","719756.606062","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
