"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(D1)"
"60211000000001","Nodes","1","21.000000","43.208296","DDS demands","Known Flow","318738.124438","732265.157919","","0.000000","","-3.589999","-3.210242","-3.589999","","","","D1 PROFILE"
"60211000000002","Nodes","2","21.000000","43.143450","DDS demands","Known Flow","318742.405204","732257.268573","","0.000000","","-3.479999","-3.111878","-3.479999","","","","D1 PROFILE"
"60211000000005","Nodes","5","21.000000","42.937502","DDS demands","Known Flow","318716.716633","732232.336161","","0.000000","","-1.669999","-1.493343","-1.669999","","","","D1 PROFILE"
"60211000000003","Nodes","3","21.000000","36.474354","DDS demands","Known Flow","318985.569265","732478.873457","","0.000000","","-5.389999","-4.819834","-5.389999","","","","D1 PROFILE"
"60211000000004","Nodes","4","21.000000","36.370241","DDS demands","Known Flow","318961.290092","732527.784141","","0.000000","","-2.109999","-1.886799","-2.109999","","","","D1 PROFILE"
"60211000000021","Nodes","","21.000000","40.744306","DDS demands","Known Flow","318793.208603","732312.056615","","0.000000","","-3.309999","-2.959861","-3.309999","","","","D1 PROFILE"
"60211000000020","Nodes","","21.000000","40.742990","DDS demands","Known Flow","318762.968894","732352.943489","","0.000000","","-0.600000","-0.536530","-0.600000","","","","D1 PROFILE"
"60211000000019","Nodes","","21.000000","42.906951","DDS demands","Known Flow","318706.959879","732222.472454","","0.000000","-6.000000","","-5.365307","-6.000000","","","C1 PROFILE",""
"60211000000010","Nodes","KINROSSIE VILLAGE RRI","21.000000","49.999998","Default Known Pressure Node","Known Pressure","318656.754501","732287.729232","","999998.967025","","","40.257688","45.020000","","","",""
"60211000000012","Nodes","-319371","21.000000","36.511278","Default Known Flow Node","Known Flow","318977.878519","732473.352782","","0.000000","","","0.000000","0.000000","","","",""
"60211000000014","Nodes","-319373","21.000000","36.511278","Default Known Flow Node","Known Flow","318994.769730","732461.068265","","0.000000","","","0.000000","0.000000","","","",""
"60211000000013","Nodes","-319372","21.000000","36.483777","Default Known Flow Node","Known Flow","318981.757627","732475.990706","","0.000000","","","0.000000","0.000000","","","",""
"60211000000011","Nodes","-319370","21.000000","43.142119","DDS demands","Known Flow","318768.938880","732243.930979","","0.000000","","-0.799999","-0.715374","-0.799999","","","","D1 PROFILE"
"60211000000024","Nodes","","21.000000","36.407334","DDS demands","Known Flow","318986.199483","732502.490459","","0.000000","","-3.209999","-2.870439","-3.209999","","","","D1 PROFILE"
"60211000000028","Nodes","","21.000000","39.245877","Default Known Flow Node","Known Flow","318823.823988","732351.698266","","0.000000","","","0.000000","0.000000","","","",""
"60211000000023","Nodes","","21.000000","40.743689","Default Known Flow Node","Known Flow","318776.569531","732329.413007","","0.000000","","","0.000000","0.000000","","","",""
"60211000000025","Nodes","","21.000000","36.762095","DDS demands","Known Flow","318938.801387","732446.638271","","0.000000","","-4.439999","-3.970327","-4.439999","","","","D1 PROFILE"
"60211000000026","Nodes","","21.000000","37.261682","DDS demands","Known Flow","318899.754959","732415.621981","","0.000000","","-2.819999","-2.521694","-2.819999","","","","D1 PROFILE"
"60211000000027","Nodes","","21.000000","37.910312","DDS demands","Known Flow","318862.578548","732386.130028","","0.000000","","-7.600000","-6.796056","-7.600000","","","","D1 PROFILE"
