"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)"
"60211800000003","Nodes","3","21.000000","49.121264","DDS demands","Known Flow","331280.000000","703175.660000","","0.000000","","-11.989999","","","-10.721670","-11.989999","","","","D1 PROFILE","",""
"60211800000004","Nodes","4","21.000000","48.772573","DDS demands","Known Flow","331265.875000","703150.535000","","0.000000","","-23.190000","","","-20.736911","-23.190000","","","","D1 PROFILE","",""
"60211800001002","Nodes","1002","21.000000","36.413207","Default Known Flow Node","Known Flow","330864.250000","703208.535000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60211800002008","Nodes","2008","21.000000","40.901855","Default Known Flow Node","Known Flow","331027.312500","703130.847500","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60211800000001","Nodes","1","21.000000","42.517374","Default Known Flow Node","Known Flow","331073.875000","703165.160000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60211800001004","Nodes","1004","21.000000","34.913698","DDS demands","Known Flow","332170.875000","703341.660000","","0.000000","","-5.879999","","","-5.258000","-5.879999","","","","D1 PROFILE","",""
"60211800001008","Nodes","1008","21.000000","34.717789","Default Known Flow Node","Known Flow","332177.375000","703270.910000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60211800001006","Nodes","P00098317, Atholl Croft, -9.70","22.999998","34.720177","CSEP DDS Matched","Known Flow","332174.531250","703301.847500","","0.000000","","","-9.699999","","-8.673911","-9.699999","","","","","DC PROFILE",""
"60211800000015","Nodes","15","21.000000","49.121264","Default Known Flow Node","Known Flow","331312.750000","703168.410000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60211800000008","Nodes","8","21.000000","46.395994","DDS demands","Known Flow","331483.875000","703333.160000","","0.000000","","-12.830000","","","-11.472814","-12.830000","","","","D1 PROFILE","",""
"60211800000007","Nodes","7","21.000000","46.918430","DDS demands","Known Flow","331429.750000","703322.660000","","0.000000","","-18.290000","","","-16.355244","-18.290000","","","","D1 PROFILE","",""
"60211800000009","Nodes","9","21.000000","46.707715","DDS demands","Known Flow","331543.250000","703135.285000","","0.000000","","-1.710000","","","-1.529112","-1.710000","","","","D1 PROFILE","",""
"60211800000005","Nodes","5","21.000000","36.389671","DDS demands","Known Flow","330861.625000","703208.910000","","0.000000","","-13.619999","","","-12.179246","-13.619999","","","","D1 PROFILE","",""
"60211800001003","Nodes","1003","21.000000","36.456732","Default Known Flow Node","Known Flow","330887.125000","703148.035000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60211800000002","Nodes","2","21.000000","49.176078","DDS demands","Known Flow","331280.250000","703230.160000","","0.000000","-11.629999","-18.610000","","","-27.041146","-30.240000","","","C2 PROFILE","D1 PROFILE","",""
