"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"60600400001235","Nodes","1235","21.000000","25.410091","DDS demands","Known Flow","265113.838296","842238.881390","","0.000000","","","","","","","-3.980000","","","","","","","","","","","-3.558987","-3.980000","","","","","","","","","","D1 PROFILE","","","","","","","","","","",""
"60600400001231","Nodes","1231","21.000000","25.427526","DDS demands","Known Flow","265157.338307","842322.881413","","0.000000","","","","","","","-7.259999","","","","","","","","","","","-6.492021","-7.259999","","","","","","","","","","D1 PROFILE","","","","","","","","","","",""
"60600400001008","Nodes","P09121196, Culduthel Road, 11.91","22.999998","31.917217","CSEP DDS Matched","Known Flow","266732.986407","844619.720568","","0.000000","","","","","","","","-7.790000","","","","","","","","","","-6.965956","-7.790000","","","","","","","","","","","DC PROFILE","","","","","","","","","",""
"60600400011843","Nodes","-876","21.000000","32.388972","Default Known Flow Node","Known Flow","265926.349705","845496.625380","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400001370","Nodes","1370","21.000000","32.054609","Default Known Flow Node","Known Flow","265906.116888","845463.802842","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011838","Nodes","-864","21.000000","31.740595","Default Known Flow Node","Known Flow","265887.121146","845432.987139","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011328","Nodes","-2041","21.000000","74.918519","Default Known Flow Node","Known Flow","268605.457246","843190.738649","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400001369","Nodes","Logger 9557, 130 Boswell Road","21.000000","74.977360","Val Log Cath","Known Flow","268645.228189","843197.994064","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400010677","Nodes","-1462963","21.000000","74.960914","DDS demands","Known Flow","268655.850259","843202.967653","","0.000000","","","","","","","-2.619999","","","","","","","","","","","-2.342850","-2.619999","","","","","","","","","","D1 PROFILE","","","","","","","","","","",""
"60600400001510","Nodes","P09120644, Cauldeen Road, 9.14","22.999998","33.761819","CSEP DDS Matched","Known Flow","267414.862328","843382.632290","","0.000000","","","","","","","","-9.140000","","","","","","","","","","-8.173151","-9.140000","","","","","","","","","","","DC PROFILE","","","","","","","","","",""
"60600400011599","Nodes","-326963","21.000000","36.065227","Default Known Flow Node","Known Flow","265253.244334","845646.192318","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400001252","Nodes","1252","21.000000","37.121076","DDS demands","Known Flow","265313.838350","845806.507361","","0.000000","","","","","","","-3.099999","","","","","","","","","","","-2.772075","-3.099999","","","","","","","","","","D1 PROFILE","","","","","","","","","","",""
"60600400011471","Nodes","-2371","21.000000","32.913257","Default Known Flow Node","Known Flow","268023.214087","844938.757125","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400001368","Nodes","P09121927, High Street, 7.29","22.999998","35.034027","CSEP DDS Matched","Known Flow","266647.431192","845232.322576","","0.000000","","","","","","","","-3.201999","","","","","","","","","","-2.863285","-3.201999","","","","","","","","","","","DC PROFILE","","","","","","","","","",""
"60600400011467","Nodes","-2357","21.000000","33.410101","Default Known Flow Node","Known Flow","268029.443902","844858.636426","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011412","Nodes","-2219","21.000000","38.390222","Default Known Flow Node","Known Flow","268652.714259","843974.131863","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400002659","Nodes","P09120478, Harbour Road, 12.93","22.999998","25.977592","CSEP DDS Matched","Known Flow","267102.870988","846014.152712","","0.000000","","","","","-10.620000","","","-2.309999","","","","","","","","","","-11.087406","-12.398999","","","","","","","","CC PROFILE","","","DC PROFILE","","","","","","","","","",""
"60600400003112","Nodes","3112","21.000000","38.375222","DDS demands","Known Flow","268690.714269","843989.256867","","0.000000","","","","","","","-6.730000","","","","","","","","","","","-6.018086","-6.730000","","","","","","","","","","D1 PROFILE","","","","","","","","","","",""
"60600400011175","Nodes","-1749","21.000000","34.336010","Default Known Flow Node","Known Flow","266713.338731","845319.382229","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400001121","Nodes","1121","21.000000","34.336010","Default Known Flow Node","Known Flow","266722.036571","845292.880275","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400001299","Nodes","1299","21.000000","28.116558","DDS demands","Known Flow","266274.463611","845143.507181","","0.000000","","","","","","","-1.879999","","","","","","","","","","","-1.681129","-1.879999","","","","","","","","","","D1 PROFILE","","","","","","","","","","",""
"60600400001111","Nodes","1111","21.000000","28.947921","Default Known Flow Node","Known Flow","266295.914500","845117.998017","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011795","Nodes","-777","21.000000","30.816667","Default Known Flow Node","Known Flow","266348.588632","845071.257161","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011279","Nodes","-1963","21.000000","33.597840","DDS demands","Known Flow","266675.213720","846170.007460","","0.000000","-12.550000","","","","","","","","","","-14.550000","","","","","","","-24.233303","-27.100000","","","","C1 PROFILE","","","","","","","","","","I2 PROFILE","","","","","","",""
"60600400001009","Nodes","P10124313, District Centre, 117.33","25.000000","69.378710","CSEP DDS Matched","Known Flow","269597.723516","842027.124333","","0.000000","","","","","-20.220000","","","","","","","","","","","","","-17.177028","-19.208998","","","","","","","","CC PROFILE","","","","","","","","","","","","",""
"60600400001091","Nodes","1091","21.000000","33.702489","Default Known Flow Node","Known Flow","266667.993817","846170.603599","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400001378","Nodes","1378","21.000000","36.066587","DDS demands","Known Flow","266497.963672","846173.632461","","0.000000","-18.260000","","","","","","","","","","","","","","","","","-16.328417","-18.260000","","","","C1 PROFILE","","","","","","","","","","","","","","","","",""
"60600400002435","Nodes","2435","21.000000","23.791657","DDS demands","Known Flow","264694.213181","845513.882282","","0.000000","","-52.000000","","","","","","","","","","","","","","","","-46.499324","-52.000000","","","","","C2 PROFILE","","","","","","","","","","","","","","","",""
"60600400003118","Nodes","3118","21.000000","24.302588","Default Known Flow Node","Known Flow","264726.847535","845535.237850","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400001412","Nodes","1412","21.000000","24.961204","Default Known Flow Node","Known Flow","264761.338200","845554.757293","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400003117","Nodes","3117","21.000000","25.866359","Default Known Flow Node","Known Flow","264241.902312","845189.564017","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400010515","Nodes","-1462633","21.000000","26.131570","Default Known Flow Node","Known Flow","264220.213052","845177.257190","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400002305","Nodes","2305","21.000000","25.469541","DDS demands","Known Flow","264304.713075","846202.882469","","0.000000","","","","","","","-4.790000","","","","","","","","","","","-4.283303","-4.790000","","","","","","","","","","D1 PROFILE","","","","","","","","","","",""
"60600400011415","Nodes","-2226","21.000000","44.845263","Default Known Flow Node","Known Flow","268559.089233","844036.256879","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400003114","Nodes","3114","21.000000","38.637616","DDS demands","Known Flow","268569.584557","844027.884044","","0.000000","-99.999997","","","-10.960000","","","","","","","","","","","","","","-99.222401","-110.959999","","","","C1 PROFILE","","","C4 PROFILE","","","","","","","","","","","","","",""
"60600400011414","Nodes","-2224","21.000000","38.631982","Default Known Flow Node","Known Flow","268565.714235","844010.631872","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011426","Nodes","-2249","21.000000","26.719581","Default Known Flow Node","Known Flow","268620.394969","844166.230179","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400003111","Nodes","3111","21.000000","21.169996","DDS demands","Known Flow","268694.459599","844249.759157","","0.000000","-32.130001","","","","","","","","","","","","","","","","","-28.731218","-32.130001","","","","C1 PROFILE","","","","","","","","","","","","","","","","",""
"60600400011596","Nodes","-326930","21.000000","21.169996","Default Known Flow Node","Known Flow","268696.339270","844240.131935","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400010384","Nodes","-1330","21.000000","32.852596","Default Known Flow Node","Known Flow","267504.213946","843295.006678","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400002183","Nodes","2183","21.000000","30.977237","DDS demands","Known Flow","267507.463469","843269.385440","","0.000000","","","","","","","-7.770000","","","","","","","","","","","-6.948072","-7.770000","","","","","","","","","","D1 PROFILE","","","","","","","","","","",""
"60600400002185","Nodes","2185","21.000000","29.597050","DDS demands","Known Flow","267493.744176","843244.260731","","0.000000","","","","","","","-5.229999","","","","","","","","","","","-4.676758","-5.229999","","","","","","","","","","D1 PROFILE","","","","","","","","","","",""
"60600400000446","Nodes","446","21.000000","33.802151","Default Known Flow Node","Known Flow","267743.714011","844689.132057","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400003087","Nodes","3087","21.000000","33.800262","Default Known Flow Node","Known Flow","267737.709518","844688.258479","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400000445","Nodes","445","21.000000","33.797825","Default Known Flow Node","Known Flow","267730.214008","844690.632058","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400001227","Nodes","1227","21.000000","25.752336","DDS demands","Known Flow","265304.213347","842433.006443","","0.000000","","","","","","","-5.090000","","","","","","","","","","","-4.551568","-5.090000","","","","","","","","","","D1 PROFILE","","","","","","","","","","",""
"60600400002699","Nodes","Logger 9755, Mrs Paterson, 31 Drumfield Road","21.000000","25.681540","Val Log Cath","Known Flow","265296.626308","842416.567857","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011150","Nodes","-17","21.000000","25.537764","Default Known Flow Node","Known Flow","265282.963342","842382.756430","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
