"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60601200001012","Nodes","Queens Street-Huntly DG, Constant Setting, Site ID 1036","21.000000","46.999998","Default Known Pressure Node","Known Pressure","353264.376282","839753.231714","","4163.040087","","","","","","","","","","","","","2226.083930","2489.420085","","","","","","","","","","","","","",""
"60601200000057","Nodes","57,","21.000000","34.829878","DDS demands","Known Flow","352874.797176","839910.134757","","0.000000","-8.489999","","","","","-1.609999","","","","","","","-9.031600","-10.100000","","","C1 PROFILE","","","","","D1 PROFILE","","","","","",""
"60601200000056","Nodes","","21.000000","34.542244","DDS demands","Known Flow","352855.124171","839877.030748","","0.000000","-22.059999","","","-2.109999","","-9.260000","","","","","","","-29.893704","-33.429999","","","C1 PROFILE","","","C4 PROFILE","","D1 PROFILE","","","","","",""
"60601200000084","Nodes","84,","21.000000","34.079265","DDS demands","Known Flow","352497.862074","839665.447690","","0.000000","","","","","","-7.190000","","","","","","","-6.429426","-7.190000","","","","","","","","D1 PROFILE","","","","","",""
"60601200000038","Nodes","38,","21.000000","44.469547","DDS demands","Known Flow","353240.572276","839843.784739","","0.000000","-2.789999","","","","","-18.959999","","","","","","","-19.449238","-21.749999","","","C1 PROFILE","","","","","D1 PROFILE","","","","","",""
"60601200000342","Nodes","342,","21.000000","39.335051","DDS demands","Known Flow","353261.652259","839885.834339","","0.000000","","","","","","-7.159999","","","","","","","-6.402599","-7.159999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000037","Nodes","37,","21.000000","33.387248","DDS demands","Known Flow","353295.863291","839930.290762","","0.000000","","","-1.779999","","","-12.420000","","","","","","","-12.697894","-14.200000","","","","","C3 PROFILE","","","D1 PROFILE","","","","","",""
"60601200000240","Nodes","240,","21.000000","41.319526","DDS demands","Known Flow","352623.517583","839308.302923","","0.000000","","","","","","-5.719999","","","","","","","-5.114926","-5.719999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000241","Nodes","241,","21.000000","41.362828","Default Known Flow Node","Known Flow","352607.513812","839355.232960","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000244","Nodes","244,","21.000000","39.494220","DDS demands","Known Flow","352557.752242","839349.833028","","0.000000","","","","","","-1.279999","","","","","","","-1.144598","-1.279999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000234","Nodes","234,","21.000000","33.979297","Default Known Flow Node","Known Flow","352397.141046","839723.102706","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000077","Nodes","77,","21.000000","32.648513","DDS demands","Known Flow","352437.801057","839829.529735","","0.000000","","","","","","-11.709999","","","","","","","-10.471291","-11.709999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000217","Nodes","217,","21.000000","29.669870","DDS demands","Known Flow","352381.356042","839964.920772","","0.000000","","","","","","-13.659999","","","","","","","-12.215016","-13.659999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000075","Nodes","75,","21.000000","28.595718","DDS demands","Known Flow","352341.133031","839981.979776","","0.000000","","","","","","-8.550000","","","","","","","-7.645563","-8.550000","","","","","","","","D1 PROFILE","","","","","",""
"60601200000101","Nodes","101,","21.000000","28.633872","DDS demands","Known Flow","352315.695024","839993.838779","","0.000000","","","","","","-1.770000","","","","","","","-1.582765","-1.770000","","","","","","","","D1 PROFILE","","","","","",""
"60601200000080","Nodes","80,","21.000000","33.964412","Default Known Flow Node","Known Flow","352305.807021","839756.021715","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000146","Nodes","146,","21.000000","33.948978","DDS demands","Known Flow","352309.232490","839762.973057","","0.000000","","","","","","-4.920000","","","","","","","-4.399552","-4.920000","","","","","","","","D1 PROFILE","","","","","",""
"60601200000083","Nodes","83,","21.000000","33.924312","DDS demands","Known Flow","352222.475999","839794.812725","","0.000000","","","","","","-13.189999","","","","","","","-11.794733","-13.189999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000105","Nodes","105,","21.000000","33.834464","Default Known Flow Node","Known Flow","352212.566996","839918.494759","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000109","Nodes","109,","21.000000","33.878408","Default Known Flow Node","Known Flow","352185.826989","839931.414762","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000104","Nodes","104,","21.000000","33.878408","DDS demands","Known Flow","352217.554997","839929.311762","","0.000000","","","","","","-7.849999","","","","","","","-7.019610","-7.849999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000140","Nodes","140,","21.000000","33.864777","Default Known Flow Node","Known Flow","352137.873722","839856.548389","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000141","Nodes","141,","21.000000","33.864777","Default Known Flow Node","Known Flow","352155.890981","839848.423740","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000138","Nodes","138,","21.000000","33.864088","Default Known Flow Node","Known Flow","352140.084933","839861.099804","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000137","Nodes","137,","21.000000","33.905593","DDS demands","Known Flow","352145.475978","839879.907748","","0.000000","","","","","","-8.709999","","","","","","","-7.788637","-8.709999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000142","Nodes","142,","21.000000","33.864777","Default Known Flow Node","Known Flow","352165.254983","839843.735739","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000131","Nodes","131,","21.000000","33.897651","DDS demands","Known Flow","352115.308970","839895.708753","","0.000000","","","","","","-7.040000","","","","","","","-6.295294","-7.040000","","","","","","","","D1 PROFILE","","","","","",""
"60601200000130","Nodes","130,","21.000000","33.894197","DDS demands","Known Flow","352064.812956","839870.014746","","0.000000","","","","","","-3.029999","","","","","","","-2.709480","-3.029999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000144","Nodes","144,","21.000000","33.891107","DDS demands","Known Flow","352046.860951","839878.371748","","0.000000","","","","","","-6.110000","","","","","","","-5.463671","-6.110000","","","","","","","","D1 PROFILE","","","","","",""
"60601200000128","Nodes","128,","21.000000","33.893030","Default Known Flow Node","Known Flow","352075.147959","839892.242752","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000123","Nodes","123,","21.000000","33.847036","Default Known Flow Node","Known Flow","352055.025953","839896.459753","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200001087","Nodes","1087,","21.000000","25.143820","Default Known Flow Node","Known Flow","353421.252325","839852.278741","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000129","Nodes","129,","21.000000","33.893030","Default Known Flow Node","Known Flow","352094.663964","839905.927756","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000127","Nodes","127,","21.000000","33.934806","DDS demands","Known Flow","352094.435964","839933.554763","","0.000000","","","","","","-3.459999","","","","","","","-3.093993","-3.459999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000126","Nodes","126,","21.000000","33.884328","DDS demands","Known Flow","352119.801971","839921.191760","","0.000000","","","","","","-1.669999","","","","","","","-1.493343","-1.669999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000120","Nodes","120,","21.000000","33.660121","DDS demands","Known Flow","352115.254481","839960.590284","","0.000000","","","","","","-2.880000","","","","","","","-2.575347","-2.880000","","","","","","","","D1 PROFILE","","","","","",""
"60601200000125","Nodes","125,","21.000000","33.654844","DDS demands","Known Flow","352140.843976","839947.948767","","0.000000","","","","","","-1.500000","","","","","","","-1.341326","-1.500000","","","","","","","","D1 PROFILE","","","","","",""
"60601200000121","Nodes","121,","21.000000","33.612018","DDS demands","Known Flow","352133.545974","839981.039776","","0.000000","","","","","","-6.610000","","","","","","","-5.910780","-6.610000","","","","","","","","D1 PROFILE","","","","","",""
"60601200001103","Nodes","1103,","21.000000","45.264207","Default Known Flow Node","Known Flow","353218.274270","839789.588724","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000124","Nodes","124,","21.000000","33.847036","Default Known Flow Node","Known Flow","352033.281947","839906.274756","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000119","Nodes","119,","21.000000","33.664226","DDS demands","Known Flow","352100.299965","839963.098771","","0.000000","","","","","","-9.620000","","","","","","","-8.602376","-9.620000","","","","","","","","D1 PROFILE","","","","","",""
"60601200000106","Nodes","106,","21.000000","33.834464","Default Known Flow Node","Known Flow","352199.743992","839891.528752","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200001051","Nodes","1051,","21.000000","27.812304","Default Known Flow Node","Known Flow","352464.222638","840193.986119","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000078","Nodes","78,","21.000000","33.702984","DDS demands","Known Flow","352416.800008","839784.941751","","0.000000","","","","","","-14.900000","","","","","","","-13.323847","-14.900000","","","","","","","","D1 PROFILE","","","","","",""
"60601200001033","Nodes","1033,","21.000000","44.019222","Default Known Flow Node","Known Flow","353101.739238","839870.727746","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000085","Nodes","","21.000000","32.104744","DDS demands","Known Flow","352540.224942","839749.918511","","0.000000","","","","","","-10.889999","","","","","","","-9.738032","-10.889999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000087","Nodes","87,","21.000000","34.230954","DDS demands","Known Flow","352591.019099","839610.985675","","0.000000","","","","","","-11.960000","","","","","","","-10.694846","-11.960000","","","","","","","","D1 PROFILE","","","","","",""
"60601200000067","Nodes","67,","21.000000","37.409734","DDS demands","Known Flow","352919.363130","839711.482776","","0.000000","","","","","","-12.369999","","","","","","","-11.061474","-12.369999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000069","Nodes","69,","21.000000","36.375337","DDS demands","Known Flow","352859.841172","839740.911711","","0.000000","","","","","","-12.950000","","","","","","","-11.580122","-12.950000","","","","","","","","D1 PROFILE","","","","","",""
"60601200000231","Nodes","231,","21.000000","35.689877","DDS demands","Known Flow","352833.361165","839756.552715","","0.000000","","","","","","-2.740000","","","","-3.510000","","","-5.588861","-6.250000","","","","","","","","D1 PROFILE","","","","I2 PROFILE","",""
"60601200000232","Nodes","232,","21.000000","35.399534","DDS demands","Known Flow","352789.198826","839684.215687","","0.000000","","","","","","-7.659999","","","","","","","-6.849708","-7.659999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000070","Nodes","70,","21.000000","34.675608","DDS demands","Known Flow","352789.362048","839782.566618","","0.000000","-39.790002","","-4.889999","-10.830000","","-17.270000","","","","","","","-65.081183","-72.780001","","","C1 PROFILE","","C3 PROFILE","C4 PROFILE","","D1 PROFILE","","","","","",""
"60601200000090","Nodes","90,","21.000000","34.417741","DDS demands","Known Flow","352763.522784","839534.188107","","0.000000","","","","","","-4.060000","","","","","","","-3.630524","-4.060000","","","","","","","","D1 PROFILE","","","","","",""
"60601200000008","Nodes","8,","21.000000","35.873835","DDS demands","Known Flow","352915.749539","839962.318328","","0.000000","","","-15.039999","-0.860000","","-6.869999","","","","","","","-20.361342","-22.769999","","","","","C3 PROFILE","C4 PROFILE","","D1 PROFILE","","","","","",""
"60601200000215","Nodes","215,","21.000000","34.749355","DDS demands","Known Flow","352930.786191","839880.713749","","0.000000","","","","","","-2.880000","","","","","","","-2.575347","-2.880000","","","","","","","","D1 PROFILE","","","","","",""
"60601200000055","Nodes","55,","21.000000","32.255233","DDS demands","Known Flow","352738.868139","839927.193761","","0.000000","","","","","","-11.329999","","","","","","","-10.131488","-11.329999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000072","Nodes","72,","21.000000","31.038004","DDS demands","Known Flow","352597.358101","839867.305745","","0.000000","-47.309999","","","","","-12.170000","","","","","","","-53.188081","-59.479999","","","C1 PROFILE","","","","","D1 PROFILE","","","","","",""
"60601200000089","Nodes","","21.000000","34.504513","DDS demands","Known Flow","352745.776745","839730.787767","","0.000000","","","","-5.650000","","-8.879999","","","","","","","-12.992986","-14.530000","","","","","","C4 PROFILE","","D1 PROFILE","","","","","",""
"60601200001026","Nodes","1026,","21.000000","38.723108","Default Known Flow Node","Known Flow","353007.283212","839913.361758","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200001043","Nodes","","21.000000","28.042811","DDS demands","Known Flow","352559.551090","840148.311822","","0.000000","","","","","","-1.599999","","","","","","","-1.430748","-1.599999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000054","Nodes","54,","21.000000","30.895717","DDS demands","Known Flow","352646.628114","839967.374772","","0.000000","","","","","","-8.839999","","","","","","","-7.904886","-8.839999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000208","Nodes","208,","21.000000","30.158051","DDS demands","Known Flow","352605.540103","839883.039749","","0.000000","-2.710000","","","","","-5.480000","","","","","","","-7.323644","-8.190000","","","C1 PROFILE","","","","","D1 PROFILE","","","","","",""
"60601200001100","Nodes","1100,","21.000000","45.264207","Default Known Flow Node","Known Flow","353210.688268","839784.059722","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000094","Nodes","94,","21.000000","38.970530","DDS demands","Known Flow","353005.126212","839669.644691","","0.000000","-2.150000","","-5.090000","","","-8.560000","","","","","","","-14.128644","-15.800000","","","C1 PROFILE","","C3 PROFILE","","","D1 PROFILE","","","","","",""
"60601200000161","Nodes","","21.000000","33.054687","DDS demands","Known Flow","353095.767236","839953.757769","","0.000000","-27.300000","","","","","-4.500000","","","","","","","-28.436130","-31.799999","","","C1 PROFILE","","","","","D1 PROFILE","","","","","",""
"60601200001095","Nodes","","21.000000","33.036851","DDS demands","Known Flow","353189.165305","839955.753251","","0.000000","","","","","","-14.930000","","","","","","","-13.350673","-14.930000","","","","","","","","D1 PROFILE","","","","","",""
"60601200000315","Nodes","315,","21.000000","24.782521","DDS demands","Known Flow","353401.286319","839861.283743","","0.000000","","","","","","-9.850000","","","","","-5.500000","","-13.726244","-15.349999","","","","","","","","D1 PROFILE","","","","","PL-AF PROFILE",""
"60601200000035","Nodes","35,","21.000000","44.164241","DDS demands","Known Flow","353444.012331","839775.789720","","0.000000","","","","","","-8.199999","","","","","","","-7.332586","-8.199999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000036","Nodes","36,","21.000000","44.308689","DDS demands","Known Flow","353347.401305","839818.996732","","0.000000","","","","","","-14.699999","","","","","","","-13.145002","-14.699999","","","","","","","","D1 PROFILE","","","","","",""
"60601200001030","Nodes","1030,","21.000000","44.351729","Default Known Flow Node","Known Flow","353343.396304","839838.789737","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000065","Nodes","65,","21.000000","41.367115","DDS demands","Known Flow","353131.203246","839609.659675","","0.000000","-11.390000","","","","","-11.570000","","","","","","","-20.531243","-22.960000","","","C1 PROFILE","","","","","D1 PROFILE","","","","","",""
"60601200000062","Nodes","62,","21.000000","45.347394","DDS demands","Known Flow","353208.499955","839766.372224","","0.000000","","","","","","-10.739999","","","","","","","-9.603899","-10.739999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000216","Nodes","216,","21.000000","33.689981","DDS demands","Known Flow","353067.769628","839924.579578","","0.000000","","","","","","-8.760000","","","","","","","-7.833349","-8.760000","","","","","","","","D1 PROFILE","","","","","",""
"60601200001101","Nodes","1101,","21.000000","32.254479","DDS demands","Known Flow","353062.791698","839960.340444","","0.000000","","","","","","-4.400000","","","","","","","-3.934558","-4.400000","","","","","","","","D1 PROFILE","","","","","",""
"60601200000040","Nodes","40,","21.000000","38.124677","Default Known Flow Node","Known Flow","353100.687238","839916.722758","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000060","Nodes","60,","21.000000","41.814498","DDS demands","Known Flow","353069.038229","839785.022723","","0.000000","","","","","","-7.129999","","","","","","","-6.375773","-7.129999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000162","Nodes","162,","21.000000","41.716529","DDS demands","Known Flow","353060.284227","839788.472724","","0.000000","","","","","","-9.980000","","","","","","","-8.924294","-9.980000","","","","","","","","D1 PROFILE","","","","","",""
"60601200000097","Nodes","97,","21.000000","40.486880","DDS demands","Known Flow","353093.133236","839540.527656","","0.000000","","","","","","-11.270000","","","","","","","-10.077835","-11.270000","","","","","","","","D1 PROFILE","","","","","",""
"60601200000066","Nodes","66,","21.000000","40.343028","DDS demands","Known Flow","353076.047231","839635.727682","","0.000000","","","","","","-7.790000","","","","","","","-6.965957","-7.790000","","","","","","","","D1 PROFILE","","","","","",""
"60601200001020","Nodes","1020,","21.000000","40.396909","Default Known Flow Node","Known Flow","353078.613232","839634.818682","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000095","Nodes","95,","21.000000","39.157073","DDS demands","Known Flow","352985.601206","839447.112631","","0.000000","","","","","","-5.039999","","","","","","","-4.506857","-5.039999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000318","Nodes","318,","21.000000","35.352882","Default Known Flow Node","Known Flow","352909.068886","839470.989052","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200001036","Nodes","1036,","21.000000","32.180085","DDS demands","Known Flow","353063.177227","839965.475772","","0.000000","","","","","","-15.500000","","","","","","","-13.860377","-15.500000","","","","","","","","D1 PROFILE","","","","","",""
"60601200000061","Nodes","61,","21.000000","42.371110","DDS demands","Known Flow","353133.336012","839746.489100","","0.000000","","","","","","-6.890000","","","","","","","-6.161161","-6.890000","","","","","","","","D1 PROFILE","","","","","",""
"60601200001073","Nodes","1073,","21.000000","74.967251","Default Known Flow Node","Known Flow","353108.784240","839324.015597","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000028","Nodes","28,","21.000000","30.288666","DDS demands","Known Flow","353317.365297","839962.313771","","0.000000","","","","","","-15.200000","","","","","","","-13.592112","-15.200000","","","","","","","","D1 PROFILE","","","","","",""
"60601200001052","Nodes","1052,","21.000000","44.069219","Default Known Flow Node","Known Flow","353460.060335","839768.263718","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000122","Nodes","122,","21.000000","33.602519","DDS demands","Known Flow","352145.082978","840005.975783","","0.000000","","","","","","-2.039999","","","","","","","-1.824204","-2.039999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000100","Nodes","100,","21.000000","27.325253","DDS demands","Known Flow","352424.067054","840019.540786","","0.000000","","","","","","-14.569999","","","","","","","-13.028754","-14.569999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000117","Nodes","117,","21.000000","33.510920","DDS demands","Known Flow","352118.603970","840046.034794","","0.000000","","","","","","-7.580000","","","","","","","-6.778171","-7.580000","","","","","","","","D1 PROFILE","","","","","",""
"60601200000118","Nodes","118,","21.000000","33.510920","Default Known Flow Node","Known Flow","352090.956857","840041.366241","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000116","Nodes","116,","21.000000","33.488617","DDS demands","Known Flow","352165.679983","840040.889792","","0.000000","","","","","","-3.069999","","","","","","","-2.745248","-3.069999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000050","Nodes","50,","21.000000","27.801114","DDS demands","Known Flow","352412.659050","840090.121806","","0.000000","","","","","","-8.560000","","","","","","","-7.654505","-8.560000","","","","","","","","D1 PROFILE","","","","","",""
"60601200000322","Nodes","322,","21.000000","27.403510","DDS demands","Known Flow","352347.185033","840123.568815","","0.000000","","","","","","-10.770000","","","","","","","-9.630727","-10.770000","","","","","","","","D1 PROFILE","","","","","",""
"60601200000051","Nodes","51,","21.000000","28.098998","DDS demands","Known Flow","352491.993724","840068.923341","","0.000000","","","","","","-7.880000","","","","","","","-7.046437","-7.880000","","","","","","","","D1 PROFILE","","","","","",""
"60601200000153","Nodes","153,","21.000000","28.712614","DDS demands","Known Flow","352498.932412","840020.561218","","0.000000","","","","","","-1.039999","","","","","","","-0.929986","-1.039999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000052","Nodes","52,","21.000000","28.779438","DDS demands","Known Flow","352544.704086","840016.168786","","0.000000","","","","","","-16.829999","","","","","","","-15.049686","-16.829999","","","","","","","","D1 PROFILE","","","","","",""
"60601200001039","Nodes","1039,","21.000000","34.179502","Default Known Flow Node","Known Flow","352915.002187","840001.482782","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601200000303","Nodes","","21.000000","28.365641","DDS demands","Known Flow","352631.931110","840112.237812","","0.000000","","","","","","-5.539999","","","","","","","-4.953967","-5.539999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000016","Nodes","","21.000000","34.442360","DDS demands","Known Flow","352989.197207","840117.024813","","0.000000","","","","","","-14.699999","","","","","","","-13.145002","-14.699999","","","","","","","","D1 PROFILE","","","","","",""
"60601200000044","Nodes","44,","21.000000","34.678045","DDS demands","Known Flow","352947.062959","840028.139719","","0.000000","","","","-0.310000","","-2.730000","","","","","","","-2.718422","-3.040000","","","","","","C4 PROFILE","","D1 PROFILE","","","","","",""
"60601200000043","Nodes","43,","21.000000","34.865714","DDS demands","Known Flow","352934.346956","840004.464093","","0.000000","-9.649999","","","","","-6.360000","","","","","","","-14.316428","-16.010000","","","C1 PROFILE","","","","","D1 PROFILE","","","","","",""
"60601200000218","Nodes","218,","21.000000","34.006691","DDS demands","Known Flow","352932.565192","840142.348820","","0.000000","-6.000000","","","","","-2.019999","","","","","","","-7.171627","-8.020000","","","C1 PROFILE","","","","","D1 PROFILE","","","","","",""
"60601200000223","Nodes","223,","21.000000","27.753960","DDS demands","Known Flow","352626.891109","840209.516838","","0.000000","","","","","","-5.909999","","","","","","","-5.284827","-5.909999","","","","","","","","D1 PROFILE","","","","","",""
