"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"60601300000130","Nodes","","21.000000","33.719840","DDS demands","Known Flow","368871.825529","864001.018312","","0.000000","-26.260000","-3.749999","-0.720000","","","-18.100000","","","","","","-43.664661","-48.830000","","","C1 PROFILE","C2 PROFILE","C3 PROFILE","","","D1 PROFILE","","","","",""
"60601300000063","Nodes","63","21.000000","33.787329","DDS demands","Known Flow","368865.000527","864014.205316","","0.000000","-2.409999","","","-6.139999","","","","","","","","-7.645562","-8.549999","","","C1 PROFILE","","","C4 PROFILE","","","","","","",""
"60601300000099","Nodes","","21.000000","34.417789","DDS demands","Known Flow","368866.272528","864078.327333","","0.000000","","","-0.899999","","","-9.419999","","","","","","-9.228329","-10.320000","","","","","C3 PROFILE","","","D1 PROFILE","","","","",""
"60601300000239","Nodes","","21.000000","35.221819","DDS demands","Known Flow","368862.477527","864166.591357","","0.000000","-26.359999","","","","","-11.149999","","","","","","-33.542112","-37.509998","","","C1 PROFILE","","","","","D1 PROFILE","","","","",""
"60601300000098","Nodes","","21.000000","42.232201","DDS demands","Known Flow","368840.852145","864673.482545","","0.000000","","","","","","-4.889999","","","","","","-4.372725","-4.889999","","","","","","","","D1 PROFILE","","","","",""
"60601300010238","Nodes","-222","21.000000","42.278730","Default Known Flow Node","Known Flow","368843.002626","864687.269991","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300000029","Nodes","","21.000000","40.886395","DDS demands","Known Flow","368844.664753","864595.924486","","0.000000","-4.369999","","","","","-7.710000","","","","","","-10.802152","-12.080000","","","C1 PROFILE","","","","","D1 PROFILE","","","","",""
"60601300000301","Nodes","","21.000000","40.032713","Default Known Flow Node","Known Flow","368848.691523","864525.512455","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300010237","Nodes","-198","21.000000","39.968706","Default Known Flow Node","Known Flow","368843.831522","864507.756450","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300000002","Nodes","Banff DG, Constant, Site ID 1000","21.000000","43.000001","Default Known Pressure Node","Known Pressure","368837.548520","864687.912499","","999998.967025","","","","","","","","","","","","2230.196485","2494.018862","","","","","","","","","","","","",""
"60601300001030","Nodes","","21.000000","36.443182","Default Known Flow Node","Known Flow","368856.374525","864284.399389","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300001012","Nodes","","21.000000","25.114383","Default Known Flow Node","Known Flow","368329.491382","863335.418131","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300001022","Nodes","","21.000000","24.941976","Default Known Flow Node","Known Flow","368434.458197","863263.463710","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300001014","Nodes","1014","21.000000","24.830254","Default Known Flow Node","Known Flow","368245.735509","863357.688440","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
