"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-2030.790002","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-231.539996","0.000000","1.000000","Volumetric","-1.000000"
"C3","Flow Categories","-136.110000","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-278.139998","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-62.340001","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-54.000000","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-273.939993","0.000000","1.000000","Volumetric","-1.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"DH","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0"
"PL-AF","Flow Categories","-44.300000","0.000000","1.000000","Volumetric","-1.000000"
