"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-2330.529998","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-69.450001","0.000000","1.000000","Volumetric","-1.000000"
"C3","Flow Categories","-42.680000","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-35.749999","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-15.050000","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-644.080023","0.000000","1.000000","Volumetric","-1.000000"
"PL-AF","Flow Categories","-268.030000","0.000000","1.000000","Volumetric","-1.000000"
"PL-PL","Flow Categories","","","1.000000","Volumetric","0"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"PL-DC","Flow Categories","-147.410010","0.000000","1.000000","Volumetric","0"
