"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-2544.949992","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-391.779992","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-333.260001","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-182.569992","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-146.569998","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-856.520015","0.000000","1.000000","Volumetric","-1.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"PL-AF","Flow Categories","-333.870026","0.000000","1.000000","Volumetric","-1.000000"
"DM","Flow Categories","","","1.000000","Volumetric","0"
"PL-PL","Flow Categories","0.000000","0.000000","1.000000","Volumetric","0"
