"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"60603700000439","Nodes","439, BURNSIDE ROAD RRI,","21.000000","49.999998","Default Known Pressure Node","Known Pressure","383560.870526","800366.994997","","999998.967025","","","","","","","","","","","","","29.384000","32.860001","","","","","","","","","","","","","","","",""
"60603700000440","Nodes","440","21.000000","49.798291","DDS demands","Known Flow","383560.120526","800361.994995","","0.000000","","","","","","-1.190000","","","","","","","-1.064119","-1.190000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000270","Nodes","270","21.000000","30.263384","DDS demands","Known Flow","388184.005784","802368.958541","","0.000000","","","","","","-7.809999","","","","","","","-6.983841","-7.809999","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700001024","Nodes","1024, P11126369, LOIRSBANK ROAD, -18.37SCMH","22.999998","33.430189","CSEP Unmatched","Known Flow","389656.087165","802765.173989","","0.000000","","","","","","","","","","","-18.370000","","-16.426783","-18.370000","","","","","","","","","","","","","","DC PROFILE","",""
"60603700001023","Nodes","1023","21.000000","31.691000","Default Known Flow Node","Known Flow","388693.621923","803230.870776","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603700000605","Nodes","605","21.000000","31.714345","DDS demands","Known Flow","388696.996924","803226.120775","","0.000000","","0.000000","","","","-13.970000","","","","","","","-12.492224","-13.970000","","","","","C2 PROFILE","","","","D1 PROFILE","","","","","","",""
"60603700000358","Nodes","358","21.000000","31.084109","DDS demands","Known Flow","388578.121891","803151.245754","","0.000000","","","","","","-4.689999","","","","","","","-4.193881","-4.689999","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000278","Nodes","278","21.000000","32.005002","DDS demands","Known Flow","388547.746883","802722.870638","","0.000000","","","","","","-8.029999","","","","","","","-7.180569","-8.029999","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700001022","Nodes","Logger 9241, 42 Craig Gardens, Cults","21.000000","32.082121","Val Log Cath","Known Flow","388529.951960","802750.673529","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603700000279","Nodes","279","21.000000","32.098113","DDS demands","Known Flow","388507.246872","802780.745653","","0.000000","","","","","","-11.000000","","","","","","","-9.836397","-11.000000","","","","","","","","","D1 PROFILE","","","","","","",""
