"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60604800000115","Nodes","P10124545, Old Skene Road, 15.6 SCMH","22.999998","21.859197","CSEP DDS Matched","Known Flow","387213.323394","806254.022771","","0.000000","","","","","-15.599999","","","","","-13.949797","-15.599999","","","","","","","DC PROFILE","","","",""
"60604800000256","Nodes","256","21.000000","54.420740","DDS demands","Known Flow","387390.766568","807850.542033","","0.000000","","","","-12.839999","","","","","","-11.481756","-12.839999","","","","","","D1 PROFILE","","","","",""
"60604800009413","Nodes","Logger 10356, Post outside 18 Concraig Place","21.000000","54.408140","Val Log Post","Known Flow","387388.835564","807858.414253","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000257","Nodes","257","21.000000","54.237435","DDS demands","Known Flow","387335.260553","807908.859049","","0.000000","","","","-4.909999","","","","","","-4.390609","-4.909999","","","","","","D1 PROFILE","","","","",""
"60604800000098","Nodes","98","21.000000","41.334402","DDS demands","Known Flow","386513.996474","806930.977802","","0.000000","","","","-3.459999","","","","","","-3.093993","-3.459999","","","","","","D1 PROFILE","","","","",""
"60604800009755","Nodes","","21.000000","41.255058","Default Known Flow Node","Known Flow","386526.347417","806941.344232","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000104","Nodes","104","21.000000","40.798643","DDS demands","Known Flow","386575.045346","806965.728792","","0.000000","","","","-12.449999","","","","","","-11.133011","-12.449999","","","","","","D1 PROFILE","","","","",""
"60604800000154","Nodes","154","21.000000","69.695601","DDS demands","Known Flow","386415.560303","807716.055996","","0.000000","","","","-5.400000","","","","","","-4.828776","-5.400000","","","","","","D1 PROFILE","","","","",""
"60604800009666","Nodes","","21.000000","68.495698","Default Known Flow Node","Known Flow","386391.597224","807735.840794","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000211","Nodes","211","21.000000","67.722880","DDS demands","Known Flow","386372.375340","807742.606448","","0.000000","","","","-13.529999","","","","","","-12.098766","-13.529999","","","","","","D1 PROFILE","","","","",""
"60604800000147","Nodes","147","21.000000","68.173621","DDS demands","Known Flow","386245.015257","807307.569885","","0.000000","","","","-2.059999","","","","","","-1.842088","-2.059999","","","","","","D1 PROFILE","","","","",""
"60604800009181","Nodes","","21.000000","49.404432","Default Known Flow Node","Known Flow","386766.207606","807649.274901","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000209","Nodes","209","21.000000","49.360040","DDS demands","Known Flow","386756.013396","807636.084975","","0.000000","","","","-6.480000","","","","","","-5.794531","-6.480000","","","","","","D1 PROFILE","","","","",""
"60604800000183","Nodes","183","21.000000","59.756676","DDS demands","Known Flow","386631.405484","808010.434447","","0.000000","","","","-13.270000","","","","","","-11.866270","-13.270000","","","","","","D1 PROFILE","","","","",""
"60604800000264","Nodes","264","21.000000","59.780166","Default Known Flow Node","Known Flow","386652.656463","808035.540425","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000184","Nodes","184","21.000000","59.772909","DDS demands","Known Flow","386659.370369","808035.154083","","0.000000","","","","-3.970000","","","","","","-3.550044","-3.970000","","","","","","D1 PROFILE","","","","",""
"60604800000180","Nodes","180","21.000000","59.101183","DDS demands","Known Flow","386688.372314","807916.188397","","0.000000","","","","-4.289999","","","","","","-3.836194","-4.289999","","","","","","D1 PROFILE","","","","",""
"60604800000280","Nodes","280","21.000000","60.238645","Default Known Flow Node","Known Flow","386633.966191","807883.863965","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000179","Nodes","179","21.000000","60.609339","DDS demands","Known Flow","386623.489360","807880.122041","","0.000000","","","","-11.819999","","","","","","-10.569653","-11.819999","","","","","","D1 PROFILE","","","","",""
"60604800000182","Nodes","182","21.000000","59.460312","DDS demands","Known Flow","386722.432387","807932.575055","","0.000000","","","","-10.830000","","","","","","-9.684379","-10.830000","","","","","","D1 PROFILE","","","","",""
"60604800000268","Nodes","268","21.000000","59.748329","Default Known Flow Node","Known Flow","386637.296226","808007.288136","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000084","Nodes","84","21.000000","23.714875","DDS demands","Known Flow","387090.394799","806262.120278","","0.000000","","","","-4.689999","","","","","","-4.193881","-4.689999","","","","","","D1 PROFILE","","","","",""
"60604800009643","Nodes","9643","21.000000","23.472503","Default Known Flow Node","Known Flow","387093.349748","806309.678343","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000085","Nodes","85","21.000000","23.467545","DDS demands","Known Flow","387087.661486","806310.181614","","0.000000","","","","-3.499999","","","","","","-3.129762","-3.499999","","","","","","D1 PROFILE","","","","",""
"60604800009801","Nodes","-94962","21.000000","26.924907","Default Known Flow Node","Known Flow","386938.827445","806305.738613","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800009802","Nodes","-94963","21.000000","26.924907","Default Known Flow Node","Known Flow","386952.678925","806306.318242","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000083","Nodes","83","21.000000","26.473934","DDS demands","Known Flow","386970.736454","806267.309602","","0.000000","","","","-8.739999","","","","","","-7.815463","-8.739999","","","","","","D1 PROFILE","","","","",""
"60604800009803","Nodes","-94965","21.000000","22.725093","Default Known Flow Node","Known Flow","387159.556431","806258.892279","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000086","Nodes","86","21.000000","22.201954","DDS demands","Known Flow","387194.486205","806256.101309","","0.000000","","","-22.059999","-14.649999","","","","","","-32.826735","-36.709999","","","","","C4 PROFILE","D1 PROFILE","","","","",""
"60604800000087","Nodes","87","21.000000","21.726542","Default Known Flow Node","Known Flow","387245.425253","806247.548303","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800009804","Nodes","-94969","21.000000","21.699231","Default Known Flow Node","Known Flow","387263.401482","806244.970160","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000089","Nodes","89","21.000000","21.769923","DDS demands","Known Flow","387249.422530","806200.107584","","0.000000","","","","-3.710000","","","","","","-3.317548","-3.710000","","","","","","D1 PROFILE","","","","",""
"60604800000088","Nodes","88","21.000000","21.692333","DDS demands","Known Flow","387267.784535","806244.088596","","0.000000","","","","-4.790000","","","","","","-4.283303","-4.790000","","","","","","D1 PROFILE","","","","",""
"60604800009805","Nodes","-94970","21.000000","21.697729","Default Known Flow Node","Known Flow","387266.814394","806261.002183","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000099","Nodes","99","21.000000","40.092363","DDS demands","Known Flow","386496.053325","806972.323794","","0.000000","","","","-0.959999","","","","","","-0.858449","-0.959999","","","","","","D1 PROFILE","","","","",""
"60604800000110","Nodes","110","21.000000","39.962180","DDS demands","Known Flow","386472.592067","806967.700063","","0.000000","","","","-13.689999","","","","","","-12.241840","-13.689999","","","","","","D1 PROFILE","","","","",""
"60604800000111","Nodes","111","21.000000","39.941739","DDS demands","Known Flow","386463.721685","806966.128519","","0.000000","","","","-3.829999","","","","","","-3.424853","-3.829999","","","","","","D1 PROFILE","","","","",""
"60604800000112","Nodes","112","21.000000","39.757920","DDS demands","Known Flow","386422.676075","806960.848832","","0.000000","","","","-6.229999","","","","","","-5.570976","-6.229999","","","","","","D1 PROFILE","","","","",""
"60604800000011","Nodes","11","21.000000","49.792287","Default Known Flow Node","Known Flow","386778.474402","806915.235778","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000012","Nodes","12","21.000000","48.993349","Default Known Flow Node","Known Flow","386790.671580","806842.968214","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800001014","Nodes","P11127912, Kingswood Drive CSEP, -50.68","24.000000","48.080628","CSEP DDS Matched","Known Flow","386787.617404","806793.484745","","0.000000","","","","","-31.780000","","","","","-28.418242","-31.780000","","","","","","","DC PROFILE","","","",""
"60604800000097","Nodes","97","21.000000","42.792253","DDS demands","Known Flow","386541.152337","806875.666768","","0.000000","","","","-2.640000","","","","","","-2.360735","-2.640000","","","","","","D1 PROFILE","","","","",""
"60604800000109","Nodes","109","21.000000","42.703683","DDS demands","Known Flow","386517.872331","806860.578764","","0.000000","","","","-6.929999","","","","","","-6.196929","-6.929999","","","","","","D1 PROFILE","","","","",""
"60604800000096","Nodes","96","21.000000","44.026931","DDS demands","Known Flow","386581.526348","806859.533763","","0.000000","","","","-19.149999","","","","","","-17.124270","-19.149999","","","","","","D1 PROFILE","","","","",""
"60604800000108","Nodes","108","21.000000","42.818866","DDS demands","Known Flow","386688.675377","806830.962756","","0.000000","","","","-11.709999","","","","","","-10.471290","-11.709999","","","","","","D1 PROFILE","","","","",""
"60604800000095","Nodes","95","21.000000","44.646782","DDS demands","Known Flow","386625.533344","806872.400846","","0.000000","","","","-2.009999","","","","","","-1.797377","-2.009999","","","","","","D1 PROFILE","","","","",""
"60604800000103","Nodes","103","21.000000","44.323767","DDS demands","Known Flow","386610.501356","806913.486778","","0.000000","","","","-12.749999","","","","","","-11.401276","-12.749999","","","","","","D1 PROFILE","","","","",""
"60604800000094","Nodes","94","21.000000","46.225183","DDS demands","Known Flow","386685.591376","806929.665782","","0.000000","","","","-6.959999","","","","","","-6.223755","-6.959999","","","","","","D1 PROFILE","","","","",""
"60604800000105","Nodes","105","21.000000","45.387018","DDS demands","Known Flow","386721.245386","806910.592777","","0.000000","","","","-4.439999","","","","","","-3.970326","-4.439999","","","","","","D1 PROFILE","","","","",""
"60604800000093","Nodes","93","21.000000","47.093844","DDS demands","Known Flow","386701.196381","806960.786791","","0.000000","","","","-5.219999","","","","","","-4.667816","-5.219999","","","","","","D1 PROFILE","","","","",""
"60604800000092","Nodes","92","21.000000","48.293867","DDS demands","Known Flow","386726.397388","806989.751799","","0.000000","","","","-13.999999","","","","","","-12.519049","-13.999999","","","","","","D1 PROFILE","","","","",""
"60604800000106","Nodes","106","21.000000","45.187263","DDS demands","Known Flow","386735.031390","806922.027780","","0.000000","","","","-9.980000","","","","","","-8.924293","-9.980000","","","","","","D1 PROFILE","","","","",""
"60604800000107","Nodes","107","21.000000","45.157810","DDS demands","Known Flow","386747.630393","806856.640763","","0.000000","","","","-7.150000","","","","","","-6.393657","-7.150000","","","","","","D1 PROFILE","","","","",""
"60604800000010","Nodes","Kingswood DG, Constant, Site ID 1261","21.000000","49.999998","Default Known Pressure Node","Known Pressure","386797.674407","806906.758776","","3171.909775","","","","","","","","","","620.184764","693.550016","","","","","","","","","","",""
"60604800000090","Nodes","90","21.000000","47.987053","DDS demands","Known Flow","386760.905397","806781.775742","","0.000000","","","","-3.920000","","","","","","-3.505333","-3.920000","","","","","","D1 PROFILE","","","","",""
"60604800000013","Nodes","13","21.000000","48.921230","Default Known Flow Node","Known Flow","386803.454267","806841.814019","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000080","Nodes","80","21.000000","48.780575","DDS demands","Known Flow","386847.738421","806841.543758","","0.000000","","","","-11.600000","","","","","","-10.372927","-11.600000","","","","","","D1 PROFILE","","","","",""
"60604800000082","Nodes","82","21.000000","48.279672","DDS demands","Known Flow","386864.645425","806760.295736","","0.000000","","","","-7.040000","","","","","","-6.295293","-7.040000","","","","","","D1 PROFILE","","","","",""
"60604800009797","Nodes","-94957","21.000000","48.739700","Default Known Flow Node","Known Flow","386861.298422","806891.649645","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000015","Nodes","15","21.000000","42.432766","DDS demands","Known Flow","386839.681272","806730.711339","","0.000000","","","","-4.739999","","","","","","-4.238592","-4.739999","","","","","","D1 PROFILE","","","","",""
"60604800000091","Nodes","Max Ref: 362286","21.000000","47.123138","DDS demands","Known Flow","386645.205524","806755.415748","","0.000000","","","","-12.399999","","","","","-743.369985","-11.088300","-12.399999","","","","","","D1 PROFILE","","","","","PL-PL PROFILE"
"60604800001016","Nodes","1016","21.000000","42.343201","Default Known Flow Node","Known Flow","386817.688916","806720.027497","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60604800000017","Nodes","17","21.000000","42.408729","DDS demands","Known Flow","386791.063405","806748.064733","","0.000000","","","","-2.880000","","","","","","-2.575347","-2.880000","","","","","","D1 PROFILE","","","","",""
