"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-424.239994","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-43.049999","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-4.940000","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-1.510000","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-5.039999","0.000000","1.000000","Volumetric","-1.000000"
"DM","Flow Categories","","","1.000000","Volumetric","0"
"PL-AF","Flow Categories","-20.900000","0.000000","1.000000","Volumetric","-1.000000"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"DL","Flow Categories","","","1.000000","Volumetric","0"
"CM","Flow Categories","","","1.000000","Volumetric","0"
"DH","Flow Categories","-3.000000","0.000000","1.000000","Volumetric","0"
