"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"62500300001722","Nodes","1722,",22.999998,25.494431,"Default Known Flow Node","Known Flow",228889.953440,674453.735735,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300001721","Nodes","1721,",21.000000,25.412091,"DDS demands","Known Flow",228781.203410,674469.210739,,0.000000,,,,,,,-4.060000,,,,,,,,,,-3.630524,-4.060000,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300001213","Nodes","P09122419( & P11126164 - load increase of 27.97 ), Fairrie Street, 27.14SCMH",24.000000,29.281914,"CSEP DDS Matched","Known Flow",229543.182384,675004.745262,,0.000000,,,,,,,,-55.109999,,,,,,,,,-49.280348,-55.109999,,"",,,,,,,,"DC PROFILE",,,,,,,,
"62500300006309","Nodes","-1987",21.000000,32.039995,"Default Known Flow Node","Known Flow",227126.490960,676886.336396,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300004184","Nodes","4184",21.000000,35.747074,"DDS demands","Known Flow",227488.328058,676802.586374,,0.000000,-15.750000,,,,,,-2.840000,,,,,,,,,,-16.623511,-18.590000,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,,,,
"62500300006494","Nodes","-3577",21.000000,29.173994,"Default Known Flow Node","Known Flow",230273.799263,674816.169060,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300003165","Nodes","3165, Nelson Street DG fogger",21.000000,39.745078,"Fogger On","Known Flow",227385.953030,676410.086267,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300002062","Nodes","2062",21.000000,31.018093,"Default Known Flow Node","Known Flow",233980.586869,673871.741721,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300006994","Nodes","-4861",21.000000,27.044913,"Default Known Flow Node","Known Flow",234526.954973,673929.335592,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300004257","Nodes","4257",21.000000,26.431885,"DDS demands","Known Flow",227461.953051,675836.336111,,0.000000,-0.419999,,,,,,,,,,,,,,,,-0.375571,-0.419999,,"","C1 PROFILE",,,,,,,,,,,,,,,
"62500300004256","Nodes","4256, P09122432, Grosvenor Lane, 23.72scm/h",24.000000,25.793971,"CSEP DDS Matched","Known Flow",227420.125040,675849.200114,,0.000000,,,,,,,,-17.379999,,,,,,,,,-15.541506,-17.379999,,"",,,,,,,,"DC PROFILE",,,,,,,,
"62500300001002","Nodes","1002",21.000000,29.903073,"DDS demands","Known Flow",223958.327098,675390.835990,,0.000000,,,,,,,-9.130000,,,,,,,,,,-8.164209,-9.130000,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300001023","Nodes","1023",21.000000,29.259404,"DDS demands","Known Flow",223935.327092,675291.960963,,0.000000,,,,,,,-5.850000,,,,,,,,,,-5.231174,-5.850000,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300001706","Nodes","1706",21.000000,35.300168,"DDS demands","Known Flow",228573.703353,674786.335825,,0.000000,,,,,,,-0.889999,,,-61.199999,,,,,,,-0.795853,-0.889999,,"",,,,,,,"D1 PROFILE",,,"DM PROFILE",,,,,,
"62500300005123","Nodes","5123",21.000000,34.579682,"DDS demands","Known Flow",228528.203341,674840.585840,,0.000000,,,,,,,-13.109999,,,,,,,,,,-11.723196,-13.109999,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300003574","Nodes","3574",21.000000,27.926236,"Default Known Flow Node","Known Flow",232580.954444,674051.335625,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300003575","Nodes","3575",21.000000,28.774537,"DDS demands","Known Flow",232814.739507,673940.957595,,0.000000,,,,,,,-4.719999,,,,,,,,,,-4.220708,-4.719999,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300006249","Nodes","-1750",21.000000,28.075526,"Default Known Flow Node","Known Flow",226921.702904,676211.836213,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300006245","Nodes",,21.000000,27.916959,"DDS demands","Known Flow",226914.827902,676202.961210,,0.000000,,,,,,,-2.250000,,,,,,,,,,-2.011990,-2.250000,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300006256","Nodes","-1759",21.000000,28.175625,"DDS demands","Known Flow",226941.175783,676226.616422,,0.000000,,,,,,,-28.069999,,,,,,,,,,-25.100696,-28.069999,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300006591","Nodes","-3802",21.000000,38.804618,"Default Known Flow Node","Known Flow",230112.328772,675335.710975,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300003558","Nodes","3558",21.000000,26.616215,"DDS demands","Known Flow",232327.079375,674222.960672,,0.000000,,,,,,,-13.210000,,,,,,,,,,-11.812618,-13.210000,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500301464209","Nodes","-1464209",21.000000,26.515501,"DDS demands","Known Flow",232462.579412,674202.460666,,0.000000,,,,,,,-9.469999,,,,,,,,,,-8.468243,-9.469999,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300002078","Nodes","2078",21.000000,29.527658,"DDS demands","Known Flow",234374.079932,673919.085589,,0.000000,-2.619999,,,,,,-9.239999,,,,,,,,,,-10.605423,-11.859999,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,,,,
"62500300002029","Nodes","2029",21.000000,34.296266,"Default Known Flow Node","Known Flow",232495.329420,673748.960543,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300006671","Nodes","-3973",21.000000,34.726526,"Default Known Flow Node","Known Flow",232617.579454,673716.835534,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300001889","Nodes","1889",21.000000,26.855541,"DDS demands","Known Flow",231547.579163,674433.835729,,0.000000,,,,0.000000,,,-28.110000,,,,,,,,,,-25.136466,-28.110000,,"",,,,"C4 PROFILE",,,"D1 PROFILE",,,,,,,,,
"62500300003794","Nodes","3794",21.000000,26.869440,"DDS demands","Known Flow",231492.954148,674448.960733,,0.000000,,,,,,,-10.140000,,,,,,,,,,-9.067369,-10.140000,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300004670","Nodes","4670",21.000000,29.770167,"Default Known Flow Node","Known Flow",231195.582480,674457.959758,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300006493","Nodes","P12128338, CORLIC STREET/STRONE CRESCENT, -23.63SCMH",24.000000,31.255533,"CSEP Unmatched","Known Flow",228835.760780,674900.681813,,0.000000,,,,,,,,-23.630000,,,,,,,,,-21.130369,-23.630000,,"",,,,,,,,"DC PROFILE",,,,,,,,
"62500300003942","Nodes","3942",21.000000,33.917612,"DDS demands","Known Flow",229246.453537,675525.461026,,0.000000,,,,,,,-12.529999,,,,,,,,,,-11.204550,-12.529999,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300006619","Nodes","-3848",21.000000,34.074668,"Default Known Flow Node","Known Flow",229313.203555,675513.461023,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300001567","Nodes","1567",21.000000,33.962351,"DDS demands","Known Flow",229181.203519,675545.836032,,0.000000,,,,,,,-3.020000,,,,,,,,,,-2.700538,-3.020000,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300001521","Nodes","1521",21.000000,35.050428,"Default Known Flow Node","Known Flow",228834.578424,675483.086015,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300002967","Nodes","-2967",21.000000,39.378691,"Default Known Flow Node","Known Flow",227922.476210,676103.189485,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300001187","Nodes","1187",21.000000,33.994642,"Default Known Flow Node","Known Flow",226272.952728,675827.211108,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300001613","Nodes","-1613",21.000000,33.171198,"Default Known Flow Node","Known Flow",226670.264469,675917.811109,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300005341","Nodes","5341",21.000000,34.533613,"DDS demands","Known Flow",227006.952927,676595.836317,,0.000000,-0.810000,,,,,,-10.020000,,,,,,,,,,-9.684380,-10.830000,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,,,,
"62500300005253","Nodes","5253",21.000000,34.745040,"DDS demands","Known Flow",226899.327898,676719.086351,,0.000000,,,,,,,-19.769999,,,,,,,,,,-17.678687,-19.769999,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300003376","Nodes","-3376",21.000000,34.684448,"DDS demands","Known Flow",227156.452968,677178.336476,,0.000000,,,,,,,-14.569999,,,,,,,,,,-13.028754,-14.569999,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300003375","Nodes","Logger 9130, 51 BROUGHAM ST GREENOCK",21.000000,34.770063,"Val Log Cath","Known Flow",227145.952965,677170.711474,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300001876","Nodes","-1876",21.000000,25.107736,"Default Known Flow Node","Known Flow",225611.202548,676520.586297,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300006285","Nodes","-1869",21.000000,25.197463,"Default Known Flow Node","Known Flow",225603.327545,676475.461285,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300000707","Nodes","-707",21.000000,31.774509,"Default Known Flow Node","Known Flow",224300.702191,675661.461063,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300000692","Nodes","-692",21.000000,31.639889,"Default Known Flow Node","Known Flow",224320.327196,675639.211057,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300007117","Nodes","-941",21.000000,33.245903,"Default Known Flow Node","Known Flow",224501.327246,676689.086343,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300007121","Nodes","-979",21.000000,32.089678,"Default Known Flow Node","Known Flow",224621.952278,676831.961382,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300000417","Nodes","417",21.000000,31.249321,"DDS demands","Known Flow",224746.940634,676891.885236,,0.000000,,,,,,,-16.829999,,,,,,,,,,-15.049686,-16.829999,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300006009","Nodes","-1001",21.000000,31.165968,"Default Known Flow Node","Known Flow",224755.327315,676885.336396,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300000422","Nodes","422",21.000000,27.408766,"DDS demands","Known Flow",224835.921337,676817.099378,,0.000000,,,,,,,-5.059999,,,,,,,,,,-4.524742,-5.059999,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300005473","Nodes","5473",21.000000,27.526800,"Default Known Flow Node","Known Flow",224833.827336,676817.711378,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300000911","Nodes","-911",21.000000,34.188917,"Default Known Flow Node","Known Flow",224467.768236,676586.488315,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300006149","Nodes","6149,",21.000000,29.234960,"DDS demands","Known Flow",223992.952107,677841.336656,,0.000000,-7.080000,,,-13.560000,,,-37.150001,,,,,,,,,,-51.676855,-57.790001,,"","C1 PROFILE",,,"C4 PROFILE",,,"D1 PROFILE",,,,,,,,,
"62500300000067","Nodes","67,",21.000000,29.484965,"DDS demands","Known Flow",224172.452156,677907.836674,,0.000000,-10.119999,,,-10.209999,,,-13.109999,,,,,,,,,,-29.902645,-33.439997,,"","C1 PROFILE",,,"C4 PROFILE",,,"D1 PROFILE",,,,,,,,,
"62500300001082","Nodes","1082",21.000000,30.629029,"DDS demands","Known Flow",224413.202222,675654.586061,,0.000000,,,,,,,-36.159998,,,,,,,,,,-32.334918,-36.159998,,"",,,,,,,"D1 PROFILE",,,,,,,,,
