"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"62500600000632","Nodes","632","21.000000","32.558803","DDS demands","Known Flow","234692.955018","638920.201066","","0.000000","","","","","","","-5.169999","","","","","","","","-4.623106","-5.169999","","","","","","","","","","D1 PROFILE","","","","","","","",""
"62500600000634","Nodes","634","21.000000","31.343267","DDS demands","Known Flow","234686.330016","638907.326062","","0.000000","","","","","","","-13.109999","","","","","","","","-11.723196","-13.109999","","","","","","","","","","D1 PROFILE","","","","","","","",""
"62500600001395","Nodes","1395","21.000000","47.673207","DDS demands","Known Flow","233291.564637","640124.280393","","0.000000","","","","","","","-13.199999","","","","","","","","-11.803675","-13.199999","","","","","","","","","","D1 PROFILE","","","","","","","",""
"62500600000002","Nodes","2","21.000000","48.004288","DDS demands","Known Flow","233285.172961","640129.310496","","0.000000","","","","","","","-4.210000","","","","","","","","-3.764657","-4.210000","","","","","","","","","","D1 PROFILE","","","","","","","",""
"62500600001084","Nodes","STANECASTLE DG, Site ID 3099","21.000000","49.999998","Default Known Pressure Node","Known Pressure","233257.559628","640142.805398","","999998.967025","","","","","","","","","","","","","","","194.644405","217.670001","","","","","","","","","","","","","","","","","",""
"62500600203062","Nodes","203062","21.000000","50.012907","Default Known Flow Node","Known Flow","233570.388713","637041.427554","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600001077","Nodes","1077","21.000000","50.012907","Default Known Flow Node","Known Flow","233572.471985","637060.611596","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600203063","Nodes","203063","21.000000","49.971186","Default Known Flow Node","Known Flow","233619.227726","637103.271571","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600202178","Nodes","202178","21.000000","28.602976","Default Known Flow Node","Known Flow","232015.204290","638258.700886","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600000919","Nodes","P00057779, Sanderson Avenue,  42.65","24.000000","28.945013","CSEP DDS Matched","Known Flow","232044.959651","638250.083019","","0.000000","","","","","","","","-42.650002","","","","","","","-38.138396","-42.650002","","","","","","","","","","","DC PROFILE","","","","","","",""
